h,err_forward,err_central,err_forward3
1.000000e-16,1.000000e+00,4.448885e-01,2.110223e+00
5.623413e-16,1.845720e-01,8.585771e-02,3.820007e-01
3.162278e-15,1.696663e-02,1.696663e-02,1.696663e-02
1.778279e-14,1.081141e-03,1.081141e-03,1.081141e-03
1.000000e-13,7.992778e-04,2.441663e-04,1.909501e-03
5.623413e-13,1.736651e-04,7.495080e-05,3.710938e-04
3.162278e-12,2.580519e-05,8.251022e-06,6.091352e-05
1.778279e-11,5.183339e-06,2.061717e-06,1.142658e-05
1.000000e-10,8.274037e-08,8.274037e-08,8.274037e-08
5.623413e-10,7.209396e-08,7.209396e-08,7.209396e-08
3.162278e-09,3.454494e-08,1.699077e-08,6.965328e-08
1.778279e-08,1.393343e-08,1.446944e-09,7.690187e-09
1.000000e-07,4.943368e-08,5.263558e-10,1.636579e-09
5.623413e-07,2.813034e-07,6.622281e-11,3.623657e-10
3.162278e-06,1.581141e-06,1.660228e-12,1.660228e-12
1.778279e-05,8.891450e-06,5.157941e-11,1.076234e-10
1.000000e-04,5.000167e-05,1.666890e-09,3.333000e-09
5.623413e-04,2.812234e-04,5.270456e-08,1.054539e-07
3.162278e-03,1.582807e-03,1.666667e-06,3.341251e-06
1.778279e-02,8.944337e-03,5.270546e-05,1.068268e-04
1.000000e-01,5.170918e-02,1.667500e-03,3.595429e-03
