bin,edge_lo,edge_hi,observed,expected
0,-1000000000000.000000,-1.659596,176,200.0
1,-1.659596,-1.297940,190,200.0
2,-1.297940,-1.053934,212,200.0
3,-1.053934,-0.860005,223,200.0
4,-0.860005,-0.693631,221,200.0
5,-0.693631,-0.544222,202,200.0
6,-0.544222,-0.405772,233,200.0
7,-0.405772,-0.274397,195,200.0
8,-0.274397,-0.147290,205,200.0
9,-0.147290,-0.022199,204,200.0
10,-0.022199,0.102893,199,200.0
11,0.102893,0.230000,209,200.0
12,0.230000,0.361375,176,200.0
13,0.361375,0.499824,198,200.0
14,0.499824,0.649233,188,200.0
15,0.649233,0.815607,186,200.0
16,0.815607,1.009536,187,200.0
17,1.009536,1.253543,182,200.0
18,1.253543,1.615198,179,200.0
19,1.615198,1000000000000.000000,235,200.0
