kappa,iter,residual
5,0,1.000000e+00
5,1,3.714443e-01
5,2,1.591904e-01
5,3,7.978073e-02
5,4,4.440452e-02
5,5,2.656237e-02
5,6,1.645860e-02
5,7,1.043400e-02
5,8,6.715273e-03
5,9,4.363340e-03
5,10,2.854284e-03
5,11,1.874627e-03
5,12,1.234813e-03
5,13,8.147277e-04
5,14,5.382493e-04
5,15,3.558475e-04
5,16,2.353985e-04
5,17,1.557693e-04
5,18,1.031070e-04
5,19,6.825905e-05
5,20,4.519595e-05
5,21,2.992764e-05
5,22,1.981904e-05
5,23,1.312536e-05
5,24,8.692830e-06
5,25,5.757337e-06
5,26,3.813249e-06
5,27,2.525659e-06
5,28,1.672870e-06
5,29,1.108035e-06
5,30,7.339217e-07
5,31,4.861253e-07
5,32,3.219955e-07
5,33,2.132813e-07
5,34,1.412726e-07
5,35,9.357582e-08
5,36,6.198273e-08
5,37,4.105616e-08
5,38,2.719486e-08
5,39,1.801339e-08
5,40,1.193177e-08
5,41,7.903406e-09
5,42,5.235089e-09
5,43,3.467640e-09
5,44,2.296911e-09
5,45,1.521438e-09
5,46,1.007778e-09
5,47,6.675366e-10
5,48,4.421662e-10
5,49,2.928843e-10
5,50,1.940022e-10
5,51,1.285042e-10
5,52,8.511926e-11
5,53,5.638174e-11
5,54,3.734643e-11
5,55,2.473773e-11
5,56,1.638591e-11
5,57,1.085378e-11
200,0,1.000000e+00
200,1,4.397964e-01
200,2,2.284513e-01
200,3,1.374814e-01
200,4,9.370265e-02
200,5,7.027720e-02
200,6,5.548902e-02
200,7,4.551203e-02
200,8,3.847415e-02
200,9,3.349871e-02
200,10,3.001429e-02
200,11,2.760028e-02
200,12,2.593032e-02
200,13,2.477328e-02
200,14,2.394821e-02
200,15,2.334635e-02
200,16,2.287974e-02
200,17,2.250468e-02
200,18,2.218188e-02
200,19,2.189544e-02
200,20,2.162922e-02
200,21,2.137770e-02
200,22,2.113481e-02
200,23,2.089866e-02
200,24,2.066709e-02
200,25,2.043945e-02
200,26,2.021497e-02
200,27,1.999343e-02
200,28,1.977454e-02
200,29,1.955820e-02
200,30,1.934432e-02
200,31,1.913282e-02
200,32,1.892367e-02
200,33,1.871682e-02
200,34,1.851224e-02
200,35,1.830991e-02
200,36,1.810979e-02
200,37,1.791187e-02
200,38,1.771611e-02
200,39,1.752249e-02
200,40,1.733098e-02
200,41,1.714157e-02
200,42,1.695423e-02
200,43,1.676894e-02
200,44,1.658567e-02
200,45,1.640441e-02
200,46,1.622512e-02
200,47,1.604780e-02
200,48,1.587241e-02
200,49,1.569895e-02
200,50,1.552737e-02
200,51,1.535767e-02
200,52,1.518983e-02
200,53,1.502382e-02
200,54,1.485963e-02
200,55,1.469723e-02
200,56,1.453660e-02
200,57,1.437773e-02
200,58,1.422060e-02
200,59,1.406518e-02
200,60,1.391147e-02
200,61,1.375943e-02
200,62,1.360905e-02
200,63,1.346032e-02
200,64,1.331321e-02
200,65,1.316771e-02
200,66,1.302381e-02
200,67,1.288147e-02
200,68,1.274069e-02
200,69,1.260145e-02
200,70,1.246373e-02
200,71,1.232751e-02
200,72,1.219278e-02
200,73,1.205953e-02
200,74,1.192773e-02
200,75,1.179738e-02
200,76,1.166844e-02
200,77,1.154092e-02
200,78,1.141479e-02
200,79,1.129004e-02
200,80,1.116665e-02
200,81,1.104461e-02
200,82,1.092390e-02
200,83,1.080452e-02
200,84,1.068644e-02
200,85,1.056964e-02
200,86,1.045413e-02
200,87,1.033988e-02
200,88,1.022687e-02
200,89,1.011510e-02
200,90,1.000456e-02
200,91,9.895218e-03
200,92,9.787073e-03
200,93,9.680111e-03
200,94,9.574318e-03
200,95,9.469681e-03
200,96,9.366187e-03
200,97,9.263825e-03
200,98,9.162581e-03
200,99,9.062444e-03
200,100,8.963401e-03
200,101,8.865441e-03
200,102,8.768551e-03
200,103,8.672720e-03
200,104,8.577936e-03
200,105,8.484189e-03
200,106,8.391466e-03
200,107,8.299756e-03
200,108,8.209048e-03
200,109,8.119332e-03
200,110,8.030596e-03
200,111,7.942831e-03
200,112,7.856024e-03
200,113,7.770166e-03
200,114,7.685246e-03
200,115,7.601255e-03
200,116,7.518181e-03
200,117,7.436016e-03
200,118,7.354748e-03
200,119,7.274368e-03
200,120,7.194867e-03
200,121,7.116235e-03
200,122,7.038462e-03
200,123,6.961539e-03
200,124,6.885457e-03
200,125,6.810206e-03
200,126,6.735778e-03
200,127,6.662163e-03
200,128,6.589353e-03
200,129,6.517338e-03
200,130,6.446111e-03
200,131,6.375662e-03
200,132,6.305982e-03
200,133,6.237065e-03
200,134,6.168900e-03
200,135,6.101481e-03
200,136,6.034798e-03
200,137,5.968844e-03
200,138,5.903611e-03
200,139,5.839091e-03
200,140,5.775276e-03
200,141,5.712158e-03
200,142,5.649730e-03
200,143,5.587985e-03
200,144,5.526914e-03
200,145,5.466511e-03
200,146,5.406768e-03
200,147,5.347678e-03
200,148,5.289233e-03
200,149,5.231427e-03
200,150,5.174254e-03
200,151,5.117704e-03
200,152,5.061773e-03
200,153,5.006454e-03
200,154,4.951738e-03
200,155,4.897621e-03
200,156,4.844095e-03
200,157,4.791155e-03
200,158,4.738792e-03
200,159,4.687002e-03
200,160,4.635779e-03
