iter,width,shrink_ratio
0,4.000000000000000e+00,
1,1.527864045000421e+00,0.618033988749895
2,9.442719099991590e-01,0.618033988749895
3,5.835921350012616e-01,0.618033988749894
4,3.606797749978969e-01,0.618033988749895
5,2.229123600033647e-01,0.618033988749894
6,1.377674149945320e-01,0.618033988749895
7,8.514494500883263e-02,0.618033988749894
8,5.262246998569919e-02,0.618033988749894
9,3.252247502313321e-02,0.618033988749893
10,2.009999496256598e-02,0.618033988749899
11,1.242248006056745e-02,0.618033988749895
12,7.677514901998528e-03,0.618033988749894
13,4.744965158568926e-03,0.618033988749897
14,2.932549743429602e-03,0.618033988749889
15,1.812415415139323e-03,0.618033988749910
16,1.120134328290279e-03,0.618033988749854
17,6.922810868488227e-04,0.618033988749803
18,4.278532414412339e-04,0.618033988749813
19,2.644278454075888e-04,0.618033988750108
20,1.634253960338672e-04,0.618033988750177
21,1.010024493739436e-04,0.618033988750516
22,6.242294665992354e-05,0.618033988748269
23,3.857950271379806e-05,0.618033988750593
24,2.384344394612548e-05,0.618033988748067
25,1.473605876745054e-05,0.618033988745369
26,9.107385178452887e-06,0.618033988746676
27,5.628673588997657e-06,0.618033988758322
28,3.478711589677275e-06,0.618033988767282
29,2.149961999542427e-06,0.618033988768204
30,1.328749590134848e-06,0.618033988701960
31,8.212124094075790e-07,0.618033988875390
32,5.075371809493134e-07,0.618033988691732
33,3.136752284582656e-07,0.618033988902168
34,1.938619527130925e-07,0.618033989059119
35,1.198132759672177e-07,0.618033989085709
36,7.404867674587479e-08,0.618033987870721
37,4.576459899929830e-08,0.618033988052971
38,2.828407752453188e-08,0.618033985722579
39,1.748052125272181e-08,0.618033988824994
