inst,n,bnb,enum,agree
0,6,24.0000,24.0000,1
1,6,36.0000,36.0000,1
2,6,34.0000,34.0000,1
3,6,29.0000,29.0000,1
4,6,24.0000,24.0000,1
5,6,26.0000,26.0000,1
6,6,25.0000,25.0000,1
7,6,30.0000,30.0000,1
8,6,24.0000,24.0000,1
9,6,36.0000,36.0000,1
10,6,28.0000,28.0000,1
11,6,31.0000,31.0000,1
12,6,25.0000,25.0000,1
13,6,26.0000,26.0000,1
14,6,17.0000,17.0000,1
15,6,27.0000,27.0000,1
16,6,32.0000,32.0000,1
17,6,28.0000,28.0000,1
18,6,29.0000,29.0000,1
19,6,25.0000,25.0000,1
20,6,18.0000,18.0000,1
21,6,32.0000,32.0000,1
22,6,21.0000,21.0000,1
23,6,28.0000,28.0000,1
24,6,28.0000,28.0000,1
25,6,33.0000,33.0000,1
26,6,14.0000,14.0000,1
27,6,26.0000,26.0000,1
28,6,37.0000,37.0000,1
29,6,27.0000,27.0000,1
30,6,20.0000,20.0000,1
31,6,30.0000,30.0000,1
32,6,21.0000,21.0000,1
33,6,41.0000,41.0000,1
34,6,22.0000,22.0000,1
35,6,23.0000,23.0000,1
36,6,34.0000,34.0000,1
37,6,38.0000,38.0000,1
38,6,27.0000,27.0000,1
39,6,41.0000,41.0000,1
40,6,33.0000,33.0000,1
41,6,25.0000,25.0000,1
42,6,28.0000,28.0000,1
43,6,23.0000,23.0000,1
44,6,16.0000,16.0000,1
45,6,47.0000,47.0000,1
46,6,23.0000,23.0000,1
47,6,32.0000,32.0000,1
48,6,24.0000,24.0000,1
49,6,30.0000,30.0000,1
