inst,best_bb,best_brute,match
0,123.051536,123.051536,1
1,176.805813,176.805813,1
2,185.608385,185.608385,1
3,121.287669,121.287669,1
4,134.325463,134.325463,1
5,173.261428,173.261428,1
6,92.772900,92.772900,1
7,202.693441,202.693441,1
8,88.897490,88.897490,1
9,161.026684,161.026684,1
10,189.979770,189.979770,1
11,117.710393,117.710393,1
12,109.317897,109.317897,1
13,79.237941,79.237941,1
14,165.430711,165.430711,1
15,193.170539,193.170539,1
16,238.196166,238.196166,1
17,125.465967,125.465967,1
18,95.202199,95.202199,1
19,88.399785,88.399785,1
20,159.024056,159.024056,1
21,61.655498,61.655498,1
22,142.756770,142.756770,1
23,119.312881,119.312881,1
24,120.233007,120.233007,1
25,152.850842,152.850842,1
26,110.569786,110.569786,1
27,165.780870,165.780870,1
28,248.809506,248.809506,1
29,133.142799,133.142799,1
30,166.750669,166.750669,1
31,61.680375,61.680375,1
32,176.473563,176.473563,1
33,152.245127,152.245127,1
34,136.355659,136.355659,1
35,77.845339,77.845339,1
36,124.207024,124.207024,1
37,81.075180,81.075180,1
38,91.327597,91.327597,1
39,98.475215,98.475215,1
40,139.820685,139.820685,1
41,61.010916,61.010916,1
42,145.913755,145.913755,1
43,119.392684,119.392684,1
44,162.881917,162.881917,1
45,91.190660,91.190660,1
46,109.935329,109.935329,1
47,135.706856,135.706856,1
48,171.023366,171.023366,1
49,151.714790,151.714790,1
50,119.502400,119.502400,1
51,127.199804,127.199804,1
52,123.390995,123.390995,1
53,138.012148,138.012148,1
54,130.207272,130.207272,1
55,216.411300,216.411300,1
56,97.324435,97.324435,1
57,155.061327,155.061327,1
58,177.494032,177.494032,1
59,175.359924,175.359924,1
60,111.655662,111.655662,1
61,201.819598,201.819598,1
62,117.510310,117.510310,1
63,204.777232,204.777232,1
64,184.743578,184.743578,1
65,73.462875,73.462875,1
66,167.992273,167.992273,1
67,83.099488,83.099488,1
68,75.287270,75.287270,1
69,159.410754,159.410754,1
70,116.400100,116.400100,1
71,129.141694,129.141694,1
72,73.326339,73.326339,1
73,214.833683,214.833683,1
74,221.131420,221.131420,1
75,124.023644,124.023644,1
76,187.404556,187.404556,1
77,262.218474,262.218474,1
78,110.189863,110.189863,1
79,152.247712,152.247712,1
80,73.463409,73.463409,1
81,102.493449,102.493449,1
82,105.010715,105.010715,1
83,116.298012,116.298012,1
84,132.219232,132.219232,1
85,130.143551,130.143551,1
86,128.980310,128.980310,1
87,116.942595,116.942595,1
88,116.895947,116.895947,1
89,65.540352,65.540352,1
90,68.169492,68.169492,1
91,217.877240,217.877240,1
92,122.862557,122.862557,1
93,171.693148,171.693148,1
94,100.033298,100.033298,1
95,140.505794,140.505794,1
96,219.322755,219.322755,1
97,73.126427,73.126427,1
98,195.672434,195.672434,1
99,117.467171,117.467171,1
