inst,n,cap,bb,brute,match
0,10,48.92,173.7117,173.7117,1
1,10,37.34,189.6440,189.6440,1
2,10,56.48,119.2623,119.2623,1
3,10,50.77,173.6965,173.6965,1
4,10,43.35,168.7540,168.7540,1
5,10,49.71,199.2190,199.2190,1
6,10,44.74,161.1972,161.1972,1
7,10,36.80,178.1746,178.1746,1
8,10,47.06,187.6643,187.6643,1
9,10,51.10,134.8047,134.8047,1
10,10,40.49,187.3469,187.3469,1
11,10,52.55,148.4962,148.4962,1
12,10,40.99,151.2604,151.2604,1
13,10,42.84,131.5586,131.5586,1
14,10,49.23,183.0589,183.0589,1
15,10,35.39,233.0914,233.0914,1
16,10,48.22,54.5887,54.5887,1
17,10,33.28,146.9304,146.9304,1
18,10,41.51,256.8267,256.8267,1
19,10,39.56,207.7333,207.7333,1
20,10,35.04,244.5081,244.5081,1
21,10,48.81,136.3747,136.3747,1
22,10,38.00,184.5552,184.5552,1
23,10,41.67,227.4155,227.4155,1
24,10,38.47,129.8470,129.8470,1
25,10,39.36,130.8597,130.8597,1
26,10,38.90,138.1813,138.1813,1
27,10,42.65,156.7927,156.7927,1
28,10,45.56,177.7017,177.7017,1
29,10,29.96,211.6341,211.6341,1
30,10,35.44,141.8713,141.8713,1
31,10,33.01,189.8473,189.8473,1
32,10,37.04,102.6415,102.6415,1
33,10,47.60,170.0176,170.0176,1
34,10,37.42,188.0631,188.0631,1
35,10,42.82,164.7205,164.7205,1
36,10,31.77,152.5749,152.5749,1
37,10,33.36,206.1955,206.1955,1
38,10,34.40,180.6393,180.6393,1
39,10,30.41,189.9213,189.9213,1
40,10,40.32,137.3029,137.3029,1
41,10,42.27,165.2145,165.2145,1
42,10,51.93,146.4518,146.4518,1
43,10,33.30,146.9147,146.9147,1
44,10,42.01,143.5222,143.5222,1
45,10,51.96,176.1234,176.1234,1
46,10,42.32,164.9004,164.9004,1
47,10,46.72,225.7125,225.7125,1
48,10,37.25,215.8339,215.8339,1
49,10,40.16,166.0768,166.0768,1
50,10,40.35,153.3045,153.3045,1
51,10,46.93,155.2946,155.2946,1
52,10,36.47,204.6073,204.6073,1
53,10,49.83,149.9597,149.9597,1
54,10,44.46,183.6138,183.6138,1
55,10,37.29,120.5550,120.5550,1
56,10,42.44,170.2897,170.2897,1
57,10,46.16,163.1976,163.1976,1
58,10,33.08,137.3135,137.3135,1
59,10,40.41,157.8625,157.8625,1
60,10,43.71,172.3584,172.3584,1
61,10,46.85,173.6445,173.6445,1
62,10,35.03,168.1490,168.1490,1
63,10,35.47,148.9642,148.9642,1
64,10,37.91,167.4330,167.4330,1
65,10,44.05,125.6673,125.6673,1
66,10,47.50,179.6196,179.6196,1
67,10,33.37,199.6321,199.6321,1
68,10,47.06,146.7437,146.7437,1
69,10,47.47,143.5053,143.5053,1
70,10,45.17,131.5182,131.5182,1
71,10,37.22,151.8680,151.8680,1
72,10,46.30,191.8262,191.8262,1
73,10,29.20,200.5081,200.5081,1
74,10,39.97,174.2568,174.2568,1
75,10,43.68,199.7931,199.7931,1
76,10,51.11,141.9920,141.9920,1
77,10,56.22,179.2558,179.2558,1
78,10,44.78,177.0024,177.0024,1
79,10,46.54,162.3966,162.3966,1
80,10,38.55,140.8616,140.8616,1
81,10,34.45,168.8649,168.8649,1
82,10,22.99,206.1620,206.1620,1
83,10,42.88,205.9733,205.9733,1
84,10,38.86,144.2281,144.2281,1
85,10,39.13,164.8573,164.8573,1
86,10,48.51,170.6014,170.6014,1
87,10,29.23,159.7841,159.7841,1
88,10,49.74,157.1183,157.1183,1
89,10,44.96,221.4299,221.4299,1
90,10,52.05,119.1481,119.1481,1
91,10,29.65,196.5776,196.5776,1
92,10,40.81,165.0701,165.0701,1
93,10,47.76,161.0078,161.0078,1
94,10,47.77,174.7429,174.7429,1
95,10,32.14,126.1509,126.1509,1
96,10,47.25,193.4257,193.4257,1
97,10,46.39,201.6547,201.6547,1
98,10,52.90,177.2334,177.2334,1
99,10,55.52,191.4169,191.4169,1
