inst,simplex_obj,enum_obj,agree
2,-12.66802232,-12.66802232,1
3,-11.04513947,-11.04513947,1
4,-14.13166225,-14.13166225,1
5,-14.31529095,-14.31529095,1
6,-10.12014823,-10.12014823,1
7,-17.91270506,-17.91270506,1
8,-12.76804437,-12.76804437,1
10,-13.38898018,-13.38898018,1
11,-14.18544923,-14.18544923,1
12,-14.43915534,-14.43915534,1
13,-12.63224757,-12.63224757,1
15,-15.75593959,-15.75593959,1
16,-10.50952497,-10.50952497,1
17,-12.55421505,-12.55421505,1
19,-11.99890361,-11.99890361,1
20,-15.03548455,-15.03548455,1
21,-9.62285696,-9.62285696,1
22,-9.28413755,-9.28413755,1
23,-12.93974457,-12.93974457,1
24,-14.80673159,-14.80673159,1
25,-11.21200123,-11.21200123,1
26,-31.35945065,-31.35945065,1
27,-13.48864812,-13.48864812,1
28,-11.56170832,-11.56170832,1
29,-11.49654642,-11.49654642,1
