sched,step,gap
inv_sqrt_k,30000,1.293546e-03
inv_sqrt_k,37356,7.819359e-04
inv_sqrt_k,46515,1.925880e-04
inv_sqrt_k,57921,3.362751e-04
inv_sqrt_k,72123,6.904537e-04
inv_sqrt_k,89807,3.764697e-04
inv_sqrt_k,111828,4.648061e-05
inv_sqrt_k,139248,2.016418e-04
inv_sqrt_k,173391,1.874232e-04
inv_sqrt_k,215906,1.444816e-04
inv_sqrt_k,268845,1.371132e-04
inv_sqrt_k,334765,3.906881e-05
inv_sqrt_k,416849,2.345867e-05
inv_sqrt_k,519059,3.887116e-05
inv_sqrt_k,646330,4.888535e-06
inv_sqrt_k,804809,3.790757e-05
inv_sqrt_k,1002145,1.617839e-05
inv_sqrt_k,1247869,1.923602e-05
inv_sqrt_k,1553842,6.576538e-06
inv_sqrt_k,1934840,1.117635e-05
inv_sqrt_k,2409257,1.324471e-05
inv_sqrt_k,3000000,1.664968e-06
