problem,N,rms_error,exact,se_mean
pi_hitmiss,256,0.10463156,3.14159265,
gauss_box,256,0.02992774,1.49364827,
pi_hitmiss,512,0.07864174,3.14159265,
gauss_box,512,0.01881204,1.49364827,
pi_hitmiss,1024,0.04950846,3.14159265,
gauss_box,1024,0.01336058,1.49364827,
pi_hitmiss,2048,0.03646971,3.14159265,
gauss_box,2048,0.00990002,1.49364827,
pi_hitmiss,4096,0.01884213,3.14159265,
gauss_box,4096,0.00614654,1.49364827,
pi_hitmiss,8192,0.01840213,3.14159265,
gauss_box,8192,0.00431944,1.49364827,
pi_hitmiss,16384,0.01171348,3.14159265,
gauss_box,16384,0.00275610,1.49364827,
pi_hitmiss,32768,0.00914496,3.14159265,
gauss_box,32768,0.00219243,1.49364827,
