layer,T,accept_rate
0,12.000000,0.5000
1,11.040000,0.5000
2,10.156800,0.4500
3,9.344256,0.4500
4,8.596716,0.4250
5,7.908978,0.3000
6,7.276260,0.2250
7,6.694159,0.4500
8,6.158626,0.2250
9,5.665936,0.4000
10,5.212661,0.1500
11,4.795649,0.0000
12,4.411997,0.0750
13,4.059037,0.2000
14,3.734314,0.1250
15,3.435569,0.0250
16,3.160723,0.0000
17,2.907865,0.0500
18,2.675236,0.0000
19,2.461217,0.0000
20,2.264320,0.1250
21,2.083174,0.0000
22,1.916520,0.0000
23,1.763199,0.0000
24,1.622143,0.0000
25,1.492371,0.0000
26,1.372982,0.0000
27,1.263143,0.1000
28,1.162092,0.0000
29,1.069124,0.0250
30,0.983594,0.0000
31,0.904907,0.0500
32,0.832514,0.0000
33,0.765913,0.0750
34,0.704640,0.0250
35,0.648269,0.0000
36,0.596407,0.0000
37,0.548695,0.0250
38,0.504799,0.0000
39,0.464415,0.0000
40,0.427262,0.0000
41,0.393081,0.0000
42,0.361635,0.0000
43,0.332704,0.0000
44,0.306088,0.0000
45,0.281601,0.0000
46,0.259072,0.0000
47,0.238347,0.0000
48,0.219279,0.0250
49,0.201737,0.0000
50,0.185598,0.0000
51,0.170750,0.0000
52,0.157090,0.0000
53,0.144523,0.0000
54,0.132961,0.0000
55,0.122324,0.0000
56,0.112538,0.0000
57,0.103535,0.0000
58,0.095252,0.0250
59,0.087632,0.0000
