alpha,inner,T0,step,n_runs,hit_rate,avg_fevals
0.900,10,0.500,0.200,60,0.0833,810
0.900,20,0.500,0.200,60,0.2833,1620
0.900,40,0.500,0.200,60,0.4500,3240
0.950,10,0.500,0.200,60,0.2500,1670
0.950,20,0.500,0.200,60,0.4667,3340
0.950,40,0.500,0.200,60,0.7667,6680
0.980,10,0.500,0.200,60,0.6167,4220
0.980,20,0.500,0.200,60,0.9333,8440
0.980,40,0.500,0.200,60,0.9833,16880
0.990,10,0.500,0.200,60,0.9667,8480
0.990,20,0.500,0.200,60,0.9833,16960
0.990,40,0.500,0.200,60,1.0000,33920
0.900,10,1.000,0.200,60,0.1000,880
0.900,20,1.000,0.200,60,0.2667,1760
0.900,40,1.000,0.200,60,0.5333,3520
0.950,10,1.000,0.200,60,0.3000,1800
0.950,20,1.000,0.200,60,0.4667,3600
0.950,40,1.000,0.200,60,0.7833,7200
0.980,10,1.000,0.200,60,0.5333,4560
0.980,20,1.000,0.200,60,0.7167,9120
0.980,40,1.000,0.200,60,0.9500,18240
0.990,10,1.000,0.200,60,0.8167,9170
0.990,20,1.000,0.200,60,0.9667,18340
0.990,40,1.000,0.200,60,0.9667,36680
0.900,10,5.000,0.200,60,0.0000,1030
0.900,20,5.000,0.200,60,0.0833,2060
0.900,40,5.000,0.200,60,0.2167,4120
0.950,10,5.000,0.200,60,0.0333,2110
0.950,20,5.000,0.200,60,0.1500,4220
0.950,40,5.000,0.200,60,0.3500,8440
0.980,10,5.000,0.200,60,0.2000,5360
0.980,20,5.000,0.200,60,0.2333,10720
0.980,40,5.000,0.200,60,0.3500,21440
0.990,10,5.000,0.200,60,0.2000,10770
0.990,20,5.000,0.200,60,0.2833,21540
0.990,40,5.000,0.200,60,0.4167,43080
0.900,10,20.000,0.200,60,0.0000,1160
0.900,20,20.000,0.200,60,0.0000,2320
0.900,40,20.000,0.200,60,0.0167,4640
0.950,10,20.000,0.200,60,0.0167,2380
0.950,20,20.000,0.200,60,0.0167,4760
0.950,40,20.000,0.200,60,0.0333,9520
0.980,10,20.000,0.200,60,0.0833,6050
0.980,20,20.000,0.200,60,0.0667,12100
0.980,40,20.000,0.200,60,0.1333,24200
0.990,10,20.000,0.200,60,0.0667,12150
0.990,20,20.000,0.200,60,0.1333,24300
0.990,40,20.000,0.200,60,0.1000,48600
