target,T0_used,acc_first_layer
0.80,56.444039,0.8000
0.80,75.261606,0.8500
0.80,39.868328,0.8000
0.80,59.326335,0.8750
0.80,45.653130,0.8500
0.80,13.555445,0.5000
0.80,58.375804,0.8000
0.80,52.454432,0.7500
0.80,1.000000,0.0750
0.80,78.472846,0.9500
0.80,56.220281,0.8250
0.80,85.137783,0.9750
0.80,31.604033,0.9250
0.80,75.293407,1.0000
0.80,42.935792,0.8500
0.80,32.965562,0.7750
0.80,42.484806,0.8500
0.80,89.298964,0.9500
0.80,91.520255,0.9250
0.80,56.614721,0.8000
0.80,97.482088,0.9750
0.80,30.196190,0.6500
0.80,57.486687,0.9250
0.80,64.164830,1.0000
0.80,43.125473,0.9250
0.80,7.767420,0.3000
0.80,35.684101,0.8000
0.80,28.999375,0.9000
0.80,6.023013,0.2000
0.80,10.024201,0.5500
0.80,30.482143,0.7500
0.80,62.451574,0.8500
0.80,18.629371,0.5000
0.80,41.123781,0.9500
0.80,43.982478,0.9000
0.80,85.283788,0.8250
0.80,53.414044,0.8500
0.80,52.033329,0.9000
0.80,29.865186,0.8250
0.80,74.895743,0.9250
0.80,67.762330,0.8500
0.80,98.498569,1.0000
0.80,34.058575,0.8000
0.80,61.242323,0.8000
0.80,83.556803,0.9250
0.80,59.040542,0.9250
0.80,69.781846,0.9750
0.80,20.221764,0.7750
0.80,71.348542,0.9500
0.80,62.960209,0.7750
0.80,83.113769,0.8000
0.80,13.647254,0.4750
0.80,71.889388,0.9750
0.80,51.997074,0.8000
0.80,109.448965,0.9750
0.80,59.603193,0.9500
0.80,48.659370,0.8500
0.80,40.048381,0.7750
0.80,54.611294,0.8500
0.80,57.722172,1.0000
0.80,73.080715,0.9250
0.80,108.588970,0.9250
0.80,92.294398,0.9000
0.80,56.071786,0.9000
0.80,72.347590,0.9000
0.80,61.486497,0.9250
0.80,32.138244,0.8000
0.80,12.182059,0.6500
0.80,33.023887,0.8000
0.80,38.472430,0.8250
0.80,72.736242,0.9250
0.80,60.008184,0.8000
0.80,52.486588,0.9250
0.80,67.143700,0.9000
0.80,39.939941,0.8000
0.80,51.275218,0.9000
0.80,42.839613,0.9250
0.80,23.429200,0.7500
0.80,34.318364,0.9000
0.80,30.423692,0.7500
0.80,48.582691,0.8250
0.80,86.814676,0.8250
0.80,53.049740,0.9500
0.80,56.839148,0.8750
0.80,104.178645,0.9750
0.80,38.923477,0.8500
0.80,55.329260,0.7750
0.80,45.199226,0.7750
0.80,45.530291,0.7750
0.80,40.708676,0.8750
0.80,6.710537,0.2750
0.80,13.321856,0.6500
0.80,44.442950,0.7250
0.80,24.466184,0.8250
0.80,61.418806,0.8000
0.80,69.073254,0.9000
0.80,59.674987,0.8750
0.80,31.546229,0.9250
0.80,65.885564,0.9500
0.80,57.510446,0.9250
0.30,18.682041,0.5750
0.30,11.310363,0.3750
0.30,7.286517,0.3500
0.30,20.255383,0.7000
0.30,11.278120,0.6250
0.30,9.085247,0.2500
0.30,9.040066,0.4500
0.30,8.501186,0.5750
0.30,2.571372,0.1500
0.30,0.979754,0.2000
0.30,5.761513,0.2000
0.30,1.000000,0.0750
0.30,3.611381,0.2500
0.30,5.332739,0.3250
0.30,9.561854,0.4500
0.30,8.662157,0.4500
0.30,8.477150,0.3250
0.30,5.533772,0.2500
0.30,9.940482,0.3250
0.30,7.052581,0.3750
0.30,6.893465,0.3000
0.30,10.488535,0.4750
0.30,6.936713,0.3250
0.30,3.025603,0.2000
0.30,2.826363,0.3750
0.30,7.366381,0.2500
0.30,6.251877,0.3750
0.30,19.043955,0.6000
0.30,10.626940,0.6500
0.30,3.436290,0.1750
0.30,9.768833,0.5750
0.30,3.560883,0.3500
0.30,7.486357,0.3750
0.30,9.129610,0.4000
0.30,8.346243,0.5000
0.30,11.014221,0.6500
0.30,6.167309,0.2750
0.30,12.102358,0.4250
0.30,7.714361,0.2250
0.30,2.654777,0.1000
0.30,5.051180,0.4750
0.30,11.215071,0.6000
0.30,25.298175,0.8000
0.30,9.079514,0.6250
0.30,18.003362,0.7000
0.30,13.027861,0.6250
0.30,5.979998,0.3750
0.30,5.260938,0.2000
0.30,11.100832,0.3000
0.30,16.712575,0.4500
0.30,9.278779,0.6500
0.30,13.248239,0.4750
0.30,5.121177,0.1750
0.30,14.459514,0.5750
0.30,17.998803,0.7250
0.30,3.073921,0.1750
0.30,8.404531,0.5250
0.30,5.925105,0.4000
0.30,11.474536,0.4750
0.30,17.076495,0.3250
0.30,8.637043,0.3750
0.30,3.574012,0.1500
0.30,7.744748,0.3500
0.30,7.438971,0.5250
0.30,6.289024,0.3750
0.30,6.340012,0.3750
0.30,19.465925,0.6750
0.30,1.000000,0.1750
0.30,11.766477,0.5750
0.30,9.430294,0.4750
0.30,6.466521,0.3500
0.30,5.914034,0.2000
0.30,13.375793,0.6750
0.30,1.000000,0.1250
0.30,6.399483,0.4250
0.30,9.223124,0.6500
0.30,12.276704,0.4250
0.30,9.068451,0.4500
0.30,7.326641,0.2500
0.30,8.021016,0.4000
0.30,19.715153,0.6750
0.30,7.766596,0.3500
0.30,9.669546,0.3000
0.30,9.213458,0.3500
0.30,9.405245,0.5500
0.30,1.608328,0.0750
0.30,20.030259,0.6500
0.30,5.734407,0.3000
0.30,12.724238,0.4750
0.30,9.621702,0.4250
0.30,15.335228,0.6500
0.30,5.578672,0.3750
0.30,7.021806,0.4250
0.30,9.949275,0.5500
0.30,2.597390,0.1500
0.30,8.702502,0.5250
0.30,6.863332,0.3750
0.30,12.274728,0.3250
0.30,10.745691,0.3250
0.30,18.873039,0.6000
