pair,len_swap,len_2opt,diff
0,31.546456,31.546456,0.000000
1,31.546456,31.546456,-0.000000
2,31.546456,31.546456,-0.000000
3,31.546456,31.546456,0.000000
4,31.546456,31.546456,0.000000
5,31.546456,31.546456,0.000000
6,31.546456,31.546456,0.000000
7,31.546456,31.546456,-0.000000
8,31.546456,31.546456,0.000000
9,35.071954,31.546456,3.525499
10,35.071954,31.546456,3.525499
11,31.546456,31.546456,-0.000000
12,31.546456,31.546456,0.000000
13,31.546456,31.546456,0.000000
14,31.546456,31.546456,0.000000
15,31.546456,31.546456,0.000000
16,35.071954,31.546456,3.525499
17,31.546456,31.546456,0.000000
18,31.546456,31.546456,-0.000000
19,31.546456,31.546456,0.000000
20,35.479086,31.546456,3.932631
21,31.546456,31.546456,0.000000
22,37.101473,31.546456,5.555017
23,31.546456,34.528869,-2.982413
24,31.546456,31.546456,0.000000
25,31.546456,31.546456,-0.000000
26,36.652993,31.546456,5.106537
27,31.546456,31.546456,0.000000
28,31.546456,31.546456,0.000000
29,31.546456,31.546456,0.000000
30,35.828962,31.546456,4.282507
31,31.546456,31.546456,0.000000
32,31.546456,31.546456,0.000000
33,31.546456,31.546456,-0.000000
34,31.546456,31.546456,0.000000
35,31.546456,31.546456,0.000000
36,31.546456,31.546456,0.000000
37,31.546456,31.546456,0.000000
38,31.546456,31.546456,-0.000000
39,35.479086,31.546456,3.932631
40,31.546456,31.546456,0.000000
41,31.546456,31.546456,0.000000
42,31.546456,31.546456,0.000000
43,35.479086,31.546456,3.932631
44,31.546456,31.546456,-0.000000
45,31.546456,31.546456,0.000000
46,31.546456,31.546456,0.000000
47,40.374844,31.546456,8.828389
48,35.979436,31.546456,4.432981
49,34.528869,31.546456,2.982413
