algo,mean_len,sd_len,mean_fevals,min_len
SA,32.849969,0.083683,6200.00,32.841601
TS,32.841601,0.000000,6081.00,32.841601
VNS,32.841601,0.000000,6000.00,32.841601
ILS,32.841601,0.000000,6000.00,32.841601
pair_i,SA,TS,VNS,ILS
0,32.841601,32.841601,32.841601,32.841601
1,32.841601,32.841601,32.841601,32.841601
2,32.841601,32.841601,32.841601,32.841601
3,32.841601,32.841601,32.841601,32.841601
4,32.841601,32.841601,32.841601,32.841601
5,32.841601,32.841601,32.841601,32.841601
6,32.841601,32.841601,32.841601,32.841601
7,32.841601,32.841601,32.841601,32.841601
8,32.841601,32.841601,32.841601,32.841601
9,32.841601,32.841601,32.841601,32.841601
10,32.841601,32.841601,32.841601,32.841601
11,32.841601,32.841601,32.841601,32.841601
12,32.841601,32.841601,32.841601,32.841601
13,32.841601,32.841601,32.841601,32.841601
14,32.841601,32.841601,32.841601,32.841601
15,32.841601,32.841601,32.841601,32.841601
16,32.841601,32.841601,32.841601,32.841601
17,32.841601,32.841601,32.841601,32.841601
18,32.841601,32.841601,32.841601,32.841601
19,32.841601,32.841601,32.841601,32.841601
20,32.841601,32.841601,32.841601,32.841601
21,32.841601,32.841601,32.841601,32.841601
22,32.841601,32.841601,32.841601,32.841601
23,32.841601,32.841601,32.841601,32.841601
24,32.841601,32.841601,32.841601,32.841601
25,32.841601,32.841601,32.841601,32.841601
26,32.841601,32.841601,32.841601,32.841601
27,32.841601,32.841601,32.841601,32.841601
28,32.841601,32.841601,32.841601,32.841601
29,32.841601,32.841601,32.841601,32.841601
30,32.841601,32.841601,32.841601,32.841601
31,32.841601,32.841601,32.841601,32.841601
32,32.841601,32.841601,32.841601,32.841601
33,32.841601,32.841601,32.841601,32.841601
34,32.841601,32.841601,32.841601,32.841601
35,32.841601,32.841601,32.841601,32.841601
36,32.841601,32.841601,32.841601,32.841601
37,32.841601,32.841601,32.841601,32.841601
38,32.841601,32.841601,32.841601,32.841601
39,32.841601,32.841601,32.841601,32.841601
40,32.841601,32.841601,32.841601,32.841601
41,32.841601,32.841601,32.841601,32.841601
42,32.841601,32.841601,32.841601,32.841601
43,32.841601,32.841601,32.841601,32.841601
44,32.841601,32.841601,32.841601,32.841601
45,32.841601,32.841601,32.841601,32.841601
46,32.841601,32.841601,32.841601,32.841601
47,32.841601,32.841601,32.841601,32.841601
48,32.841601,32.841601,32.841601,32.841601
49,32.841601,32.841601,32.841601,32.841601
50,32.841601,32.841601,32.841601,32.841601
51,32.841601,32.841601,32.841601,32.841601
52,32.841601,32.841601,32.841601,32.841601
53,32.841601,32.841601,32.841601,32.841601
54,32.841601,32.841601,32.841601,32.841601
55,32.841601,32.841601,32.841601,32.841601
56,32.841601,32.841601,32.841601,32.841601
57,32.841601,32.841601,32.841601,32.841601
58,32.841601,32.841601,32.841601,32.841601
59,32.841601,32.841601,32.841601,32.841601
60,32.841601,32.841601,32.841601,32.841601
61,32.841601,32.841601,32.841601,32.841601
62,32.841601,32.841601,32.841601,32.841601
63,32.841601,32.841601,32.841601,32.841601
64,32.841601,32.841601,32.841601,32.841601
65,32.841601,32.841601,32.841601,32.841601
66,32.841601,32.841601,32.841601,32.841601
67,32.841601,32.841601,32.841601,32.841601
68,32.841601,32.841601,32.841601,32.841601
69,32.841601,32.841601,32.841601,32.841601
70,32.841601,32.841601,32.841601,32.841601
71,32.841601,32.841601,32.841601,32.841601
72,32.841601,32.841601,32.841601,32.841601
73,32.841601,32.841601,32.841601,32.841601
74,32.841601,32.841601,32.841601,32.841601
75,32.841601,32.841601,32.841601,32.841601
76,32.841601,32.841601,32.841601,32.841601
77,32.841601,32.841601,32.841601,32.841601
78,32.841601,32.841601,32.841601,32.841601
79,33.678429,32.841601,32.841601,32.841601
80,32.841601,32.841601,32.841601,32.841601
81,32.841601,32.841601,32.841601,32.841601
82,32.841601,32.841601,32.841601,32.841601
83,32.841601,32.841601,32.841601,32.841601
84,32.841601,32.841601,32.841601,32.841601
85,32.841601,32.841601,32.841601,32.841601
86,32.841601,32.841601,32.841601,32.841601
87,32.841601,32.841601,32.841601,32.841601
88,32.841601,32.841601,32.841601,32.841601
89,32.841601,32.841601,32.841601,32.841601
90,32.841601,32.841601,32.841601,32.841601
91,32.841601,32.841601,32.841601,32.841601
92,32.841601,32.841601,32.841601,32.841601
93,32.841601,32.841601,32.841601,32.841601
94,32.841601,32.841601,32.841601,32.841601
95,32.841601,32.841601,32.841601,32.841601
96,32.841601,32.841601,32.841601,32.841601
97,32.841601,32.841601,32.841601,32.841601
98,32.841601,32.841601,32.841601,32.841601
99,32.841601,32.841601,32.841601,32.841601
