inst,len_ils,len_restarts
0,35.014352,34.014089
1,37.794672,37.986717
2,33.792877,34.144045
3,29.705830,30.355533
4,32.874886,32.892068
5,35.105146,35.805744
6,32.812673,33.861467
7,35.225033,36.289795
8,35.791825,38.198222
9,33.058554,31.921398
10,33.136575,32.975031
11,32.200392,32.877385
12,33.145974,33.806824
13,36.015504,35.735174
14,36.917699,36.917699
15,33.174190,33.456358
16,35.113355,35.168132
17,37.034526,37.129497
18,35.631747,36.579541
19,34.169588,34.169588
20,32.574095,32.552198
21,32.688324,32.377037
22,33.677815,35.444619
23,41.538863,41.856003
24,34.493169,34.737247
25,33.647459,35.851809
26,32.031471,32.926964
27,37.428393,38.181720
28,45.612849,46.100278
29,33.937051,34.384987
30,31.026516,31.027800
31,37.883570,38.402848
32,34.387641,33.986532
33,35.054185,35.104791
34,33.799391,35.053758
35,34.808077,34.485010
36,39.720932,40.279126
37,34.704772,33.600967
38,35.862113,35.283918
39,36.177680,35.320444
40,29.922674,31.150634
41,31.813758,33.344458
42,32.423595,33.643039
43,36.127904,36.994070
44,37.475287,37.475287
45,37.627612,37.289208
46,35.377764,35.112398
47,37.859928,36.780191
48,36.551732,37.643279
49,35.759864,36.290545
50,34.838883,35.650816
51,30.178888,28.464583
52,32.411962,32.543531
53,34.974475,34.579542
54,35.644145,35.727716
55,38.110493,39.134013
56,32.531904,31.789710
57,40.033329,40.033329
58,32.021603,32.021603
59,36.829700,37.361636
