run,len_lambda0,len_lambda002
0,32.280713,32.280713
1,32.280713,32.280713
2,32.280713,32.280713
3,32.280713,32.280713
4,32.280713,32.280713
5,32.280713,32.280713
6,32.280713,32.280713
7,32.280713,32.280713
8,32.280713,32.280713
9,32.280713,32.280713
10,32.280713,32.280713
11,32.280713,32.280713
12,32.280713,32.280713
13,32.280713,32.280713
14,32.280713,32.280713
15,32.280713,32.280713
16,32.280713,32.280713
17,32.280713,32.280713
18,32.280713,32.280713
19,32.280713,32.280713
20,32.280713,32.280713
21,32.280713,32.280713
22,32.280713,32.280713
23,32.280713,32.280713
24,32.280713,32.280713
25,32.280713,32.280713
26,32.280713,32.280713
27,32.280713,32.280713
28,32.280713,32.280713
29,32.280713,32.280713
