run,len_first,fe_first,len_best,fe_best
0,32.060307,4662,32.060307,10641
1,32.247989,5584,32.247989,10641
2,32.247989,5428,32.060307,12161
3,32.247989,3859,32.060307,10641
4,32.060307,4458,32.060307,9121
5,32.247989,4534,32.060307,9121
6,32.060307,2453,32.060307,8361
7,32.060307,4321,32.060307,10641
8,32.247989,3620,32.247989,10641
9,32.060307,3053,32.060307,9881
10,32.247989,4559,32.060307,9881
11,32.247989,3918,32.247989,8361
12,32.060307,3619,32.060307,9881
13,32.060307,3194,32.060307,11401
14,32.060307,3263,32.247989,9881
15,32.247989,2662,32.060307,9881
16,32.247989,3851,32.060307,9881
17,32.060307,3176,32.247989,11401
18,32.247989,4263,32.247989,10641
19,32.247989,2636,32.060307,9121
20,32.247989,3831,32.060307,10641
21,32.060307,2775,32.247989,9121
22,32.247989,2738,32.060307,9121
23,32.060307,3466,32.247989,10641
24,32.060307,3428,32.060307,8361
25,32.060307,2514,32.060307,9881
26,32.247989,2719,32.060307,9121
27,32.060307,3194,32.060307,11401
28,32.060307,3768,32.060307,10641
29,32.060307,3253,32.060307,9881
