pair,len_swap,len_2opt,len_oropt,len_multi
0,38.859084,39.046556,43.497216,37.364286
1,40.445497,40.938785,50.515770,37.795133
2,46.159654,38.420529,50.011671,37.795133
3,45.168871,38.374927,50.011671,37.364286
4,42.510581,39.046556,50.011671,37.364286
5,47.268923,40.938785,47.400182,40.938785
6,41.926051,38.374927,50.147719,39.254389
7,53.246517,38.420529,52.702154,39.046556
8,47.797877,39.046556,46.947059,37.795133
9,42.510581,38.374927,50.515770,37.364286
10,47.525887,38.420529,48.263379,37.364286
11,46.181466,39.102695,50.515770,38.374927
12,49.024549,41.127277,50.105141,37.364286
13,42.762648,39.254389,48.263379,39.254389
14,44.759927,40.938785,47.400182,37.364286
15,45.279067,40.938785,50.077666,38.976029
16,44.198776,38.374927,37.364286,37.364286
17,46.710972,40.795695,47.400182,37.364286
18,41.696367,38.420529,50.515770,37.364286
19,46.154855,41.228046,47.085943,37.364286
20,44.946641,39.046556,38.763227,39.102695
21,44.310194,39.647658,50.515770,38.374927
22,42.974530,42.860886,50.515770,40.087825
23,48.329465,38.374927,44.728398,37.364286
24,46.015713,39.046556,49.366692,38.794099
25,48.342926,38.374927,50.515770,37.364286
26,49.804868,39.254389,50.446847,37.364286
27,51.552838,39.092157,50.011671,37.364286
28,45.665248,40.938785,53.888923,37.364286
29,48.121981,38.420529,49.764398,37.795133
30,42.153903,39.046556,47.883855,38.374927
31,38.859084,38.420529,38.763227,37.364286
32,43.773732,40.938785,51.417600,37.364286
33,41.715840,44.660250,52.558366,39.046556
34,44.208257,38.420529,52.702154,38.374927
35,43.152989,40.938785,47.904281,40.116958
36,48.271086,38.374927,38.763227,39.102695
37,44.250591,40.938785,49.366692,38.374927
38,44.566120,39.774323,38.763227,38.374927
39,48.107449,38.420529,46.595740,37.795133
