variant,first_low_gen
rand1,99
best1,4
rand1,118
best1,5
rand1,147
best1,5
rand1,150
best1,6
rand1,172
best1,6
rand1,177
best1,6
rand1,184
best1,6
rand1,188
best1,6
rand1,193
best1,6
rand1,198
best1,6
rand1,201
best1,7
rand1,201
best1,7
rand1,201
best1,7
rand1,201
best1,8
rand1,201
best1,8
rand1,201
best1,8
rand1,201
best1,8
rand1,201
best1,8
rand1,201
best1,9
rand1,201
best1,9
rand1,201
best1,9
rand1,201
best1,9
rand1,201
best1,10
rand1,201
best1,10
rand1,201
best1,10
rand1,201
best1,12
rand1,201
best1,12
rand1,201
best1,13
rand1,201
best1,14
rand1,201
best1,17
