F,CR,n_success,n_runs,rate,mean_best
0.2,0.0,44,50,0.8800,0.048193
0.2,0.2,19,50,0.3800,0.384788
0.2,0.4,4,50,0.0800,2.185059
0.2,0.6,3,50,0.0600,3.815613
0.2,0.8,0,50,0.0000,3.959928
0.2,1.0,0,50,0.0000,33.651840
0.4,0.0,38,50,0.7600,0.009038
0.4,0.2,0,50,0.0000,4.811618
0.4,0.4,0,50,0.0000,12.885230
0.4,0.6,0,50,0.0000,18.838535
0.4,0.8,0,50,0.0000,25.798408
0.4,1.0,0,50,0.0000,20.478830
0.6,0.0,3,50,0.0600,0.067281
0.6,0.2,0,50,0.0000,7.965045
0.6,0.4,0,50,0.0000,17.340289
0.6,0.6,0,50,0.0000,26.617252
0.6,0.8,0,50,0.0000,34.958261
0.6,1.0,0,50,0.0000,42.086497
0.8,0.0,0,50,0.0000,0.145733
0.8,0.2,0,50,0.0000,9.052509
0.8,0.4,0,50,0.0000,20.644770
0.8,0.6,0,50,0.0000,30.934126
0.8,0.8,0,50,0.0000,45.935861
0.8,1.0,0,50,0.0000,57.430264
1.0,0.0,4,50,0.0800,0.029813
1.0,0.2,0,50,0.0000,2.598131
1.0,0.4,0,50,0.0000,11.536966
1.0,0.6,0,50,0.0000,27.207921
1.0,0.8,0,50,0.0000,48.034257
1.0,1.0,0,50,0.0000,54.072928
