pair,f_sph_rand,f_sph_best,f_ras_rand,f_ras_best
0,0.0014003707,7.5636263e-13,2.1757326,37.915195
1,0.0021106973,2.1055166e-12,2.6671066,36.746518
2,0.002212743,4.7434633e-12,4.0633328,31.372872
3,0.0016137411,1.3982821e-12,2.0050752,25.703934
4,0.001838898,7.3768081e-12,7.4651238,20.555077
5,0.0081511781,1.3818648e-12,4.0149023,38.726242
6,0.0028246937,1.1223864e-13,1.2877497,24.06855
7,0.003576054,1.7940386e-09,16.292373,33.654607
8,0.0017309358,3.4506445e-14,7.5885371,27.249349
9,0.00079196762,1.2547301e-11,1.9980014,35.718263
10,0.00158962,1.2861105e-12,7.4242675,35.345713
11,0.0039298639,3.803717e-14,5.0620574,55.644831
12,0.0014114578,5.1107605e-12,7.9503378,16.842379
13,0.0017438541,1.5003921e-12,13.31616,37.799959
14,0.0010923492,1.1645032e-10,12.383822,44.358299
15,0.00094969862,6.4236295e-12,3.9452919,29.628485
16,0.0021692148,2.1289116e-13,8.8116478,49.018693
17,0.0024488819,2.3318343e-14,6.0079481,32.711117
18,0.00072996587,1.3984883e-14,1.9974709,40.04734
19,0.0023164799,4.1540775e-13,4.0547205,38.107355
20,0.0030846763,4.6971747e-13,1.99237,26.191072
21,0.0014143286,4.1249205e-13,3.6323439,32.401572
22,0.0038949966,7.7155706e-11,6.9714834,45.110136
23,0.0027712952,2.3223103e-13,8.1378777,63.135396
24,0.0044462221,6.389047e-11,6.0838002,42.843927
25,0.001460178,2.8874856e-13,3.0615937,42.132715
26,0.0016760982,1.2291736e-13,5.2955229,34.116519
27,0.00056027618,2.0135911e-13,2.5563188,28.544288
28,0.0026213354,4.4355269e-11,2.1004158,36.701093
29,0.0021743704,1.9370615e-13,7.6937162,42.462619
30,0.0016247266,1.4795793e-14,4.0963174,35.966148
31,0.0062921868,6.9945441e-12,7.3991522,39.65946
32,0.001207598,1.0566969e-12,14.375388,40.453182
33,0.0039297385,6.74679e-13,16.736524,42.495089
34,0.0053452034,4.5456392e-13,3.0291717,50.843889
35,0.0015037543,1.7381657e-12,1.0594598,38.710735
36,0.023334018,3.0442789e-12,7.5649258,42.255833
37,0.00058501414,2.7038204e-14,6.1796031,57.641511
38,0.00071600078,2.2467831e-11,10.448399,38.576066
39,0.0030959178,5.3956368e-13,8.0810747,25.882358
