pair,f_ros_rand,f_ros_best
0,5.8051006,105.68921
1,4.1495776,133.17244
2,5.6563496,11.595038
3,4.5567758,32.022601
4,6.0941951,67.490961
5,1.3558224,9.5518409
6,5.4220468,6.5144626
7,5.4503824,80.944567
8,3.8026577,116.14079
9,6.3624993,16.132162
10,5.5566387,71.745822
11,3.4071416,12.175401
12,6.2582711,6.5594381
13,2.1976316,31.64335
14,2.8343922,37.901254
15,5.3908009,31.857084
16,7.2169786,10.415143
17,5.1528616,9.7193946
18,5.0872632,66.584079
19,3.1327049,63.895722
20,4.4486908,96.345454
21,4.2715997,85.941482
22,6.7549859,301.48556
23,6.4053854,11.542981
24,5.7013252,61.121649
25,4.3359674,53.745009
26,3.7864353,69.342274
27,5.9748546,43.981015
28,5.5960553,67.507898
29,6.6880662,36.143396
30,5.9760934,198.45371
31,3.3125796,78.51286
32,7.2857672,8.9259032
33,5.6236891,12.682259
34,4.8470282,78.175376
35,6.0547125,143.40053
36,5.0749198,132.28945
37,5.2023959,99.562361
38,5.6330067,31.062959
39,4.5772985,29.695234
