group,first_low_gen,div_gen3
premature,3,0.4423
premature,5,0.6221
premature,6,0.6862
premature,10,0.7174
premature,5,0.6383
premature,3,0.4581
premature,4,0.5227
premature,4,0.5107
premature,5,0.6825
premature,4,0.6038
premature,6,0.7509
premature,4,0.5553
premature,7,0.7292
premature,7,0.7023
premature,3,0.4653
premature,5,0.5256
premature,4,0.6050
premature,6,0.6149
premature,6,0.6949
premature,4,0.7167
premature,6,0.7214
premature,3,0.4869
premature,3,0.4023
premature,7,0.6954
premature,4,0.6165
premature,4,0.5008
premature,3,0.4488
premature,6,0.5634
premature,7,0.6813
premature,4,0.6260
premature,9,0.6523
premature,6,0.7650
premature,5,0.5942
premature,4,0.6798
premature,7,0.5152
premature,4,0.6839
premature,4,0.5836
premature,5,0.7351
premature,4,0.6666
premature,4,0.5496
success,16,0.8915
success,13,0.9093
success,14,0.8902
success,13,0.9076
success,15,0.9045
success,13,0.8930
success,15,0.8925
success,15,0.9098
success,16,0.8760
success,14,0.9270
success,13,0.9016
success,13,0.8548
success,16,0.8768
success,15,0.8791
success,14,0.9128
success,13,0.8906
success,14,0.9089
success,18,0.9281
success,17,0.9047
success,16,0.8611
success,14,0.9089
success,14,0.9111
success,15,0.9216
success,15,0.8959
success,15,0.9109
success,12,0.8908
success,13,0.9058
success,13,0.8698
success,14,0.8925
success,14,0.8762
success,12,0.8782
success,13,0.8988
success,14,0.9005
success,17,0.9071
success,15,0.8649
success,15,0.8936
success,13,0.9118
success,13,0.8866
success,16,0.8995
success,14,0.9136
