run,gen,angle_deg,sigma,best_f
0,0,74.0234,1.094693,4.86352
0,1,74.2462,0.903665,4.86352
0,2,14.2627,0.972293,2.3723
0,3,15.1729,0.827385,1.25314
0,4,14.0954,0.788542,1.25314
0,5,11.6537,0.691401,0.104259
0,6,11.5843,0.529030,0.104259
0,7,12.9758,0.424878,0.104259
0,8,4.7486,0.414905,0.0468821
0,9,2.6993,0.389414,0.0468821
0,10,2.1405,0.545671,0.0395004
0,11,1.3046,0.780344,0.0395004
0,12,2.3115,0.601938,0.0395004
0,13,1.5339,0.476972,0.0395004
0,14,1.5699,0.379748,0.0395004
0,15,4.2960,0.376512,0.0395004
0,16,4.7740,0.315507,0.00788136
0,17,2.5679,0.300213,0.00788136
0,18,2.1462,0.235470,0.00788136
0,19,2.4383,0.238443,0.00788136
0,20,2.2572,0.208597,0.00788136
0,21,0.7918,0.187258,0.0072984
0,22,1.2492,0.161157,0.0072984
0,23,1.1452,0.123378,0.0072984
0,24,0.4369,0.124205,0.00518793
0,25,2.8774,0.147503,0.0038154
0,26,2.8190,0.153835,0.00116348
0,27,2.5136,0.142517,0.000982436
0,28,2.3218,0.124910,0.000982436
0,29,2.4974,0.106168,0.000982436
0,30,2.5264,0.084832,0.000400481
0,31,2.5903,0.071601,0.000400481
0,32,1.9122,0.070319,0.000149798
0,33,2.0159,0.060318,0.000149798
0,34,2.2635,0.055246,0.000149798
0,35,2.3842,0.046210,6.19166e-05
0,36,1.7784,0.042130,6.19166e-05
0,37,1.7209,0.035956,6.19166e-05
0,38,0.3810,0.033716,3.52708e-05
0,39,0.2213,0.033335,2.41053e-06
0,40,0.1051,0.028015,2.41053e-06
0,41,0.4368,0.027468,2.41053e-06
0,42,0.0190,0.025627,2.41053e-06
0,43,0.2364,0.022178,2.41053e-06
0,44,0.1574,0.017042,1.14086e-06
0,45,0.1192,0.013416,4.82584e-07
0,46,0.6073,0.012233,3.23535e-07
0,47,0.4866,0.010015,3.23535e-07
0,48,0.2280,0.008901,3.23535e-07
0,49,0.0936,0.007290,3.23535e-07
0,50,0.0490,0.005921,1.52245e-07
0,51,0.2274,0.005116,1.46775e-07
0,52,0.3243,0.004171,7.87673e-08
0,53,0.4318,0.003831,1.0315e-08
0,54,0.3549,0.003356,2.87191e-09
0,55,0.3359,0.002644,2.87191e-09
0,56,0.4142,0.002207,2.87191e-09
0,57,0.5638,0.001858,2.19789e-09
0,58,0.6912,0.001452,7.1244e-10
0,59,0.7781,0.001227,7.1244e-10
0,60,0.6918,0.001012,4.29406e-11
0,61,0.4691,0.000883,2.45065e-11
0,62,1.0857,0.000827,2.45065e-11
0,63,1.6884,0.000736,2.45065e-11
0,64,1.5885,0.000626,2.45065e-11
0,65,2.0157,0.000559,2.45065e-11
0,66,2.0110,0.000462,2.28883e-12
0,67,2.1312,0.000375,2.28883e-12
0,68,2.1437,0.000290,2.28883e-12
0,69,1.8309,0.000237,2.28883e-12
0,70,1.7439,0.000232,2.28883e-12
0,71,1.6851,0.000193,2.28883e-12
0,72,0.6165,0.000190,2.0804e-12
0,73,0.9241,0.000176,2.0804e-12
0,74,0.6711,0.000147,2.48923e-13
0,75,0.6313,0.000131,2.48923e-13
0,76,1.6685,0.000128,2.48923e-13
0,77,2.6650,0.000121,2.48923e-13
0,78,0.8911,0.000128,2.48923e-13
0,79,1.0812,0.000112,4.52222e-14
0,80,0.8471,0.000090,4.52222e-14
0,81,0.2376,0.000080,4.52222e-14
0,82,0.1414,0.000063,4.52222e-14
0,83,0.0020,0.000052,2.94533e-14
0,84,0.3789,0.000043,2.94533e-14
0,85,0.1093,0.000035,1.85702e-14
0,86,0.2333,0.000031,4.93385e-15
0,87,0.1626,0.000026,4.93385e-15
0,88,0.0448,0.000022,1.53473e-15
0,89,0.0973,0.000017,3.36662e-16
0,90,0.0443,0.000015,3.36662e-16
0,91,0.2566,0.000013,3.36662e-16
0,92,0.7112,0.000010,3.36662e-16
0,93,0.6549,0.000008,1.87299e-16
0,94,1.0878,0.000007,1.87299e-16
0,95,1.2975,0.000006,1.87299e-16
0,96,1.2744,0.000005,1.79043e-17
0,97,0.5758,0.000005,1.79043e-17
0,98,0.6884,0.000004,1.79043e-17
0,99,0.7237,0.000004,1.18007e-17
0,100,1.0230,0.000003,1.18007e-17
0,101,0.1689,0.000003,8.29423e-18
0,102,0.4320,0.000002,2.90092e-18
0,103,0.7243,0.000002,2.47265e-18
0,104,0.9366,0.000002,8.64135e-19
0,105,0.7770,0.000002,8.64135e-19
0,106,0.5766,0.000002,8.64135e-19
0,107,0.6002,0.000002,8.64135e-19
0,108,0.2671,0.000001,2.03268e-19
0,109,0.3269,0.000001,2.03268e-19
0,110,0.7889,0.000001,4.34133e-20
0,111,0.8205,0.000001,4.34133e-20
0,112,1.0477,0.000001,3.0413e-20
0,113,0.8332,0.000001,3.0413e-20
0,114,0.7345,0.000000,1.74845e-20
0,115,0.4237,0.000000,9.01692e-21
0,116,0.2890,0.000000,9.01692e-21
0,117,0.4216,0.000000,2.15486e-21
0,118,0.4235,0.000000,2.14598e-21
0,119,0.2348,0.000000,2.14598e-21
0,120,0.1906,0.000000,9.67769e-22
0,121,0.1754,0.000000,2.03287e-22
0,122,0.9577,0.000000,2.03287e-22
0,123,1.1858,0.000000,2.03287e-22
0,124,0.8361,0.000000,1.12172e-23
0,125,0.5564,0.000000,1.12172e-23
0,126,0.6038,0.000000,1.12172e-23
0,127,0.3378,0.000000,1.12172e-23
1,0,40.7179,0.899448,36.7713
1,1,45.4477,0.736713,0.936548
1,2,10.6032,0.750681,0.936548
1,3,11.6979,0.585896,0.55584
1,4,9.9625,0.459641,0.55584
1,5,0.7873,0.412969,0.55584
1,6,1.9880,0.348081,0.55584
1,7,9.9225,0.287508,0.448677
1,8,3.3981,0.272255,0.239413
1,9,3.4367,0.250633,0.239413
1,10,1.5786,0.219583,0.239413
1,11,3.1203,0.213880,0.239413
1,12,1.0237,0.176115,0.239413
1,13,3.1543,0.148900,0.239413
1,14,2.5726,0.120541,0.239413
1,15,0.4095,0.096911,0.239413
1,16,1.5920,0.087066,0.239413
