run,evals_cma,evals_de,best_cma,best_de
0,25000,25000,10.9445,46.453
1,25000,25000,31.8386,31.7076
2,25000,25000,12.9345,35.5563
3,25000,25000,17.9092,31.9737
4,25000,25000,17.9092,38.2377
5,25000,25000,14.9244,31.8374
6,25000,25000,19.8991,28.7342
7,25000,25000,8.95463,36.2369
8,2402,25000,6.35135,46.6358
9,25000,25000,11.9395,37.1798
10,3473,25000,7.99681,28.8288
11,870,25000,7.99438,35.5076
12,25000,25000,15.9193,51.3762
13,25000,25000,11.9395,42.3626
14,25000,25000,9.94959,44.0914
15,710,25000,7.28066,38.1736
16,25000,25000,25.8689,31.9861
17,683,25000,7.26695,46.1631
18,25000,25000,21.8891,35.2784
19,25000,25000,11.9395,37.1769
20,25000,25000,10.9445,60.4028
21,25000,25000,13.9294,35.9145
22,1404,25000,7.84765,46.7894
23,25000,25000,15.9193,42.1884
24,693,25000,7.94307,36.6232
25,25000,25000,10.9445,43.3528
26,25000,25000,11.9395,34.966
27,25000,25000,10.9445,45.2641
28,25000,25000,18.9042,39.9316
29,25000,25000,15.9193,33.4083
