run,evals_cma,evals_de,best_cma,best_de
0,1449,20000,4.37713e-07,0.974148
1,2062,20000,9.69082e-07,3.93298
2,1754,20000,9.66896e-07,0.000328618
3,1850,20000,4.70029e-07,0.669591
4,1896,20000,5.88129e-07,0.248278
5,1822,20000,6.62152e-07,0.000128869
6,2211,20000,2.69017e-07,0.306327
7,1882,20000,4.1216e-07,0.0508946
8,1613,20000,8.73512e-07,0.429886
9,20000,20000,3.93084,0.087985
10,1347,20000,6.18308e-07,0.0627496
11,20000,5600,3.93084,0
12,1692,20000,5.80903e-07,0.567634
13,1777,20000,8.38245e-07,0.0381225
14,1797,5040,3.48696e-07,0
15,2087,20000,4.23678e-07,0.420941
16,1970,20000,9.58029e-07,1.05528
17,2284,20000,6.64168e-07,0.0238607
18,1646,20000,4.36661e-07,0.00185851
19,1779,7640,9.75355e-07,0
20,20000,20000,3.93084,0.15231
21,1558,20000,1.62272e-07,0.363649
22,1780,20000,9.0534e-07,0.778533
23,2389,20000,8.58878e-07,1.30077
24,1583,5200,9.02289e-07,0
25,2468,20000,8.45995e-07,0.0244627
26,1864,20000,7.84437e-07,0.119966
27,1803,20000,5.73492e-07,0.646881
28,1682,20000,5.05277e-07,0.231592
29,1858,20000,7.87997e-07,0.0382038
30,1891,20000,8.2381e-07,0.111806
31,1916,20000,4.02387e-07,0.156904
32,20000,20000,3.93084,0.32222
33,2129,20000,8.34468e-07,0.0761068
34,1744,20000,4.64592e-07,0.223554
35,1842,20000,4.82335e-07,0.306825
36,2120,20000,5.08969e-07,0.893933
37,1477,20000,3.04635e-07,0.0505455
38,2058,20000,8.99567e-07,0.197338
39,1954,20000,6.5105e-07,0.546241
