run,best_single,best_ipop,evals_single,evals_ipop
0,15.9193,1.98992,40000,40000
1,15.9193,0.994959,40000,40000
2,10.9445,0.0704408,40000,35760
3,19.8991,0.994959,40000,40000
4,12.9345,0.0943295,40000,36000
5,22.884,2.65,40000,40000
6,21.8891,3.97984,40000,40000
7,5.96975,2.98488,40000,40000
8,13.9294,2.98488,40000,40000
9,8.95463,0.994971,40000,40000
10,9.94959,3.97984,40000,40000
11,12.9345,2.98488,40000,40000
12,9.94958,0.0659095,40000,37680
13,6.96471,0.994959,40000,40000
14,12.9345,1.98992,40000,40000
15,7.95967,1.98992,40000,40000
16,21.889,1.98992,40000,40000
17,4.9748,2.98488,40000,40000
18,19.8992,0.99496,40000,40000
19,25.8689,2.9851,40000,40000
