run,success_warm,success_late,sigma0,sigma_final,best_f
0,0.1800,0.2000,1.0000,0.003130,0.00283034
1,0.2050,0.1900,1.0000,0.022865,0.00983685
2,0.2050,0.1850,1.0000,0.004659,0.00332802
3,0.1700,0.2050,1.0000,0.022865,0.000515397
4,0.2050,0.2150,1.0000,0.015362,0.00421788
5,0.1950,0.1850,1.0000,0.003130,0.00126666
6,0.2200,0.1900,1.0000,0.034032,0.00255051
7,0.1950,0.1950,1.0000,0.022865,0.00552895
8,0.1700,0.2050,1.0000,0.112213,0.000931734
9,0.1700,0.2000,1.0000,0.012592,0.000801165
10,0.1800,0.2050,1.0000,0.022865,0.000323505
11,0.1900,0.2000,1.0000,0.015362,0.0165677
12,0.1950,0.2000,1.0000,0.091978,0.00548867
13,0.1900,0.1800,1.0000,0.002566,0.000139127
14,0.1900,0.1850,1.0000,0.008460,0.00176164
15,0.2050,0.1850,1.0000,0.012592,0.00273843
16,0.1900,0.1750,1.0000,0.136899,0.00549314
17,0.1850,0.2000,1.0000,0.022865,0.00197996
18,0.1900,0.1950,1.0000,0.027895,0.00389508
19,0.2050,0.1650,1.0000,0.015362,0.00132755
20,0.1950,0.1750,1.0000,0.027895,0.00249074
21,0.2350,0.2050,1.0000,0.075391,0.0136045
22,0.1750,0.2100,1.0000,0.012592,0.00160952
23,0.2100,0.2100,1.0000,0.112213,0.0133233
24,0.1700,0.1800,1.0000,0.027895,0.000638667
