run,mode,best_f,sigma_final
0,comma,1.23629e-16,6.739e-09
0,plus,2.20446e-16,1.28e-08
1,comma,1.27425e-16,2.472e-09
1,plus,4.25837e-17,3.638e-09
2,comma,3.02853e-16,9.661e-09
2,plus,1.40901e-16,4.326e-09
3,comma,1.4088e-16,4.462e-09
3,plus,7.88861e-16,1.736e-08
4,comma,1.86455e-18,5.031e-10
4,plus,2.22841e-20,1.644e-10
5,comma,1.77942e-16,7.652e-09
5,plus,2.68725e-16,1.104e-08
6,comma,1.32932e-16,4.809e-09
6,plus,2.30083e-18,9.685e-10
7,comma,8.86726e-17,2.453e-09
7,plus,4.86131e-18,1.549e-09
8,comma,6.16107e-18,1.024e-09
8,plus,8.9718e-17,8.772e-09
9,comma,1.95453e-16,1.557e-09
9,plus,3.23435e-20,1.472e-10
10,comma,6.6013e-17,3.061e-09
10,plus,3.05327e-16,7.793e-09
11,comma,2.48549e-17,3.546e-09
11,plus,3.74304e-17,3.895e-09
12,comma,4.12653e-16,5.676e-09
12,plus,5.59271e-17,7.715e-09
13,comma,3.21481e-17,1.757e-09
13,plus,1.40797e-17,1.839e-09
14,comma,2.30265e-20,1.416e-10
14,plus,2.61172e-20,4.531e-11
15,comma,9.92043e-15,5.071e-08
15,plus,5.92527e-20,1.049e-10
16,comma,4.91822e-16,5.121e-09
16,plus,2.75738e-15,3.057e-08
17,comma,1.19676e-16,4.758e-09
17,plus,8.53008e-17,7.821e-09
18,comma,8.0028e-18,1.13e-09
18,plus,5.55194e-16,1.902e-08
19,comma,9.12752e-19,2.633e-10
19,plus,7.91149e-19,3.873e-10
20,comma,3.99755e-18,7.489e-10
20,plus,2.254e-15,2.627e-08
21,comma,2.60111e-17,1.613e-09
21,plus,1.47955e-18,7.894e-10
22,comma,2.98383e-17,4.35e-09
22,plus,1.24504e-14,4.046e-08
23,comma,5.36879e-18,8.19e-10
23,plus,9.09508e-16,1.99e-08
24,comma,1.5618e-17,1.213e-09
24,plus,9.13128e-21,4.396e-11
