mode,run,success_late,sigma_final,best_f
adapt,0,0.1800,0.005684,0.0037678
fixed,0,0.0000,1.000000,1.35024
adapt,1,0.1950,0.002103,0.00119465
fixed,1,0.0100,1.000000,1.15767
adapt,2,0.1900,0.022865,0.00204135
fixed,2,0.0000,1.000000,1.40795
adapt,3,0.1750,0.006934,0.0023016
fixed,3,0.0100,1.000000,1.01897
adapt,4,0.2050,0.006934,0.00392687
fixed,4,0.0000,1.000000,1.20769
adapt,5,0.1950,0.008460,0.000396938
fixed,5,0.0050,1.000000,1.45789
adapt,6,0.1950,0.034032,0.00167577
fixed,6,0.0000,1.000000,1.11306
adapt,7,0.1700,0.006934,0.000744664
fixed,7,0.0150,1.000000,1.29855
adapt,8,0.2000,0.006934,0.000492903
fixed,8,0.0000,1.000000,1.70917
adapt,9,0.2050,0.001413,0.000340029
fixed,9,0.0150,1.000000,1.59406
adapt,10,0.1700,0.015362,0.00589374
fixed,10,0.0000,1.000000,1.69252
adapt,11,0.2050,0.041519,0.0057956
fixed,11,0.0050,1.000000,1.02139
adapt,12,0.1850,0.000638,0.000589479
fixed,12,0.0000,1.000000,1.50408
adapt,13,0.1850,0.008460,0.00128648
fixed,13,0.0100,1.000000,1.43224
adapt,14,0.2150,0.003130,6.25493e-05
fixed,14,0.0000,1.000000,0.928535
adapt,15,0.1950,0.022865,0.00600921
fixed,15,0.0050,1.000000,2.07889
adapt,16,0.1750,0.015362,0.00700659
fixed,16,0.0150,1.000000,1.71974
adapt,17,0.1800,0.027895,0.0128465
fixed,17,0.0050,1.000000,1.22508
adapt,18,0.1900,0.022865,0.000264337
fixed,18,0.0100,1.000000,1.21005
adapt,19,0.1850,0.005684,0.00520829
fixed,19,0.0050,1.000000,1.06529
