rep,len_elitist_as,len_mmas
0,44.345281,44.345281
1,44.345281,44.345281
2,44.345281,44.345281
3,44.345281,44.345281
4,44.345281,44.345281
5,44.345281,44.345281
6,44.920603,44.345281
7,44.345281,44.345281
8,44.920603,44.345281
9,44.345281,44.345281
10,44.743842,44.345281
11,44.345281,44.345281
12,44.345281,44.345281
13,44.345281,44.345281
14,44.345281,44.345281
15,44.743842,44.743842
16,44.345281,44.583931
17,44.715387,44.345281
18,44.345281,44.345281
19,45.319164,44.345281
20,44.345281,44.345281
21,44.743842,44.345281
22,44.982492,44.345281
23,44.345281,45.120424
24,44.345281,44.345281
25,44.743842,44.345281
26,44.743842,44.345281
27,44.345281,44.345281
28,44.920603,44.345281
29,44.345281,44.345281
30,44.345281,44.345281
31,44.345281,44.345281
32,44.345281,44.345281
33,44.345281,44.345281
34,44.743842,44.345281
35,44.476737,44.345281
36,44.345281,44.345281
37,44.476737,44.345281
38,44.345281,44.345281
39,44.875298,44.345281
