rho,rep,best_len,n_tours,n_2opt_evals
0.10,0,59.435308,4000,0
0.10,1,60.187418,4000,0
0.10,2,58.723052,4000,0
0.10,3,57.328395,4000,0
0.10,4,56.814552,4000,0
0.10,5,60.111970,4000,0
0.10,6,59.952004,4000,0
0.10,7,61.800492,4000,0
0.20,0,56.384228,4000,0
0.20,1,62.233381,4000,0
0.20,2,60.330332,4000,0
0.20,3,61.219857,4000,0
0.20,4,56.890280,4000,0
0.20,5,57.171986,4000,0
0.20,6,54.932702,4000,0
0.20,7,63.946725,4000,0
0.30,0,58.961235,4000,0
0.30,1,56.231266,4000,0
0.30,2,58.717229,4000,0
0.30,3,60.046771,4000,0
0.30,4,62.667238,4000,0
0.30,5,59.020906,4000,0
0.30,6,57.366746,4000,0
0.30,7,58.868274,4000,0
0.50,0,62.522788,4000,0
0.50,1,58.579234,4000,0
0.50,2,59.033081,4000,0
0.50,3,58.407475,4000,0
0.50,4,57.057189,4000,0
0.50,5,57.362322,4000,0
0.50,6,63.131264,4000,0
0.50,7,64.710259,4000,0
0.70,0,57.932989,4000,0
0.70,1,60.971546,4000,0
0.70,2,68.744071,4000,0
0.70,3,63.997611,4000,0
0.70,4,68.044976,4000,0
0.70,5,60.849831,4000,0
0.70,6,62.182913,4000,0
0.70,7,62.148270,4000,0
0.90,0,62.817910,4000,0
0.90,1,66.304315,4000,0
0.90,2,57.746767,4000,0
0.90,3,65.964231,4000,0
0.90,4,62.232414,4000,0
0.90,5,62.597674,4000,0
0.90,6,69.233207,4000,0
0.90,7,64.184616,4000,0
