pair,len_aco2opt,len_sa2opt,len_greedy
0,44.345281,44.345281,50.569314
1,44.345281,44.345281,50.569314
2,44.345281,45.264694,50.569314
3,44.345281,44.345281,50.569314
4,44.345281,44.345281,50.569314
5,44.345281,49.028564,50.569314
6,44.345281,45.185760,50.569314
7,44.345281,44.345281,50.569314
8,44.345281,48.059457,50.569314
9,44.345281,45.695747,50.569314
10,44.345281,45.120424,50.569314
11,44.345281,44.345281,50.569314
12,44.345281,44.345281,50.569314
13,44.345281,45.695747,50.569314
14,44.345281,44.345281,50.569314
15,44.345281,47.790015,50.569314
16,44.345281,44.345281,50.569314
17,44.345281,45.120424,50.569314
18,44.345281,44.345281,50.569314
19,44.345281,45.185760,50.569314
20,44.345281,44.345281,50.569314
21,44.345281,44.920603,50.569314
22,44.345281,44.345281,50.569314
23,44.345281,45.264694,50.569314
24,44.345281,44.920603,50.569314
25,44.345281,45.120424,50.569314
26,44.345281,48.089049,50.569314
27,44.345281,45.185760,50.569314
28,44.345281,47.915131,50.569314
29,44.345281,48.100968,50.569314
30,44.345281,48.155257,50.569314
31,44.345281,45.120424,50.569314
32,44.345281,47.193796,50.569314
33,44.345281,44.345281,50.569314
34,44.345281,48.297270,50.569314
35,44.345281,45.264694,50.569314
36,44.345281,45.120424,50.569314
37,44.345281,45.264694,50.569314
38,44.345281,44.345281,50.569314
39,44.345281,45.185760,50.569314
