run,best_full,best_cog,best_soc,hit_full,hit_cog,hit_soc
0,1.99027,29.2581,6.96471,0,0,0
1,2.98692,15.0479,4.97479,0,0,0
2,1.62275,24.5562,27.8586,0,0,0
3,2.98562,23.6711,3.97983,0,0,0
4,2.98495,35.6647,0.994959,0,0,1
5,2.10276,40.7874,1.98992,0,0,0
6,2.29784,36.8678,4.97479,0,0,0
7,1.03287,34.4426,5.96975,0,0,0
8,1.06702,26.2687,1.98992,0,0,0
9,4.45296,25.7888,30.8436,0,0,0
10,1.01779,35.9014,10.9445,0,0,0
11,0.000947497,31.3115,26.8636,1,0,0
12,3.98016,33.4206,0.994959,0,0,1
13,0.995601,35.2069,4.97479,1,0,0
14,1.99182,18.0101,9.94958,0,0,0
15,1.33456,19.2824,4.97479,0,0,0
16,0.996815,12.0006,8.95462,1,0,0
17,0.0401201,28.0513,5.96975,1,0,0
18,0.999128,25.1888,0.994959,1,0,1
19,0.101566,42.6082,1.98992,1,0,0
20,2.21837,28.8093,6.96471,0,0,0
21,0.994977,37.3876,2.98488,1,0,0
22,3.48951,21.786,6.96471,0,0,0
23,0.00137717,14.7146,5.96975,1,0,0
24,2.79176,35.5102,5.96975,0,0,0
25,1.06894,30.9402,4.97479,0,0,0
26,0.995476,37.2634,0.994959,1,0,1
27,0.0626276,22.0006,7.95967,1,0,0
28,2.0037,19.9222,1.98992,0,0,0
29,2.98529,21.8902,2.98488,0,0,0
30,1.99022,13.2976,10.9445,0,0,0
31,1.08894,22.4247,0.994959,0,0,1
32,0.450199,22.1303,5.96975,1,0,0
33,2.98516,20.0544,5.96975,0,0,0
34,2.00446,25.902,4.97479,0,0,0
35,0.995029,14.6566,9.94956,1,0,0
36,0.995323,26.9135,1.98992,1,0,0
37,0.995599,27.6351,2.98488,1,0,0
38,0.999919,28.415,18.9042,1,0,0
39,1.99641,27.4812,5.96975,0,0,0
40,2.36374,23.5657,4.97479,0,0,0
41,2.98602,32.4513,10.9445,0,0,0
42,3.98042,7.08391,1.98992,0,0,0
43,2.09911,20.6771,15.9193,0,0,0
44,1.00509,27.0682,7.95967,0,0,0
45,0.995719,19.7133,1.98992,1,0,0
46,1.45423,28.0963,5.96975,0,0,0
47,1.02218,23.5325,16.9142,0,0,0
48,2.13496,41.1793,3.97984,0,0,0
49,3.92017,20.7091,5.96975,0,0,0
50,1.99311,17.9328,2.98488,0,0,0
51,2.24004,15.9707,9.94956,0,0,0
52,1.99214,31.726,2.98488,0,0,0
53,1.29852,22.2073,6.96471,0,0,0
54,0.000101893,17.8506,26.8636,1,0,0
55,3.98065,35.9564,4.97479,0,0,0
56,0.000276692,16.6299,13.9294,1,0,0
57,0.00125389,31.0823,4.9748,1,0,0
58,2.98512,21.0937,1.98992,0,0,0
59,1.9414,35.7169,9.94956,0,0,0
60,1.08933,20.6948,5.96975,0,0,0
61,3.01091,41.9002,3.97983,0,0,0
62,3.05251,24.2305,8.95462,0,0,0
63,1.78463,27.3887,12.9344,0,0,0
64,2.02849,32.6387,1.98992,0,0,0
65,1.16614,37.8319,1.98992,0,0,0
66,3.29827,18.7391,2.98488,0,0,0
67,2.0693,34.9939,1.98992,0,0,0
68,1.99078,20.8195,4.97479,0,0,0
69,1.99105,34.7469,9.94958,0,0,0
70,3.08536,26.0858,8.95462,0,0,0
71,1.12138,22.7884,3.97983,0,0,0
72,1.00283,27.9575,14.9244,0,0,0
73,1.98994,30.5779,5.96975,0,0,0
74,1.99169,29.5388,3.90603e-10,0,0,1
75,2.98558,13.247,3.97984,0,0,0
76,3.00394,10.1805,1.98992,0,0,0
77,1.0036,38.6227,6.96471,0,0,0
78,3.00157,24.7216,0.994959,0,0,1
79,2.58224,36.7868,12.9344,0,0,0
80,1.13679,37.011,6.96471,0,0,0
81,3.07825,32.3461,6.96471,0,0,0
82,8.96228,12.7268,4.97479,0,0,0
83,1.0116,36.0119,5.96975,0,0,0
84,0.998091,23.7284,9.94958,1,0,0
85,1.00463,31.7958,0.994959,0,0,1
86,3.17139,36.3323,2.98488,0,0,0
87,1.17041,20.7498,1.98992,0,0,0
88,2.00328,39.1621,2.98488,0,0,0
89,2.98562,35.941,1.98992,0,0,0
90,2.01373,30.6082,1.98992,0,0,0
91,4.98008,23.9379,5.96975,0,0,0
92,3.05214,27.3035,4.9748,0,0,0
93,5.97089,14.8348,6.96471,0,0,0
94,2.32568,26.4919,4.97479,0,0,0
95,1.01165,21.6482,10.9445,0,0,0
96,2.99605,24.9806,2.98488,0,0,0
97,1.99113,24.7645,2.98488,0,0,0
98,2.9849,21.5157,4.9748,0,0,0
99,2.99743,40.3811,2.98488,0,0,0
