func,run,gen,best_f
sphere,0,0,6.38331
sphere,0,10,0.0659424
sphere,0,20,0.0408793
sphere,0,30,0.0272523
sphere,0,40,0.00184276
sphere,0,50,0.0011483
sphere,0,60,0.000810442
sphere,0,70,8.89119e-05
sphere,0,80,8.12634e-05
sphere,0,90,4.01845e-05
sphere,0,100,4.01845e-05
sphere,0,110,3.24525e-05
rosenbrock,0,0,277.1
rosenbrock,0,10,5.64784
rosenbrock,0,20,4.25377
rosenbrock,0,30,3.48566
rosenbrock,0,40,3.4464
rosenbrock,0,50,2.46959
rosenbrock,0,60,2.14887
rosenbrock,0,70,1.71849
rosenbrock,0,80,1.68558
rosenbrock,0,90,1.5636
rosenbrock,0,100,1.20485
rosenbrock,0,110,1.20485
rastrigin,0,0,52.3525
rastrigin,0,10,27.4102
rastrigin,0,20,15.116
rastrigin,0,30,10.273
rastrigin,0,40,10.273
rastrigin,0,50,5.71258
rastrigin,0,60,5.71258
rastrigin,0,70,5.55658
rastrigin,0,80,5.55658
rastrigin,0,90,3.45865
rastrigin,0,100,2.1869
rastrigin,0,110,2.1869
sphere,1,0,7.67782
sphere,1,10,0.0632335
sphere,1,20,0.0198653
sphere,1,30,0.00241963
sphere,1,40,0.000513157
sphere,1,50,7.56517e-05
sphere,1,60,7.56517e-05
sphere,1,70,3.76758e-05
sphere,1,80,3.1712e-05
sphere,1,90,9.68349e-06
sphere,1,100,4.40523e-06
sphere,1,110,8.32584e-07
rosenbrock,1,0,158.469
rosenbrock,1,10,7.9111
rosenbrock,1,20,3.3816
rosenbrock,1,30,2.1123
rosenbrock,1,40,2.1123
rosenbrock,1,50,1.65036
rosenbrock,1,60,1.55167
rosenbrock,1,70,1.32759
rosenbrock,1,80,1.28894
rosenbrock,1,90,0.742228
rosenbrock,1,100,0.742228
rosenbrock,1,110,0.595215
rastrigin,1,0,42.3219
rastrigin,1,10,20.4483
rastrigin,1,20,15.3803
rastrigin,1,30,11.0441
rastrigin,1,40,11.0441
rastrigin,1,50,11.0441
rastrigin,1,60,9.08371
rastrigin,1,70,3.85807
rastrigin,1,80,3.68713
rastrigin,1,90,3.62292
rastrigin,1,100,3.62292
rastrigin,1,110,3.47907
sphere,2,0,7.08652
sphere,2,10,0.0468469
sphere,2,20,0.0186904
sphere,2,30,0.00718197
sphere,2,40,0.000652878
sphere,2,50,7.36495e-05
sphere,2,60,2.22663e-05
sphere,2,70,1.76374e-05
sphere,2,80,1.64944e-05
sphere,2,90,1.46127e-05
sphere,2,100,1.80793e-06
sphere,2,110,1.53013e-06
rosenbrock,2,0,39.3763
rosenbrock,2,10,4.65193
rosenbrock,2,20,2.87108
rosenbrock,2,30,2.47926
rosenbrock,2,40,2.0001
rosenbrock,2,50,1.79345
rosenbrock,2,60,1.72806
rosenbrock,2,70,1.62867
rosenbrock,2,80,1.47516
rosenbrock,2,90,1.47516
rosenbrock,2,100,1.46035
rosenbrock,2,110,1.38975
rastrigin,2,0,35.9226
rastrigin,2,10,19.5832
rastrigin,2,20,8.97865
rastrigin,2,30,8.97865
rastrigin,2,40,8.1208
rastrigin,2,50,3.92041
rastrigin,2,60,3.92041
rastrigin,2,70,2.72658
rastrigin,2,80,2.72658
rastrigin,2,90,2.71489
rastrigin,2,100,2.52169
rastrigin,2,110,2.15665
sphere,3,0,8.2547
sphere,3,10,0.0201423
sphere,3,20,0.0201423
sphere,3,30,0.00426263
sphere,3,40,0.00426263
sphere,3,50,0.0017617
sphere,3,60,0.00139327
sphere,3,70,0.000494886
sphere,3,80,0.000346021
sphere,3,90,8.84005e-05
sphere,3,100,6.34691e-05
sphere,3,110,3.22657e-05
rosenbrock,3,0,419.144
rosenbrock,3,10,6.58842
rosenbrock,3,20,2.50482
rosenbrock,3,30,2.50482
rosenbrock,3,40,2.23384
rosenbrock,3,50,2.22431
rosenbrock,3,60,2.17811
rosenbrock,3,70,2.06819
rosenbrock,3,80,1.98504
rosenbrock,3,90,1.91074
rosenbrock,3,100,1.80356
rosenbrock,3,110,1.71397
rastrigin,3,0,49.9915
rastrigin,3,10,15.8081
rastrigin,3,20,11.5558
rastrigin,3,30,8.01494
rastrigin,3,40,4.97306
rastrigin,3,50,3.33455
rastrigin,3,60,1.19195
rastrigin,3,70,1.11381
rastrigin,3,80,1.10332
rastrigin,3,90,1.068
rastrigin,3,100,1.068
rastrigin,3,110,1.03369
sphere,4,0,3.09746
sphere,4,10,0.05059
sphere,4,20,0.0199102
sphere,4,30,0.00710597
sphere,4,40,0.00206799
sphere,4,50,0.000104276
sphere,4,60,6.5874e-05
sphere,4,70,6.5874e-05
sphere,4,80,3.15613e-05
sphere,4,90,2.57731e-05
sphere,4,100,1.37411e-05
sphere,4,110,4.18429e-06
rosenbrock,4,0,134.747
rosenbrock,4,10,16.6216
rosenbrock,4,20,6.08744
rosenbrock,4,30,5.50544
rosenbrock,4,40,4.32426
rosenbrock,4,50,4.31272
rosenbrock,4,60,4.31272
rosenbrock,4,70,4.28552
rosenbrock,4,80,4.28552
rosenbrock,4,90,4.28219
rosenbrock,4,100,4.27269
rosenbrock,4,110,4.27242
rastrigin,4,0,46.1183
rastrigin,4,10,11.8094
rastrigin,4,20,11.8094
rastrigin,4,30,8.13304
rastrigin,4,40,7.24251
rastrigin,4,50,7.1297
rastrigin,4,60,7.1297
rastrigin,4,70,4.88559
rastrigin,4,80,4.34996
rastrigin,4,90,4.34996
rastrigin,4,100,3.41588
rastrigin,4,110,3.2288
sphere,5,0,6.56328
sphere,5,10,0.0454484
sphere,5,20,0.0084525
sphere,5,30,0.0084525
sphere,5,40,0.00116928
sphere,5,50,0.00103522
sphere,5,60,0.000507734
sphere,5,70,0.000304576
sphere,5,80,6.53424e-05
sphere,5,90,5.63102e-06
sphere,5,100,5.63102e-06
sphere,5,110,5.63102e-06
rosenbrock,5,0,430.922
rosenbrock,5,10,3.52044
rosenbrock,5,20,1.86418
rosenbrock,5,30,1.63631
rosenbrock,5,40,1.51715
rosenbrock,5,50,1.35624
rosenbrock,5,60,1.33127
rosenbrock,5,70,1.33127
rosenbrock,5,80,1.33127
rosenbrock,5,90,1.3275
rosenbrock,5,100,1.26434
rosenbrock,5,110,1.19563
rastrigin,5,0,57.1999
rastrigin,5,10,8.4235
rastrigin,5,20,8.4235
rastrigin,5,30,7.33275
rastrigin,5,40,6.68255
rastrigin,5,50,4.65522
rastrigin,5,60,4.65522
rastrigin,5,70,4.08761
rastrigin,5,80,3.13015
rastrigin,5,90,3.07481
rastrigin,5,100,3.06519
rastrigin,5,110,3.0504
sphere,6,0,3.76631
sphere,6,10,0.0541977
sphere,6,20,0.0104777
sphere,6,30,0.00465532
sphere,6,40,0.00040741
sphere,6,50,0.000261565
sphere,6,60,0.000194373
sphere,6,70,0.000120405
sphere,6,80,4.1342e-05
sphere,6,90,2.55073e-05
sphere,6,100,7.44014e-06
sphere,6,110,5.58996e-06
rosenbrock,6,0,190.509
rosenbrock,6,10,3.92864
rosenbrock,6,20,3.54011
rosenbrock,6,30,2.37382
rosenbrock,6,40,2.34646
rosenbrock,6,50,2.27059
rosenbrock,6,60,2.11031
rosenbrock,6,70,1.82017
rosenbrock,6,80,1.62141
rosenbrock,6,90,1.61433
rosenbrock,6,100,1.54124
rosenbrock,6,110,1.4796
rastrigin,6,0,52.0805
rastrigin,6,10,19.5349
rastrigin,6,20,13.8658
rastrigin,6,30,12.8164
rastrigin,6,40,11.0595
rastrigin,6,50,7.12538
rastrigin,6,60,7.12538
rastrigin,6,70,7.12538
rastrigin,6,80,7.12538
rastrigin,6,90,6.6468
rastrigin,6,100,4.7763
rastrigin,6,110,2.02205
sphere,7,0,8.77379
sphere,7,10,0.0669431
sphere,7,20,0.0175371
sphere,7,30,0.0131147
sphere,7,40,0.00625759
sphere,7,50,0.00237707
sphere,7,60,0.00187503
sphere,7,70,0.00134281
sphere,7,80,0.0003287
sphere,7,90,6.20973e-05
sphere,7,100,2.73629e-05
sphere,7,110,2.64948e-05
rosenbrock,7,0,199.304
rosenbrock,7,10,4.55206
rosenbrock,7,20,3.30993
rosenbrock,7,30,2.97368
rosenbrock,7,40,2.43385
rosenbrock,7,50,1.75771
rosenbrock,7,60,1.75771
rosenbrock,7,70,1.47593
rosenbrock,7,80,1.47284
rosenbrock,7,90,1.33438
rosenbrock,7,100,1.33438
rosenbrock,7,110,1.33438
rastrigin,7,0,46.177
rastrigin,7,10,15.9338
rastrigin,7,20,15.286
rastrigin,7,30,13.7661
rastrigin,7,40,6.81235
rastrigin,7,50,6.81235
rastrigin,7,60,4.75593
rastrigin,7,70,4.38899
rastrigin,7,80,3.23486
rastrigin,7,90,3.23486
rastrigin,7,100,2.53402
rastrigin,7,110,1.6432
sphere,8,0,13.0242
sphere,8,10,0.053014
sphere,8,20,0.0107568
sphere,8,30,0.00249729
sphere,8,40,0.00249729
sphere,8,50,0.000964905
sphere,8,60,0.000503092
sphere,8,70,0.000146438
sphere,8,80,6.97118e-05
sphere,8,90,3.20132e-05
sphere,8,100,2.60777e-05
sphere,8,110,1.59101e-05
rosenbrock,8,0,245.386
rosenbrock,8,10,5.72451
rosenbrock,8,20,4.6576
rosenbrock,8,30,3.51905
rosenbrock,8,40,2.77958
rosenbrock,8,50,2.72352
rosenbrock,8,60,2.71844
rosenbrock,8,70,2.54811
rosenbrock,8,80,2.41945
rosenbrock,8,90,2.27932
rosenbrock,8,100,2.19155
rosenbrock,8,110,2.15863
rastrigin,8,0,49.2083
rastrigin,8,10,5.9395
rastrigin,8,20,5.9395
rastrigin,8,30,5.32163
rastrigin,8,40,5.32163
rastrigin,8,50,3.8222
rastrigin,8,60,2.99981
rastrigin,8,70,2.38815
rastrigin,8,80,2.38815
rastrigin,8,90,2.38815
rastrigin,8,100,2.38815
rastrigin,8,110,2.28104
sphere,9,0,6.10117
sphere,9,10,0.0835293
sphere,9,20,0.0336065
sphere,9,30,0.0105853
sphere,9,40,0.00384518
sphere,9,50,0.00113123
sphere,9,60,0.000580997
sphere,9,70,0.000251298
sphere,9,80,9.74163e-05
sphere,9,90,9.74163e-05
sphere,9,100,3.51968e-05
sphere,9,110,2.23377e-05
rosenbrock,9,0,133.633
rosenbrock,9,10,3.07377
rosenbrock,9,20,3.07377
rosenbrock,9,30,2.52855
rosenbrock,9,40,2.1392
rosenbrock,9,50,1.83582
rosenbrock,9,60,1.41081
rosenbrock,9,70,1.20285
rosenbrock,9,80,1.20285
rosenbrock,9,90,1.1819
rosenbrock,9,100,1.04839
rosenbrock,9,110,1.03981
rastrigin,9,0,48.1315
rastrigin,9,10,20.9891
rastrigin,9,20,10.5953
rastrigin,9,30,9.75499
rastrigin,9,40,9.75499
rastrigin,9,50,9.75499
rastrigin,9,60,8.87033
rastrigin,9,70,3.99288
rastrigin,9,80,3.73938
rastrigin,9,90,3.5895
rastrigin,9,100,3.2188
rastrigin,9,110,3.19364
sphere,10,0,5.52529
sphere,10,10,0.223316
sphere,10,20,0.0513553
sphere,10,30,0.0288326
sphere,10,40,0.00172071
sphere,10,50,0.000704172
sphere,10,60,0.000539347
sphere,10,70,5.67525e-05
sphere,10,80,2.93147e-05
sphere,10,90,2.16737e-05
sphere,10,100,8.63321e-06
sphere,10,110,3.14922e-06
rosenbrock,10,0,135.537
rosenbrock,10,10,4.82073
rosenbrock,10,20,2.71414
rosenbrock,10,30,1.79292
rosenbrock,10,40,1.58275
rosenbrock,10,50,1.50632
rosenbrock,10,60,1.50332
rosenbrock,10,70,0.812244
rosenbrock,10,80,0.812244
rosenbrock,10,90,0.737578
rosenbrock,10,100,0.729478
rosenbrock,10,110,0.707664
rastrigin,10,0,51.4399
rastrigin,10,10,19.4975
rastrigin,10,20,10.7513
rastrigin,10,30,10.7513
rastrigin,10,40,7.28292
rastrigin,10,50,6.03776
rastrigin,10,60,5.99004
rastrigin,10,70,2.77742
rastrigin,10,80,2.34238
rastrigin,10,90,2.09583
rastrigin,10,100,2.09528
rastrigin,10,110,2.09499
sphere,11,0,5.14037
sphere,11,10,0.118006
sphere,11,20,0.0220774
sphere,11,30,0.00399718
sphere,11,40,0.0036298
sphere,11,50,0.00161748
sphere,11,60,0.000559193
sphere,11,70,9.28838e-05
sphere,11,80,2.8162e-05
sphere,11,90,2.36947e-05
sphere,11,100,1.13805e-05
sphere,11,110,4.53438e-06
rosenbrock,11,0,210.08
rosenbrock,11,10,2.72439
rosenbrock,11,20,2.72439
rosenbrock,11,30,2.52862
rosenbrock,11,40,2.18729
