problem,variant,run,best_f
sphere,clerc_global,0,4.9066e-18
rastrigin,clerc_global,0,21.8891
rastrigin,clerc_ring,0,10.6782
rastrigin,clerc_von_neumann,0,4.9749
sphere,clerc_global,1,1.47913e-17
rastrigin,clerc_global,1,11.9395
rastrigin,clerc_ring,1,4.40707
rastrigin,clerc_von_neumann,1,7.96104
sphere,clerc_global,2,1.1772e-18
rastrigin,clerc_global,2,8.95463
rastrigin,clerc_ring,2,15.3851
rastrigin,clerc_von_neumann,2,12.0385
sphere,clerc_global,3,2.3774e-17
rastrigin,clerc_global,3,4.9748
rastrigin,clerc_ring,3,18.0111
rastrigin,clerc_von_neumann,3,3.98009
sphere,clerc_global,4,2.69469e-17
rastrigin,clerc_global,4,12.9344
rastrigin,clerc_ring,4,13.9603
rastrigin,clerc_von_neumann,4,8.06296
sphere,clerc_global,5,6.44234e-17
rastrigin,clerc_global,5,16.9143
rastrigin,clerc_ring,5,11.5694
rastrigin,clerc_von_neumann,5,11.304
sphere,clerc_global,6,6.17261e-17
rastrigin,clerc_global,6,12.9345
rastrigin,clerc_ring,6,8.41029
rastrigin,clerc_von_neumann,6,4.9748
sphere,clerc_global,7,6.01333e-17
rastrigin,clerc_global,7,10.9445
rastrigin,clerc_ring,7,9.89017
rastrigin,clerc_von_neumann,7,7.95969
sphere,clerc_global,8,1.62459e-17
rastrigin,clerc_global,8,5.96975
rastrigin,clerc_ring,8,13.9722
rastrigin,clerc_von_neumann,8,6.96471
sphere,clerc_global,9,7.12696e-17
rastrigin,clerc_global,9,10.9445
rastrigin,clerc_ring,9,9.96655
rastrigin,clerc_von_neumann,9,8.04461
sphere,clerc_global,10,2.80837e-16
rastrigin,clerc_global,10,19.8992
rastrigin,clerc_ring,10,14.4136
rastrigin,clerc_von_neumann,10,4.98492
sphere,clerc_global,11,2.77165e-17
rastrigin,clerc_global,11,7.95967
rastrigin,clerc_ring,11,14.0261
rastrigin,clerc_von_neumann,11,4.9748
sphere,clerc_global,12,1.51486e-17
rastrigin,clerc_global,12,27.8588
rastrigin,clerc_ring,12,8.97684
rastrigin,clerc_von_neumann,12,4.97484
sphere,clerc_global,13,2.81387e-17
rastrigin,clerc_global,13,22.884
rastrigin,clerc_ring,13,8.06421
rastrigin,clerc_von_neumann,13,12.9345
sphere,clerc_global,14,9.2028e-18
rastrigin,clerc_global,14,11.9395
rastrigin,clerc_ring,14,13.9401
rastrigin,clerc_von_neumann,14,7.95975
sphere,clerc_global,15,2.74096e-16
rastrigin,clerc_global,15,23.879
rastrigin,clerc_ring,15,10.9259
rastrigin,clerc_von_neumann,15,12.9345
sphere,clerc_global,16,4.82156e-17
rastrigin,clerc_global,16,8.95463
rastrigin,clerc_ring,16,4.07631
rastrigin,clerc_von_neumann,16,11.9412
sphere,clerc_global,17,2.92147e-18
rastrigin,clerc_global,17,3.97984
rastrigin,clerc_ring,17,8.95491
rastrigin,clerc_von_neumann,17,6.9764
sphere,clerc_global,18,6.58434e-17
rastrigin,clerc_global,18,14.9244
rastrigin,clerc_ring,18,9.39521
rastrigin,clerc_von_neumann,18,4.093
sphere,clerc_global,19,1.02027e-17
rastrigin,clerc_global,19,0.994959
rastrigin,clerc_ring,19,11.9412
rastrigin,clerc_von_neumann,19,13.9294
sphere,clerc_global,20,3.36995e-17
rastrigin,clerc_global,20,26.8638
rastrigin,clerc_ring,20,10.6014
rastrigin,clerc_von_neumann,20,8.95543
sphere,clerc_global,21,8.4572e-17
rastrigin,clerc_global,21,12.9345
rastrigin,clerc_ring,21,13.0512
rastrigin,clerc_von_neumann,21,6.97175
sphere,clerc_global,22,1.13629e-17
rastrigin,clerc_global,22,12.9345
rastrigin,clerc_ring,22,9.96438
rastrigin,clerc_von_neumann,22,4.01812
sphere,clerc_global,23,4.77316e-17
rastrigin,clerc_global,23,12.9345
rastrigin,clerc_ring,23,10.0356
rastrigin,clerc_von_neumann,23,7.95967
sphere,clerc_global,24,1.18815e-17
rastrigin,clerc_global,24,7.96253
rastrigin,clerc_ring,24,5.03467
rastrigin,clerc_von_neumann,24,9.94972
sphere,clerc_global,25,9.73537e-17
rastrigin,clerc_global,25,7.96238
rastrigin,clerc_ring,25,8.72483
rastrigin,clerc_von_neumann,25,11.9395
sphere,clerc_global,26,2.97472e-17
rastrigin,clerc_global,26,8.95463
rastrigin,clerc_ring,26,6.42014
rastrigin,clerc_von_neumann,26,3.98248
sphere,clerc_global,27,4.22361e-17
rastrigin,clerc_global,27,11.9395
rastrigin,clerc_ring,27,4.26146
rastrigin,clerc_von_neumann,27,8.95636
sphere,clerc_global,28,6.5661e-17
