problem,w,topo,n_success,n_runs,rate,mean_best
sphere,0.30,global,100,100,1.0000,2.14053e-14
rastrigin,0.30,global,21,100,0.2100,3.06037
sphere,0.30,ring,100,100,1.0000,7.29248e-08
rastrigin,0.30,ring,8,100,0.0800,2.79963
sphere,0.40,global,100,100,1.0000,3.89326e-11
rastrigin,0.40,global,13,100,0.1300,2.71153
sphere,0.40,ring,82,100,0.8200,5.99211e-07
rastrigin,0.40,ring,4,100,0.0400,2.90351
sphere,0.50,global,100,100,1.0000,1.32684e-08
rastrigin,0.50,global,18,100,0.1800,2.65541
sphere,0.50,ring,28,100,0.2800,3.88789e-06
rastrigin,0.50,ring,3,100,0.0300,3.11551
sphere,0.60,global,39,100,0.3900,1.93905e-06
rastrigin,0.60,global,5,100,0.0500,2.91716
sphere,0.60,ring,1,100,0.0100,5.92333e-05
rastrigin,0.60,ring,1,100,0.0100,3.39755
sphere,0.70,global,0,100,0.0000,0.000151515
rastrigin,0.70,global,4,100,0.0400,3.72128
sphere,0.70,ring,0,100,0.0000,0.00099794
rastrigin,0.70,ring,1,100,0.0100,4.35593
sphere,0.80,global,0,100,0.0000,0.00537133
rastrigin,0.80,global,0,100,0.0000,6.90117
sphere,0.80,ring,0,100,0.0000,0.00735778
rastrigin,0.80,ring,0,100,0.0000,6.89465
sphere,0.90,global,0,100,0.0000,0.0324124
rastrigin,0.90,global,0,100,0.0000,9.55107
sphere,0.90,ring,0,100,0.0000,0.0331071
rastrigin,0.90,ring,0,100,0.0000,9.8439
