run,f_deb,f_death,viol_deb,viol_death,ok_deb,ok_death,feas_deb,feas_death
0,8.43385,14.0216,0,2.99287,1,0,1,0
1,8.43382,40.7153,0,17.7745,1,0,1,0
2,8.43386,33.1967,0,17.9635,1,0,1,0
3,8.43396,24.6653,0,3.00985,1,0,1,0
4,8.43483,18.1718,0,13.7886,1,0,1,0
5,8.43387,36.6102,0,12.9876,1,0,1,0
6,8.4339,16.8996,0,6.52076,1,0,1,0
7,8.43381,20.558,0,29.4067,1,0,1,0
8,8.43427,33.8259,0,18.0312,1,0,1,0
9,8.43398,5.42029,0,4.78509,1,0,1,0
10,8.43397,24.5364,0,10.1865,1,0,1,0
11,8.43403,37.5931,0,10.0911,1,0,1,0
12,8.43387,34.9665,0,16.4918,1,0,1,0
13,8.43396,27.4087,0,16.4572,1,0,1,0
14,8.43385,35.9332,0,18.096,1,0,1,0
15,8.43386,17.5224,0,9.35303,1,0,1,0
16,8.434,20.5441,0,15.0939,1,0,1,0
17,8.43569,24.4118,0,9.82651,1,0,1,0
18,8.43419,49.7464,0,17.5548,1,0,1,0
19,8.43382,56.0452,0,18.614,1,0,1,0
20,8.43411,6.53965,0,11.2356,1,0,1,0
21,8.43384,16.508,0,11.1322,1,0,1,0
22,8.43385,25.3523,0,11.9441,1,0,1,0
23,8.43384,18.8065,0,17.0951,1,0,1,0
24,8.43385,49.3523,0,18.6386,1,0,1,0
25,8.43427,30.4064,0,12.8349,1,0,1,0
26,8.43389,23.8021,0,7.08907,1,0,1,0
27,8.43389,34.4063,0,22.5056,1,0,1,0
28,8.43408,29.3629,0,6.23028,1,0,1,0
29,8.43386,20.0944,0,17.382,1,0,1,0
30,8.43384,28.4959,0,12.0993,1,0,1,0
31,8.43384,31.8296,0,15.1647,1,0,1,0
32,8.43383,57.0911,0,19.9466,1,0,1,0
33,8.43386,40.446,0,13.875,1,0,1,0
34,8.43382,28.9702,0,6.18045,1,0,1,0
35,8.43385,14.072,0,8.94355,1,0,1,0
36,8.43381,10.7255,0,5.1241,1,0,1,0
37,8.43384,5.73024,0,8.46381,1,0,1,0
38,8.4339,25.6226,0,13.9639,1,0,1,0
39,8.43384,24.1231,0,11.7765,1,0,1,0
40,8.43382,44.9156,0,12.6474,1,0,1,0
41,8.43394,18.1077,0,20.6047,1,0,1,0
42,8.43503,17.9913,0,8.11555,1,0,1,0
43,8.43382,18.5364,0,24.0961,1,0,1,0
44,8.43383,19.3102,0,10.8379,1,0,1,0
45,8.43383,25.2375,0,6.28531,1,0,1,0
46,8.43384,32.5392,0,21.2268,1,0,1,0
47,8.43389,52.0563,0,15.3657,1,0,1,0
48,8.43416,10.7541,0,7.26041,1,0,1,0
49,8.43384,23.6137,0,16.5334,1,0,1,0
50,8.43397,35.3217,0,10.7094,1,0,1,0
51,8.43439,49.5193,0,19.7013,1,0,1,0
52,8.43392,32.454,0,9.87141,1,0,1,0
53,8.43388,15.1978,0,1.90292,1,0,1,0
54,8.43382,20.2219,0,16.8865,1,0,1,0
55,8.43389,19.729,0,4.91128,1,0,1,0
56,8.43815,12.7405,0,21.4793,1,0,1,0
57,8.4349,24.9142,0,11.5392,1,0,1,0
58,8.43384,16.9804,0,1.64674,1,0,1,0
59,8.43388,28.2891,0,13.456,1,0,1,0
60,8.43385,23.3744,0,9.71389,1,0,1,0
61,8.43399,23.6831,0,8.64928,1,0,1,0
62,8.43383,13.3015,0,29.2545,1,0,1,0
63,8.43402,56.533,0,19.0441,1,0,1,0
64,8.43384,28.1073,0,24.9574,1,0,1,0
65,8.43499,43.4906,0,15.0223,1,0,1,0
66,8.43387,28.7524,0,23.032,1,0,1,0
67,8.43401,36.3124,0,8.27799,1,0,1,0
68,8.43384,26.5275,0,12.4599,1,0,1,0
69,8.43382,10.2248,0,7.59868,1,0,1,0
70,8.4339,24.9432,0,9.06259,1,0,1,0
71,8.4342,27.5964,0,24.8866,1,0,1,0
72,8.43401,11.6821,0,10.2052,1,0,1,0
73,8.43399,30.6819,0,13.8797,1,0,1,0
74,8.43389,25.4788,0,10.4784,1,0,1,0
75,8.43444,10.0785,0,10.9173,1,0,1,0
76,8.434,6.89847,0,7.83725,1,0,1,0
77,8.43397,13.287,0,15.3483,1,0,1,0
78,8.43397,11.4952,0,0,1,0,1,1
79,8.43383,26.1525,0,5.86861,1,0,1,0
80,8.43389,26.0742,0,10.6237,1,0,1,0
81,8.43384,47.0294,0,28.0059,1,0,1,0
82,8.43425,37.3016,0,12.2188,1,0,1,0
83,8.43386,43.3195,0,14.4798,1,0,1,0
84,8.43399,16.3464,0,5.34666,1,0,1,0
85,8.43408,21.0783,0,14.9163,1,0,1,0
86,8.43388,25.1395,0,9.63523,1,0,1,0
87,8.43383,12.3712,0,12.3651,1,0,1,0
88,8.43386,41.4532,0,15.7821,1,0,1,0
89,8.43391,15.4574,0,2.24694,1,0,1,0
90,8.43385,4.14123,0,12.6118,1,0,1,0
91,8.43396,40.7228,0,13.8073,1,0,1,0
92,8.43382,47.2744,0,23.0129,1,0,1,0
93,8.43387,43.9794,0,23.2587,1,0,1,0
94,8.43384,13.5937,0,15.7502,1,0,1,0
95,8.43396,17.7184,0,4.18598,1,0,1,0
96,8.43382,38.2962,0,38.4713,1,0,1,0
97,8.43397,17.5907,0,8.58558,1,0,1,0
98,8.43406,28.4779,0,13.0391,1,0,1,0
99,8.43385,19.716,0,13.3418,1,0,1,0
