mode,param,run,success,best_f,feasible
static,1e-02,0,0,0.00110293,0
static,1e+00,0,0,2.8125,0
static,1e+02,0,1,8.4344,1
static,1e+04,0,1,8.43382,1
static,1e+06,0,1,8.43382,1
deb,na,0,1,8.43382,1
adaptive,na,0,1,8.43382,1
static,1e-02,1,0,0.00110289,0
static,1e+00,1,0,2.8125,0
static,1e+02,1,1,8.43386,1
static,1e+04,1,1,8.43413,1
static,1e+06,1,1,8.43413,1
deb,na,1,1,8.43413,1
adaptive,na,1,1,8.43383,1
static,1e-02,2,0,0.0011029,0
static,1e+00,2,0,2.8125,0
static,1e+02,2,1,8.43387,1
static,1e+04,2,1,8.43392,1
static,1e+06,2,1,8.43381,1
deb,na,2,1,8.43381,1
adaptive,na,2,1,8.43408,1
static,1e-02,3,0,0.00110286,0
static,1e+00,3,0,2.81251,0
static,1e+02,3,1,8.43388,1
static,1e+04,3,1,8.43386,1
static,1e+06,3,1,8.43386,1
deb,na,3,1,8.43386,1
adaptive,na,3,1,8.43381,1
static,1e-02,4,0,0.0011029,0
static,1e+00,4,0,2.81251,0
static,1e+02,4,1,8.43383,1
static,1e+04,4,1,8.43407,1
static,1e+06,4,1,8.43407,1
deb,na,4,1,8.43407,1
adaptive,na,4,1,8.43383,1
static,1e-02,5,0,0.00110291,0
static,1e+00,5,0,2.8125,0
static,1e+02,5,1,8.43388,1
static,1e+04,5,1,8.43456,1
static,1e+06,5,1,8.43456,1
deb,na,5,1,8.43456,1
adaptive,na,5,1,8.43382,1
static,1e-02,6,0,0.00110293,0
static,1e+00,6,0,2.8125,0
static,1e+02,6,1,8.43384,1
static,1e+04,6,1,8.43386,1
static,1e+06,6,1,8.43386,1
deb,na,6,1,8.43386,1
adaptive,na,6,1,8.43381,1
static,1e-02,7,0,0.00110285,0
static,1e+00,7,0,2.81251,0
static,1e+02,7,1,8.43381,1
static,1e+04,7,1,8.43388,1
static,1e+06,7,1,8.43383,1
deb,na,7,1,8.43383,1
adaptive,na,7,1,8.43382,1
static,1e-02,8,0,0.00110284,0
static,1e+00,8,0,2.81251,0
static,1e+02,8,1,8.43388,1
static,1e+04,8,1,8.43388,1
static,1e+06,8,1,8.43388,1
deb,na,8,1,8.43388,1
adaptive,na,8,1,8.43383,1
static,1e-02,9,0,0.00110288,0
static,1e+00,9,0,2.8125,0
static,1e+02,9,1,8.43396,1
static,1e+04,9,1,8.43392,1
static,1e+06,9,1,8.43392,1
deb,na,9,1,8.43392,1
adaptive,na,9,1,8.43392,1
static,1e-02,10,0,0.00110286,0
static,1e+00,10,0,2.8125,0
static,1e+02,10,1,8.43402,1
static,1e+04,10,1,8.43383,1
static,1e+06,10,1,8.43383,1
deb,na,10,1,8.43383,1
adaptive,na,10,1,8.43385,1
static,1e-02,11,0,0.00110286,0
static,1e+00,11,0,2.8125,0
static,1e+02,11,1,8.43383,1
static,1e+04,11,1,8.43422,1
static,1e+06,11,1,8.43422,1
deb,na,11,1,8.43422,1
adaptive,na,11,1,8.43618,1
static,1e-02,12,0,0.00110289,0
static,1e+00,12,0,2.8125,0
static,1e+02,12,1,8.43385,1
static,1e+04,12,1,8.434,1
static,1e+06,12,1,8.434,1
deb,na,12,1,8.434,1
adaptive,na,12,1,8.43382,1
static,1e-02,13,0,0.00110301,0
static,1e+00,13,0,2.8125,0
static,1e+02,13,1,8.43397,1
static,1e+04,13,1,8.43386,1
static,1e+06,13,1,8.43386,1
deb,na,13,1,8.43386,1
adaptive,na,13,1,8.43381,1
static,1e-02,14,0,0.00110285,0
static,1e+00,14,0,2.8125,0
static,1e+02,14,1,8.43381,1
static,1e+04,14,1,8.43385,1
static,1e+06,14,1,8.43385,1
deb,na,14,1,8.43385,1
adaptive,na,14,1,8.43388,1
static,1e-02,15,0,0.00110293,0
static,1e+00,15,0,2.8125,0
static,1e+02,15,1,8.43386,1
static,1e+04,15,1,8.43402,1
static,1e+06,15,1,8.43382,1
deb,na,15,1,8.43382,1
adaptive,na,15,1,8.43381,1
static,1e-02,16,0,0.00110285,0
static,1e+00,16,0,2.8125,0
static,1e+02,16,1,8.434,1
static,1e+04,16,1,8.434,1
static,1e+06,16,1,8.434,1
deb,na,16,1,8.434,1
adaptive,na,16,1,8.43419,1
static,1e-02,17,0,0.00110287,0
static,1e+00,17,0,2.8125,0
static,1e+02,17,1,8.43421,1
static,1e+04,17,1,8.43386,1
static,1e+06,17,1,8.43386,1
deb,na,17,1,8.43386,1
adaptive,na,17,1,8.43382,1
static,1e-02,18,0,0.00110292,0
static,1e+00,18,0,2.8125,0
static,1e+02,18,1,8.43407,1
static,1e+04,18,1,8.43386,1
static,1e+06,18,1,8.43386,1
deb,na,18,1,8.43386,1
adaptive,na,18,1,8.4388,1
static,1e-02,19,0,0.00110295,0
static,1e+00,19,0,2.8125,0
static,1e+02,19,1,8.43382,1
static,1e+04,19,1,8.43408,1
static,1e+06,19,1,8.43408,1
deb,na,19,1,8.43408,1
adaptive,na,19,1,8.43413,1
static,1e-02,20,0,0.00110288,0
static,1e+00,20,0,2.81251,0
static,1e+02,20,1,8.4339,1
static,1e+04,20,1,8.43389,1
static,1e+06,20,1,8.43386,1
deb,na,20,1,8.43386,1
adaptive,na,20,1,8.43381,1
static,1e-02,21,0,0.00110289,0
static,1e+00,21,0,2.8125,0
static,1e+02,21,1,8.43382,1
static,1e+04,21,1,8.43412,1
static,1e+06,21,1,8.43412,1
deb,na,21,1,8.43412,1
adaptive,na,21,1,8.43384,1
static,1e-02,22,0,0.00110285,0
static,1e+00,22,0,2.8125,0
static,1e+02,22,1,8.43388,1
static,1e+04,22,1,8.434,1
static,1e+06,22,1,8.43401,1
deb,na,22,1,8.43401,1
adaptive,na,22,1,8.43383,1
static,1e-02,23,0,0.00110287,0
static,1e+00,23,0,2.8125,0
static,1e+02,23,1,8.43382,1
static,1e+04,23,1,8.43398,1
static,1e+06,23,1,8.43398,1
deb,na,23,1,8.43398,1
adaptive,na,23,1,8.43382,1
static,1e-02,24,0,0.00110296,0
static,1e+00,24,0,2.8125,0
static,1e+02,24,1,8.43382,1
static,1e+04,24,1,8.43384,1
static,1e+06,24,1,8.43384,1
deb,na,24,1,8.43384,1
adaptive,na,24,1,8.43381,1
static,1e-02,25,0,0.00110287,0
static,1e+00,25,0,2.8125,0
static,1e+02,25,1,8.43386,1
static,1e+04,25,1,8.43387,1
static,1e+06,25,1,8.43387,1
deb,na,25,1,8.43387,1
adaptive,na,25,1,8.43384,1
static,1e-02,26,0,0.00110287,0
static,1e+00,26,0,2.81251,0
static,1e+02,26,1,8.43382,1
static,1e+04,26,1,8.43383,1
static,1e+06,26,1,8.43383,1
deb,na,26,1,8.43383,1
adaptive,na,26,1,8.43382,1
static,1e-02,27,0,0.00110291,0
static,1e+00,27,0,2.8125,0
static,1e+02,27,1,8.43441,1
static,1e+04,27,1,8.43396,1
static,1e+06,27,1,8.43396,1
deb,na,27,1,8.43396,1
adaptive,na,27,1,8.43384,1
static,1e-02,28,0,0.00110288,0
static,1e+00,28,0,2.81252,0
static,1e+02,28,1,8.43382,1
static,1e+04,28,1,8.43384,1
static,1e+06,28,1,8.43384,1
deb,na,28,1,8.43384,1
adaptive,na,28,1,8.43381,1
static,1e-02,29,0,0.00110285,0
static,1e+00,29,0,2.8125,0
static,1e+02,29,1,8.43384,1
static,1e+04,29,1,8.43383,1
static,1e+06,29,1,8.43383,1
deb,na,29,1,8.43383,1
adaptive,na,29,1,8.43384,1
static,1e-02,30,0,0.00110292,0
static,1e+00,30,0,2.8125,0
static,1e+02,30,1,8.43382,1
static,1e+04,30,1,8.43405,1
static,1e+06,30,1,8.43405,1
deb,na,30,1,8.43405,1
adaptive,na,30,1,8.43383,1
static,1e-02,31,0,0.00110289,0
static,1e+00,31,0,2.8125,0
static,1e+02,31,1,8.43398,1
static,1e+04,31,1,8.43384,1
static,1e+06,31,1,8.43384,1
deb,na,31,1,8.43384,1
adaptive,na,31,1,8.43381,1
static,1e-02,32,0,0.00110284,0
static,1e+00,32,0,2.8125,0
static,1e+02,32,1,8.43388,1
static,1e+04,32,1,8.43382,1
static,1e+06,32,1,8.43382,1
deb,na,32,1,8.43382,1
adaptive,na,32,1,8.43382,1
static,1e-02,33,0,0.00110288,0
static,1e+00,33,0,2.8125,0
static,1e+02,33,1,8.43392,1
static,1e+04,33,1,8.43418,1
static,1e+06,33,1,8.43397,1
deb,na,33,1,8.43397,1
adaptive,na,33,1,8.43381,1
static,1e-02,34,0,0.00110309,0
static,1e+00,34,0,2.8125,0
static,1e+02,34,1,8.43382,1
static,1e+04,34,1,8.43409,1
static,1e+06,34,1,8.43409,1
deb,na,34,1,8.43409,1
adaptive,na,34,1,8.43384,1
static,1e-02,35,0,0.00110288,0
static,1e+00,35,0,2.8125,0
static,1e+02,35,1,8.43385,1
static,1e+04,35,1,8.43385,1
static,1e+06,35,1,8.43383,1
deb,na,35,1,8.43383,1
adaptive,na,35,1,8.43388,1
static,1e-02,36,0,0.00110306,0
static,1e+00,36,0,2.8125,0
static,1e+02,36,1,8.43384,1
static,1e+04,36,1,8.4339,1
static,1e+06,36,1,8.43387,1
deb,na,36,1,8.43387,1
adaptive,na,36,1,8.43434,1
static,1e-02,37,0,0.00110286,0
static,1e+00,37,0,2.8125,0
static,1e+02,37,1,8.43381,1
static,1e+04,37,1,8.43398,1
static,1e+06,37,1,8.43398,1
deb,na,37,1,8.43398,1
adaptive,na,37,1,8.43381,1
static,1e-02,38,0,0.00110292,0
static,1e+00,38,0,2.8125,0
static,1e+02,38,1,8.43381,1
static,1e+04,38,1,8.43386,1
static,1e+06,38,1,8.43386,1
deb,na,38,1,8.43386,1
adaptive,na,38,1,8.43384,1
static,1e-02,39,0,0.00110284,0
static,1e+00,39,0,2.8125,0
static,1e+02,39,1,8.43381,1
static,1e+04,39,1,8.43382,1
static,1e+06,39,1,8.43382,1
deb,na,39,1,8.43382,1
adaptive,na,39,1,8.43381,1
