run,viol_final_deb,viol_min_deb,viol_min_death,feas_deb,feas_death
0,0,0,1.2238,1,0
1,0,0,1.57997,1,0
2,0,0,2.42465,1,0
3,0,0,2.31809,1,0
4,0,0,1.18378,1,0
5,0,0,2.27368,1,0
6,0,0,3.7927,1,0
7,0,0,2.4646,1,0
8,0,0,2.5021,1,0
9,0,0,0.0457506,1,0
10,0,0,2.23038,1,0
11,0,0,2.49606,1,0
12,0,0,0.944824,1,0
13,0,0,1.06721,1,0
14,0,0,0.734702,1,0
15,0,0,0.915784,1,0
16,0,0,2.00441,1,0
17,0,0,2.10563,1,0
18,0,0,0.761449,1,0
19,0,0,2.05173,1,0
20,0,0,1.23078,1,0
21,0,0,2.01008,1,0
22,0,0,2.48721,1,0
23,0,0,2.59996,1,0
24,0,0,1.01191,1,0
25,0,0,0.855501,1,0
26,0,0,2.32115,1,0
27,0,0,2.74432,1,0
28,0,0,4.30656,1,0
29,0,0,2.3802,1,0
30,0,0,2.34781,1,0
31,0,0,2.1895,1,0
32,0,0,0.383194,1,0
33,0,0,2.18536,1,0
34,0,0,1.32403,1,0
35,0,0,1.25126,1,0
36,0,0,0.908317,1,0
37,0,0,1.16624,1,0
38,0,0,0.255562,1,0
39,0,0,1.77302,1,0
