seed,algo,gen,igd
0,moead,0,2.04211
0,moead,1,1.84834
0,moead,2,1.7391
0,moead,3,1.73069
0,moead,4,1.71537
0,moead,5,1.71709
0,moead,6,1.70905
0,moead,7,1.60607
0,moead,8,1.59163
0,moead,9,1.58685
0,moead,10,1.57268
0,moead,11,1.52374
0,moead,12,1.52131
0,moead,13,1.39911
0,moead,14,1.33098
0,moead,15,1.22405
0,moead,16,1.12015
0,moead,17,1.08373
0,moead,18,0.963336
0,moead,19,0.952749
0,moead,20,0.95224
0,moead,21,0.95117
0,moead,22,0.947585
0,moead,23,0.939714
0,moead,24,0.924143
0,moead,25,0.922156
0,moead,26,0.913991
0,moead,27,0.911796
0,moead,28,0.894778
0,moead,29,0.858494
0,moead,30,0.834643
0,moead,31,0.807275
0,moead,32,0.778776
0,moead,33,0.773715
0,moead,34,0.780377
0,moead,35,0.744392
0,moead,36,0.73352
0,moead,37,0.729134
0,moead,38,0.711764
0,moead,39,0.711259
0,moead,40,0.684176
0,moead,41,0.674324
0,moead,42,0.665902
0,moead,43,0.583037
0,moead,44,0.541433
0,moead,45,0.535294
0,moead,46,0.528607
0,moead,47,0.520203
0,moead,48,0.490618
0,moead,49,0.467887
0,moead,50,0.459622
0,moead,51,0.454395
0,moead,52,0.447732
0,moead,53,0.442631
0,moead,54,0.396624
0,moead,55,0.393035
0,moead,56,0.38373
0,moead,57,0.378393
0,moead,58,0.374556
0,moead,59,0.373783
0,moead,60,0.358044
0,moead,61,0.347859
0,moead,62,0.343696
0,moead,63,0.340132
0,moead,64,0.33239
0,moead,65,0.322828
0,moead,66,0.318555
0,moead,67,0.316668
0,moead,68,0.310931
0,moead,69,0.294608
0,moead,70,0.288932
0,moead,71,0.282609
0,moead,72,0.272564
0,moead,73,0.255697
0,moead,74,0.251002
0,moead,75,0.246316
0,moead,76,0.243452
0,moead,77,0.240298
0,moead,78,0.239268
0,moead,79,0.234682
0,moead,80,0.22897
0,moead,81,0.222247
0,moead,82,0.218819
0,moead,83,0.216959
0,moead,84,0.214712
0,moead,85,0.213593
0,moead,86,0.212941
0,moead,87,0.206885
0,moead,88,0.205583
0,moead,89,0.202467
0,moead,90,0.201784
0,moead,91,0.200817
0,moead,92,0.200554
0,moead,93,0.199435
0,moead,94,0.198901
0,moead,95,0.197678
0,moead,96,0.19678
0,moead,97,0.195523
0,moead,98,0.194372
0,moead,99,0.193101
0,moead,100,0.192073
0,moead,101,0.190393
0,moead,102,0.190092
0,moead,103,0.188992
0,moead,104,0.184617
0,moead,105,0.172844
0,moead,106,0.165501
0,moead,107,0.165218
0,moead,108,0.161434
0,moead,109,0.148489
0,moead,110,0.146517
0,moead,111,0.136421
0,moead,112,0.132694
0,moead,113,0.130307
0,moead,114,0.107147
0,moead,115,0.0961554
0,moead,116,0.0925574
0,moead,117,0.0875438
0,moead,118,0.08245
0,moead,119,0.0689098
0,moead,120,0.0647017
0,moead,121,0.0599116
0,moead,122,0.0558397
0,moead,123,0.0541405
0,moead,124,0.0513566
0,moead,125,0.0478342
0,moead,126,0.0463624
0,moead,127,0.0444815
0,moead,128,0.0449127
0,moead,129,0.0424533
0,moead,130,0.0397341
0,moead,131,0.0386259
0,moead,132,0.0374826
0,moead,133,0.0364279
0,moead,134,0.036324
0,moead,135,0.0355181
0,moead,136,0.0347579
0,moead,137,0.0340624
0,moead,138,0.0332007
0,moead,139,0.0325567
0,moead,140,0.0309922
0,moead,141,0.0294228
0,moead,142,0.0278474
0,moead,143,0.0274879
0,moead,144,0.0263766
0,moead,145,0.0248528
0,moead,146,0.024159
0,moead,147,0.0235576
0,moead,148,0.0233145
0,moead,149,0.0228319
0,moead,150,0.0222349
0,moead,151,0.0220559
0,moead,152,0.021766
0,moead,153,0.0211372
0,moead,154,0.0209617
0,moead,155,0.0207478
0,moead,156,0.0203022
0,moead,157,0.0200693
0,moead,158,0.0199549
0,moead,159,0.0194784
0,moead,160,0.019088
0,moead,161,0.0189922
0,moead,162,0.0188417
0,moead,163,0.0184872
0,moead,164,0.0184065
0,moead,165,0.0184337
0,moead,166,0.0183096
0,moead,167,0.0182422
0,moead,168,0.0181736
0,moead,169,0.0179359
0,moead,170,0.0180184
0,moead,171,0.0180326
0,moead,172,0.0178619
0,moead,173,0.0176039
0,moead,174,0.0174173
0,moead,175,0.0173536
0,moead,176,0.0170307
0,moead,177,0.0169316
0,moead,178,0.0167127
