i,f1,f2,rank
0,0,1.01001,0
1,1,0.00576753,0
2,0.500303,0.301948,0
3,0.197391,0.56683,0
4,0.220522,0.546168,0
5,0.0235116,0.872849,0
6,0.599762,0.235063,0
7,0.0933975,0.709174,0
8,0.408237,0.373151,0
9,0.520812,0.290934,0
10,0.0607802,0.769342,0
11,0.668699,0.194425,0
12,0.478319,0.318685,0
13,0.95603,0.0310183,0
14,0.761994,0.135848,0
15,0.388388,0.388417,0
16,0.354597,0.41733,0
17,0.801731,0.1138,0
18,0.269532,0.489972,0
19,0.620267,0.221691,0
20,0.982398,0.0178731,0
21,0.342088,0.42482,0
22,0.00401177,0.95411,0
23,0.787728,0.123991,0
24,0.251543,0.507671,0
25,0.306063,0.462305,0
26,0.0703697,0.752918,0
27,0.8354,0.0969353,0
28,0.870241,0.0773178,0
29,0.898184,0.0587687,0
30,0.777464,0.128676,0
31,0.189055,0.57753,0
32,0.0863789,0.723885,0
33,0.681023,0.184035,0
34,0.103316,0.689924,0
35,0.227244,0.536822,0
36,0.652831,0.201389,0
37,0.442666,0.344814,0
38,0.530421,0.283199,0
39,0.286381,0.478603,0
40,0.589955,0.243366,0
41,0.0532445,0.782512,0
42,0.814591,0.108752,0
43,0.0173498,0.888721,0
44,0.0270631,0.845484,0
45,0.00667616,0.94338,0
46,0.366733,0.406011,0
47,0.158772,0.615229,0
48,0.00123233,0.978786,0
49,0.23766,0.522308,0
50,0.823247,0.100674,0
51,0.91183,0.0570882,0
52,0.749142,0.144078,0
53,0.415059,0.364988,0
54,0.142349,0.64429,0
55,0.424228,0.357223,0
56,0.148135,0.626988,0
57,0.315966,0.4491,0
58,0.937904,0.0411663,0
59,0.435541,0.353815,0
60,0.92212,0.0503065,0
61,0.130076,0.649986,0
62,0.982568,0.0176694,0
63,0.734409,0.154966,0
64,0.125112,0.657227,0
65,0.295674,0.467362,0
66,0.850237,0.0894892,0
67,0.333102,0.435218,0
68,0.641552,0.210196,0
69,0.0378458,0.819029,0
70,0.0339343,0.830854,0
71,0.00234833,0.978339,0
72,0.556856,0.260412,0
73,0.542059,0.276051,0
74,0.857697,0.0816212,0
75,0.629281,0.219568,0
76,0.884083,0.0670192,0
77,0.741274,0.14737,0
78,0.17968,0.586321,0
79,0.112903,0.677122,0
80,0.265619,0.49978,0
81,0.930382,0.045407,0
82,0.234934,0.523915,0
83,0.00827035,0.924244,0
84,0.467066,0.327369,0
85,0.882512,0.06874,0
86,0.950369,0.0344519,0
87,0.688432,0.177227,0
88,0.551497,0.266047,0
89,0.144884,0.632932,0
90,0.454543,0.336534,0
91,0.0762952,0.746551,0
92,0.172621,0.601841,0
93,0.327414,0.438486,0
94,0.175976,0.59007,0
95,0.570182,0.257397,0
96,0.107406,0.686485,0
97,0.0800697,0.733043,0
98,0.321064,0.445767,0
99,0.259887,0.50549,0
