gen,igd
0,2.19525
1,1.47673
2,1.44797
3,1.44797
4,1.26092
5,1.26092
6,1.26092
7,1.23207
8,1.14996
9,1.14996
10,0.989099
11,0.948433
12,0.9484
13,0.9484
14,0.935682
15,0.931794
16,0.931794
17,0.859229
18,0.852805
19,0.852587
20,0.666739
21,0.666678
22,0.66432
23,0.653934
24,0.653934
25,0.651246
26,0.631342
27,0.602436
28,0.593435
29,0.593384
30,0.585044
31,0.561842
32,0.482051
33,0.482051
34,0.473031
35,0.467096
36,0.464481
37,0.452086
38,0.433727
39,0.414966
40,0.402308
41,0.396085
42,0.391364
43,0.388587
44,0.38713
45,0.379117
46,0.364786
47,0.362492
48,0.358431
49,0.333465
50,0.33155
51,0.328559
52,0.316863
53,0.310569
54,0.292197
55,0.289063
56,0.274288
57,0.269499
58,0.255819
59,0.253033
60,0.248162
61,0.237538
62,0.231962
63,0.228402
64,0.212293
65,0.210424
66,0.19978
67,0.188359
68,0.185983
69,0.182301
70,0.176072
71,0.173515
72,0.17144
73,0.161992
74,0.161154
75,0.159493
76,0.154549
77,0.148831
78,0.141801
79,0.13541
80,0.133441
81,0.13001
82,0.12565
83,0.123843
84,0.120324
85,0.119433
86,0.116278
87,0.114006
88,0.111653
89,0.109078
90,0.107157
91,0.101556
92,0.0965726
93,0.093811
94,0.0922024
95,0.0885177
96,0.0842332
97,0.0820795
98,0.0795277
99,0.0765431
100,0.0753154
101,0.073267
102,0.0704844
103,0.0673271
104,0.0657608
105,0.0630974
106,0.0619315
107,0.0607161
108,0.0586054
109,0.0572101
110,0.0563308
111,0.0546615
112,0.0529334
113,0.0513613
114,0.0508855
115,0.0500368
116,0.0483204
117,0.0474255
118,0.0462868
119,0.0441699
120,0.0432006
121,0.0419955
122,0.0404246
123,0.0392387
124,0.0382042
125,0.0377635
126,0.0367139
127,0.0352557
128,0.0344512
129,0.0341372
130,0.0335528
131,0.0329716
132,0.0325588
133,0.0321097
134,0.0318617
135,0.0307246
136,0.0300153
137,0.0294074
138,0.0290455
139,0.0281104
140,0.0274461
141,0.0265413
142,0.0260738
143,0.024957
144,0.0245069
145,0.0236843
146,0.0230965
147,0.0220321
148,0.0214824
149,0.0209734
150,0.0204195
151,0.0203223
152,0.0199893
153,0.0197532
154,0.0192629
155,0.0187351
156,0.0184508
157,0.0182741
158,0.0179932
159,0.0178274
160,0.0175074
161,0.0169421
162,0.0164114
163,0.0163472
164,0.0164044
165,0.0161436
166,0.0155738
167,0.0151209
168,0.0148178
169,0.0147342
170,0.0144422
171,0.0141752
172,0.0138665
173,0.013477
174,0.0137134
175,0.0133359
176,0.0132081
177,0.0132834
178,0.0127514
179,0.0124751
180,0.01194
181,0.0116395
182,0.011831
183,0.0115981
184,0.0114787
185,0.0113573
186,0.0110527
187,0.0110851
188,0.0112394
189,0.0109377
190,0.0107787
191,0.0106034
192,0.0103706
193,0.0104118
194,0.0103013
195,0.0101475
196,0.0101846
197,0.00987234
198,0.00999049
199,0.00979169
200,0.00990613
