run,evals_q1,evals_q4,best_q1,best_q4
0,15,21,0.00753331,0.0202879
1,16,34,0.0434955,0.00231596
2,1,1,0.0189481,0.0189481
3,18,27,0.0157466,0.0458099
4,9,9,0.00835544,0.00835544
5,14,20,0.00311225,0.00580998
6,15,20,0.00403195,0.00354393
7,13,18,0.00246929,0.00236118
8,10,10,0.0334262,0.0425838
9,7,7,0.00312349,0.00312349
10,5,5,0.0217199,0.0217199
11,15,28,0.00300154,0.00707253
12,6,6,0.00507008,0.00507008
13,16,20,0.00713958,0.0192904
14,5,5,0.0310187,0.0310187
15,9,9,0.0488162,0.0488162
16,20,23,0.00232209,0.0379935
17,3,3,0.00422747,0.00422747
18,11,33,0.0203171,0.00952865
19,8,8,0.0490934,0.0490934
