run,evals_bo,evals_random,evals_lhs,best_bo,best_random
0,7,7,9,0.0152676,0.0432166
1,14,63,80,0.00433949,0.0131576
2,3,10,21,0.00933288,0.0276754
3,2,47,14,0.0299106,0.0388018
4,1,61,32,0.0308986,0.033976
5,18,29,52,0.00489705,0.01828
6,10,1,27,0.00574563,0.00789344
7,20,18,25,0.0105309,0.0514873
8,9,3,18,0.0512236,0.0134805
9,7,14,2,0.0130334,0.0419398
10,14,15,21,0.00527898,0.012978
11,10,80,11,0.0328007,0.0868212
12,10,19,5,0.0390248,0.0349216
13,4,46,11,0.0511363,0.0187087
14,6,26,54,0.0474729,0.0136543
15,12,29,28,0.0211818,0.00305113
16,10,59,48,0.0208178,0.0398312
17,7,23,15,0.0130198,0.0216579
18,8,29,9,0.042399,0.021016
19,17,3,2,0.00619929,0.0342849
