x,ytrue,ynoisy,mean,sd,cover2s_noisy,cover2s_true
-1.992000,-0.028751,0.008703,-0.126211,0.236001,1,1
-1.976000,-0.092858,-0.049506,-0.189574,0.224750,1,1
-1.960000,-0.157134,-0.209471,-0.254124,0.214673,1,1
-1.944000,-0.221229,-0.202731,-0.319526,0.205798,1,1
-1.928000,-0.284796,-0.261109,-0.385423,0.198130,1,1
-1.912000,-0.347490,-0.325143,-0.451447,0.191646,1,1
-1.896000,-0.408969,-0.375409,-0.517215,0.186295,1,1
-1.880000,-0.468901,-0.504924,-0.582335,0.182002,1,1
-1.864000,-0.526959,-0.436379,-0.646408,0.178669,1,1
-1.848000,-0.582829,-0.658312,-0.709031,0.176179,1,1
-1.832000,-0.636207,-0.857621,-0.769802,0.174410,1,1
-1.816000,-0.686803,-0.780634,-0.828320,0.173235,1,1
-1.800000,-0.734346,-0.737788,-0.884191,0.172530,1,1
-1.784000,-0.778577,-0.575740,-0.937030,0.172181,0,1
-1.768000,-0.819260,-0.747501,-0.986468,0.172085,1,1
-1.752000,-0.856177,-0.809364,-1.032150,0.172155,1,1
-1.736000,-0.889131,-1.120866,-1.073741,0.172317,1,1
-1.720000,-0.917949,-1.083223,-1.110931,0.172513,1,1
-1.704000,-0.942480,-0.820036,-1.143435,0.172701,1,1
-1.688000,-0.962596,-0.906995,-1.170998,0.172849,1,1
-1.672000,-0.978198,-1.013013,-1.193396,0.172938,1,1
-1.656000,-0.989209,-1.128061,-1.210440,0.172957,1,1
-1.640000,-0.995580,-0.796868,-1.221977,0.172905,0,1
-1.624000,-0.997286,-1.035910,-1.227893,0.172786,1,1
-1.608000,-0.994331,-1.228458,-1.228111,0.172609,1,1
-1.592000,-0.986743,-1.120792,-1.222598,0.172385,1,1
-1.576000,-0.974579,-1.123798,-1.211360,0.172129,1,1
-1.560000,-0.957918,-0.844086,-1.194447,0.171854,0,1
-1.544000,-0.936867,-1.113972,-1.171949,0.171574,1,1
-1.528000,-0.911557,-0.986003,-1.143997,0.171301,1,1
-1.512000,-0.882144,-0.720440,-1.110764,0.171047,0,1
-1.496000,-0.848804,-0.838809,-1.072460,0.170821,1,1
-1.480000,-0.811738,-0.838273,-1.029334,0.170627,1,1
-1.464000,-0.771166,-0.904061,-0.981671,0.170470,1,1
-1.448000,-0.727327,-0.711433,-0.929786,0.170350,1,1
-1.432000,-0.680481,-0.707960,-0.874029,0.170267,1,1
-1.416000,-0.630900,-0.527467,-0.814773,0.170217,1,1
-1.400000,-0.578874,-0.468216,-0.752419,0.170197,1,1
-1.384000,-0.524706,-0.511787,-0.687386,0.170199,1,1
-1.368000,-0.468709,-0.546631,-0.620112,0.170219,1,1
-1.352000,-0.411206,-0.568306,-0.551048,0.170250,1,1
-1.336000,-0.352529,-0.552743,-0.480655,0.170285,1,1
-1.320000,-0.293012,-0.439144,-0.409398,0.170319,1,1
-1.304000,-0.232998,-0.318384,-0.337747,0.170347,1,1
-1.288000,-0.172827,-0.233288,-0.266165,0.170365,1,1
-1.272000,-0.112841,-0.080296,-0.195114,0.170370,1,1
-1.256000,-0.053379,-0.011560,-0.125043,0.170360,1,1
-1.240000,0.005223,-0.161707,-0.056389,0.170336,1,1
-1.224000,0.062637,0.159107,0.010429,0.170296,1,1
-1.208000,0.118542,0.078896,0.075010,0.170244,1,1
-1.192000,0.172628,0.114389,0.136979,0.170181,1,1
-1.176000,0.224596,0.411008,0.195984,0.170110,1,1
-1.160000,0.274161,0.106826,0.251702,0.170033,1,1
-1.144000,0.321053,0.418655,0.303840,0.169956,1,1
-1.128000,0.365020,0.330670,0.352138,0.169880,1,1
-1.112000,0.405825,0.394541,0.396368,0.169810,1,1
-1.096000,0.443255,0.456186,0.436337,0.169748,1,1
-1.080000,0.477114,0.133478,0.471886,0.169697,1,1
-1.064000,0.507232,0.402931,0.502893,0.169659,1,1
-1.048000,0.533457,0.460024,0.529272,0.169635,1,1
-1.032000,0.555666,0.744647,0.550970,0.169626,1,1
-1.016000,0.573756,0.409846,0.567971,0.169632,1,1
-1.000000,0.587653,0.580685,0.580291,0.169654,1,1
-0.984000,0.597306,0.633779,0.587980,0.169689,1,1
-0.968000,0.602690,0.645925,0.591120,0.169736,1,1
-0.952000,0.603806,0.587185,0.589820,0.169794,1,1
-0.936000,0.600683,0.784094,0.584221,0.169860,1,1
-0.920000,0.593371,0.529050,0.574486,0.169933,1,1
-0.904000,0.581951,0.772963,0.560805,0.170008,1,1
-0.888000,0.566524,0.466399,0.543389,0.170085,1,1
-0.872000,0.547217,0.412899,0.522468,0.170160,1,1
-0.856000,0.524182,0.507884,0.498290,0.170231,1,1
-0.840000,0.497589,0.372894,0.471116,0.170296,1,1
-0.824000,0.467635,0.221274,0.441223,0.170353,1,1
-0.808000,0.434532,0.459625,0.408896,0.170399,1,1
-0.792000,0.398514,0.228702,0.374429,0.170435,1,1
-0.776000,0.359832,0.452098,0.338120,0.170459,1,1
-0.760000,0.318752,0.366384,0.300273,0.170469,1,1
-0.744000,0.275555,0.093382,0.261193,0.170466,1,1
-0.728000,0.230534,0.288784,0.221185,0.170449,1,1
-0.712000,0.183994,0.148415,0.180550,0.170419,1,1
-0.696000,0.136248,0.070768,0.139589,0.170377,1,1
-0.680000,0.087616,0.303808,0.098594,0.170322,1,1
-0.664000,0.038424,-0.060535,0.057853,0.170256,1,1
-0.648000,-0.011000,-0.248831,0.017644,0.170181,1,1
-0.632000,-0.060325,0.140455,-0.021765,0.170098,1,1
-0.616000,-0.109222,-0.103544,-0.060113,0.170009,1,1
-0.600000,-0.157366,-0.125240,-0.097154,0.169915,1,1
-0.584000,-0.204434,-0.104729,-0.132654,0.169820,1,1
-0.568000,-0.250110,-0.273832,-0.166389,0.169725,1,1
-0.552000,-0.294090,-0.054166,-0.198154,0.169632,1,1
-0.536000,-0.336075,-0.126791,-0.227755,0.169544,1,1
-0.520000,-0.375783,-0.189026,-0.255014,0.169463,1,1
-0.504000,-0.412944,-0.254258,-0.279769,0.169390,1,1
-0.488000,-0.447303,-0.668604,-0.301876,0.169328,0,1
