run,evals_tpe,evals_random,best_tpe,best_random
0,16,100,-0.0428726,-0.0356172
1,10,10,-0.0425713,-0.0407625
2,35,52,-0.0391848,-0.0414636
3,37,100,-0.0390712,-0.0429642
4,10,100,-0.0391172,-0.0348901
5,42,12,-0.038309,-0.0385374
6,11,10,-0.041831,-0.0429383
7,15,87,-0.0403325,-0.040267
8,62,20,-0.0383091,-0.0417158
9,12,47,-0.0393027,-0.0417743
10,37,10,-0.0392315,-0.0425874
11,8,100,-0.0430403,-0.0220581
12,16,61,-0.039679,-0.0416573
13,56,22,-0.0409286,-0.0416757
14,13,49,-0.0418149,-0.0432779
15,3,8,-0.0408014,-0.0384431
16,13,100,-0.0403565,-0.0375484
17,15,15,-0.0393829,-0.0406281
18,43,1,-0.0389579,-0.0399343
19,16,100,-0.0401793,-0.0337681
20,14,39,-0.0414834,-0.039926
21,12,3,-0.0427987,-0.0430916
22,15,13,-0.0426395,-0.04311
23,38,50,-0.0383292,-0.0422796
24,13,25,-0.0425541,-0.0390195
25,3,40,-0.0406817,-0.0427295
26,14,9,-0.0432152,-0.0402948
27,15,44,-0.0428669,-0.0401026
28,7,1,-0.0432016,-0.0432067
29,56,34,-0.0398178,-0.0404205
30,11,33,-0.043282,-0.0431098
31,6,60,-0.0431536,-0.0429504
32,7,95,-0.0432703,-0.0413794
33,1,14,-0.0432444,-0.0418457
34,15,7,-0.0424668,-0.0404761
35,2,68,-0.0432819,-0.0412647
36,14,34,-0.0415611,-0.0407932
37,15,4,-0.0428197,-0.0409788
38,16,28,-0.0426744,-0.0430756
39,15,25,-0.0430458,-0.040813
