x,kriging,gp_mean
0.000000,-0.049759185,-0.049759185
0.005025,-0.037260093,-0.037260093
0.010050,-0.024546772,-0.024546772
0.015075,-0.011624825,-0.011624825
0.020101,0.0014999816,0.0014999816
0.025126,0.01482172,0.01482172
0.030151,0.028334306,0.028334306
0.035176,0.0420315,0.0420315
0.040201,0.055906914,0.055906914
0.045226,0.069954014,0.069954014
0.050251,0.084166125,0.084166125
0.055276,0.098536436,0.098536436
0.060302,0.113058,0.113058
0.065327,0.12772375,0.12772375
0.070352,0.14252648,0.14252648
0.075377,0.15745889,0.15745889
0.080402,0.17251354,0.17251354
0.085427,0.1876829,0.1876829
0.090452,0.20295933,0.20295933
0.095477,0.2183351,0.2183351
0.100503,0.23380237,0.23380237
0.105528,0.24935324,0.24935324
0.110553,0.2649797,0.2649797
0.115578,0.28067367,0.28067367
0.120603,0.29642703,0.29642703
0.125628,0.31223156,0.31223156
0.130653,0.328079,0.328079
0.135678,0.34396103,0.34396103
0.140704,0.35986928,0.35986928
0.145729,0.37579536,0.37579536
0.150754,0.39173081,0.39173081
0.155779,0.40766718,0.40766718
0.160804,0.42359598,0.42359598
0.165829,0.43950869,0.43950869
0.170854,0.45539681,0.45539681
0.175879,0.47125181,0.47125181
0.180905,0.48706517,0.48706517
0.185930,0.50282838,0.50282838
0.190955,0.51853295,0.51853295
0.195980,0.53417041,0.53417041
0.201005,0.5497323,0.5497323
0.206030,0.56521021,0.56521021
0.211055,0.58059576,0.58059576
0.216080,0.59588062,0.59588062
0.221106,0.61105651,0.61105651
0.226131,0.6261152,0.6261152
0.231156,0.64104852,0.64104852
0.236181,0.65584839,0.65584839
0.241206,0.67050679,0.67050679
0.246231,0.68501576,0.68501576
0.251256,0.69936745,0.69936745
0.256281,0.7135541,0.7135541
0.261307,0.72756804,0.72756804
0.266332,0.74140169,0.74140169
0.271357,0.75504759,0.75504759
0.276382,0.76849839,0.76849839
0.281407,0.78174686,0.78174686
0.286432,0.79478589,0.79478589
0.291457,0.80760847,0.80760847
0.296482,0.82020776,0.82020776
0.301508,0.83257704,0.83257704
0.306533,0.84470972,0.84470972
0.311558,0.85659937,0.85659937
0.316583,0.8682397,0.8682397
0.321608,0.87962456,0.87962456
0.326633,0.89074799,0.89074799
0.331658,0.90160415,0.90160415
0.336683,0.9121874,0.9121874
0.341709,0.92249223,0.92249223
0.346734,0.93251334,0.93251334
0.351759,0.94224557,0.94224557
0.356784,0.95168396,0.95168396
0.361809,0.96082371,0.96082371
0.366834,0.96966022,0.96966022
0.371859,0.97818906,0.97818906
0.376884,0.98640601,0.98640601
0.381910,0.994307,0.994307
0.386935,1.0018882,1.0018882
0.391960,1.0091459,1.0091459
0.396985,1.0160767,1.0160767
0.402010,1.0226773,1.0226773
0.407035,1.0289447,1.0289447
0.412060,1.0348759,1.0348759
0.417085,1.0404682,1.0404682
0.422111,1.0457194,1.0457194
0.427136,1.0506269,1.0506269
0.432161,1.0551889,1.0551889
0.437186,1.0594034,1.0594034
0.442211,1.0632688,1.0632688
0.447236,1.0667836,1.0667836
0.452261,1.0699466,1.0699466
0.457286,1.0727568,1.0727568
0.462312,1.0752133,1.0752133
0.467337,1.0773154,1.0773154
0.472362,1.0790628,1.0790628
0.477387,1.0804553,1.0804553
0.482412,1.0814927,1.0814927
0.487437,1.0821754,1.0821754
0.492462,1.0825036,1.0825036
0.497487,1.0824779,1.0824779
0.502513,1.0820992,1.0820992
0.507538,1.0813683,1.0813683
0.512563,1.0802864,1.0802864
0.517588,1.078855,1.078855
0.522613,1.0770755,1.0770755
0.527638,1.0749497,1.0749497
0.532663,1.0724794,1.0724794
0.537688,1.0696669,1.0696669
0.542714,1.0665143,1.0665143
0.547739,1.0630242,1.0630242
0.552764,1.0591992,1.0591992
0.557789,1.0550421,1.0550421
0.562814,1.0505559,1.0505559
0.567839,1.0457437,1.0457437
0.572864,1.0406089,1.0406089
0.577889,1.035155,1.035155
0.582915,1.0293856,1.0293856
0.587940,1.0233045,1.0233045
0.592965,1.0169156,1.0169156
0.597990,1.0102231,1.0102231
0.603015,1.0032312,1.0032312
0.608040,0.99594433,0.99594433
0.613065,0.98836699,0.98836699
0.618090,0.98050384,0.98050384
0.623116,0.9723597,0.9723597
0.628141,0.96393949,0.96393949
0.633166,0.95524827,0.95524827
0.638191,0.94629121,0.94629121
0.643216,0.93707359,0.93707359
0.648241,0.92760083,0.92760083
0.653266,0.91787844,0.91787844
0.658291,0.90791203,0.90791203
0.663317,0.89770732,0.89770732
0.668342,0.88727014,0.88727014
0.673367,0.87660638,0.87660638
0.678392,0.86572205,0.86572205
0.683417,0.85462324,0.85462324
0.688442,0.8433161,0.8433161
0.693467,0.83180688,0.83180688
0.698492,0.82010189,0.82010189
0.703518,0.80820751,0.80820751
0.708543,0.79613019,0.79613019
0.713568,0.78387644,0.78387644
0.718593,0.77145282,0.77145282
0.723618,0.75886594,0.75886594
0.728643,0.74612247,0.74612247
0.733668,0.73322912,0.73322912
0.738693,0.72019262,0.72019262
0.743719,0.70701977,0.70701977
0.748744,0.69371737,0.69371737
0.753769,0.68029227,0.68029227
0.758794,0.66675133,0.66675133
0.763819,0.65310143,0.65310143
0.768844,0.63934947,0.63934947
0.773869,0.62550237,0.62550237
0.778894,0.61156703,0.61156703
0.783920,0.59755039,0.59755039
0.788945,0.58345935,0.58345935
0.793970,0.56930085,0.56930085
0.798995,0.55508179,0.55508179
0.804020,0.54080907,0.54080907
0.809045,0.52648956,0.52648956
0.814070,0.51213014,0.51213014
0.819095,0.49773764,0.49773764
0.824121,0.48331889,0.48331889
0.829146,0.46888065,0.46888065
0.834171,0.4544297,0.4544297
0.839196,0.43997274,0.43997274
0.844221,0.42551644,0.42551644
0.849246,0.41106745,0.41106745
0.854271,0.39663234,0.39663234
0.859296,0.38221766,0.38221766
0.864322,0.36782988,0.36782988
0.869347,0.35347544,0.35347544
0.874372,0.33916069,0.33916069
0.879397,0.32489195,0.32489195
0.884422,0.31067546,0.31067546
0.889447,0.29651738,0.29651738
0.894472,0.28242383,0.28242383
0.899497,0.26840083,0.26840083
0.904523,0.25445433,0.25445433
0.909548,0.2405902,0.2405902
0.914573,0.22681425,0.22681425
0.919598,0.21313217,0.21313217
0.924623,0.19954958,0.19954958
0.929648,0.18607203,0.18607203
0.934673,0.17270495,0.17270495
0.939698,0.15945369,0.15945369
0.944724,0.14632351,0.14632351
0.949749,0.13331956,0.13331956
0.954774,0.1204469,0.1204469
0.959799,0.10771048,0.10771048
0.964824,0.095115156,0.095115156
0.969849,0.082665676,0.082665676
0.974874,0.070366678,0.070366678
0.979899,0.058222694,0.058222694
0.984925,0.046238145,0.046238145
0.989950,0.034417339,0.034417339
0.994975,0.022764473,0.022764473
1.000000,0.01128363,0.01128363
