x,y,f_true,interp
0.160906,-0.946403,0.37976046,0.37976033
-0.268696,0.406571,0.62654961,0.62654964
-0.098028,-0.100532,0.89694499,0.89694501
0.416381,0.813727,0.4656263,0.4656263
0.888221,0.383801,0.60688135,0.60688133
0.420150,0.601646,0.72595124,0.72595123
0.290318,0.458966,0.90201864,0.90201864
-0.160776,0.768474,0.51435511,0.51435509
0.105915,-0.567318,0.76456848,0.76456849
0.302615,-0.116452,1.1351853,1.1351853
0.409195,0.258106,1.0584289,1.0584288
-0.340930,0.673022,0.47332252,0.47332254
-0.533267,0.124632,0.40924612,0.40924611
0.087748,-0.562296,0.76371093,0.76371091
-0.497471,0.580272,0.3910585,0.39105852
-0.576989,0.939837,0.33821965,0.33821964
-0.399068,-0.732896,0.42517425,0.42517423
-0.027919,0.362547,0.85675467,0.85675467
0.944569,-0.596082,0.40477977,0.40477976
0.838730,-0.827917,0.27369964,0.27369963
-0.237556,0.342177,0.68083601,0.680836
-0.911379,0.661233,0.18264546,0.18264548
0.135601,0.214359,1.0455227,1.0455227
-0.605854,-0.858813,0.32262514,0.32262513
-0.431115,0.306087,0.49342879,0.4934288
0.605365,-0.107841,1.0280259,1.0280259
0.411893,-0.927963,0.32691966,0.32691956
0.315765,0.663029,0.67470042,0.67470042
-0.014802,0.144435,0.96662687,0.96662684
0.769119,-0.844781,0.28760107,0.28760106
-0.830207,-0.042282,0.19558754,0.19558751
-0.000092,-0.478482,0.79531963,0.79531962
0.325433,0.081785,1.1451242,1.1451242
-0.746633,0.567036,0.240168,0.24016801
-0.306409,0.461391,0.57215549,0.57215552
0.254769,-0.819876,0.498246,0.49824601
0.792731,-0.928111,0.19344594,0.19344595
0.334712,-0.355241,0.99655214,0.99655217
-0.821486,-0.311541,0.19963512,0.19963512
-0.125842,-0.570428,0.65484327,0.65484325
-0.521603,-0.099906,0.42206237,0.4220624
0.018055,0.642546,0.66789134,0.66789135
-0.093930,0.393145,0.78738179,0.78738178
0.853052,-0.737932,0.35133424,0.35133424
-0.072136,-0.464094,0.75993062,0.75993062
-0.803190,-0.602665,0.21672502,0.21672501
-0.356627,0.132450,0.60064184,0.60064183
0.882273,-0.760296,0.31418144,0.31418145
0.201190,0.308545,1.0164789,1.0164789
0.264948,-0.198043,1.0980689,1.0980689
0.317182,-0.936247,0.34790191,0.34790178
0.525841,0.260866,1.0104643,1.0104642
0.480323,0.282350,1.0182019,1.0182019
-0.357006,0.776501,0.43477489,0.43477491
-0.901640,-0.885524,0.2087635,0.20876351
0.441495,-0.573328,0.75272544,0.75272542
0.735586,0.216601,0.86759819,0.86759817
0.005773,-0.471346,0.80409453,0.80409453
-0.826209,-0.456550,0.20047663,0.2004766
-0.519602,0.042113,0.42585332,0.42585334
0.389211,-0.811298,0.4768882,0.47688819
-0.174152,0.868743,0.45505791,0.45505795
-0.369416,0.424979,0.52685193,0.52685192
0.617100,-0.926503,0.25575842,0.25575839
-0.733191,-0.121132,0.24562154,0.24562152
0.586026,-0.422973,0.84508716,0.84508714
-0.213483,0.618919,0.57287058,0.57287056
-0.521219,0.216928,0.41495073,0.41495073
0.411835,0.551421,0.78666521,0.78666521
0.855549,0.080230,0.76983395,0.76983391
-0.302675,0.940279,0.40608607,0.40608608
0.242462,0.035877,1.1406774,1.1406774
0.892001,-0.535643,0.49645185,0.49645184
0.310088,0.404235,0.95431329,0.95431327
-0.272941,0.286913,0.66292972,0.66292972
0.484933,0.318424,0.98960245,0.98960246
0.284848,-0.946798,0.34579777,0.3457976
0.500337,0.911462,0.31603876,0.31603876
-0.212703,-0.448993,0.65867198,0.65867197
-0.947285,-0.920047,0.19567595,0.19567588
0.841862,0.223917,0.74534909,0.74534907
-0.906963,0.464560,0.17407931,0.17407931
-0.267126,-0.088388,0.70987649,0.70987648
0.223595,0.600754,0.75031597,0.75031597
0.141168,0.044717,1.0988925,1.0988925
-0.716099,0.620458,0.25767136,0.25767137
0.862438,0.430275,0.6035036,0.60350358
-0.455422,0.057382,0.49389924,0.49389925
0.046304,0.500970,0.80145246,0.80145246
-0.605298,0.288818,0.33449888,0.33449892
0.311618,0.737254,0.58629652,0.58629652
0.625268,-0.081370,1.0181856,1.0181856
0.798296,-0.528106,0.58537654,0.58537654
-0.460934,-0.643264,0.40626201,0.40626199
0.421921,-0.016312,1.141005,1.141005
0.026329,-0.579688,0.72568594,0.72568593
-0.119609,0.232599,0.83967878,0.83967878
-0.708190,-0.428673,0.25805122,0.25805121
0.341966,0.131565,1.131081,1.131081
0.339077,-0.502679,0.85447902,0.85447904
0.467285,0.776815,0.49492299,0.49492299
0.481467,-0.508731,0.81126702,0.81126701
-0.524138,0.196328,0.41375864,0.41375862
0.655941,-0.208230,0.94767013,0.94767014
0.395171,0.186831,1.1019198,1.1019198
0.362748,-0.226552,1.0858902,1.0858902
-0.780729,-0.161256,0.21834008,0.21834005
-0.093368,0.255604,0.8560858,0.85608581
0.168285,0.722851,0.6145503,0.6145503
0.639372,0.208636,0.96163018,0.96163016
-0.373680,0.082699,0.58541581,0.58541585
0.250619,0.860427,0.45243833,0.45243832
-0.696543,-0.243374,0.26783728,0.2678373
0.585895,0.161901,1.0244495,1.0244495
-0.850975,-0.522559,0.19378427,0.19378426
0.949580,-0.639043,0.36902151,0.36902148
0.916974,-0.044970,0.69236936,0.69236934
0.935931,-0.692567,0.33789957,0.33789957
0.365350,0.267551,1.0601325,1.0601325
0.756775,0.450180,0.68944269,0.68944267
0.832523,-0.476421,0.59829261,0.5982926
-0.037740,-0.751828,0.56029626,0.56029628
0.651594,-0.218590,0.94623926,0.94623925
0.122584,-0.436840,0.8885455,0.88854549
0.223358,-0.051633,1.1334411,1.1334411
-0.344287,-0.462362,0.5385869,0.53858687
0.599803,0.124826,1.0273879,1.0273879
-0.472331,0.125468,0.47204015,0.47204017
-0.117187,-0.820994,0.49331124,0.49331123
0.461165,-0.660210,0.64217178,0.64217177
-0.483476,0.624148,0.39458859,0.39458863
-0.095411,0.554909,0.68355004,0.68355002
-0.447193,0.159626,0.49632232,0.49632231
-0.812448,-0.245715,0.20313944,0.20313941
0.896838,0.514216,0.50824971,0.50824971
-0.728416,-0.519321,0.24777802,0.247778
0.116030,-0.749252,0.58485009,0.5848501
-0.478909,-0.823339,0.37474195,0.37474197
-0.349206,-0.859775,0.41645046,0.41645047
-0.720007,-0.102771,0.25418021,0.25418021
0.394883,-0.845714,0.43262679,0.4326268
-0.366790,-0.829314,0.41776508,0.41776507
0.301627,-0.934522,0.35462244,0.35462233
-0.718851,0.005570,0.25538267,0.2553827
-0.366366,-0.292268,0.56274725,0.56274723
-0.811267,-0.185185,0.20360883,0.2036088
0.206164,-0.076147,1.1237401,1.12374
0.581287,-0.188401,1.0161844,1.0161845
0.335515,-0.267853,1.0623377,1.0623377
0.795270,-0.929113,0.19163713,0.19163711
0.436074,-0.563252,0.76609959,0.76609957
0.367101,0.481489,0.87304554,0.87304553
-0.291461,0.214652,0.66132348,0.66132348
-0.942696,-0.041762,0.16382965,0.16382971
0.691917,0.226900,0.9056291,0.90562908
0.293314,0.932404,0.35951228,0.35951227
0.298342,-0.663067,0.67688747,0.67688746
-0.612398,0.878201,0.32130568,0.3213057
0.908575,-0.807260,0.2597064,0.2597064
-0.396678,0.409723,0.50554862,0.50554866
0.066565,-0.104881,1.0416333,1.0416333
0.204468,0.367544,0.97296286,0.97296286
-0.302112,-0.217673,0.64878926,0.64878921
-0.003852,0.433096,0.82655983,0.82655983
-0.644804,-0.060379,0.30979023,0.30979026
0.225912,-0.935490,0.37492593,0.37492583
-0.426808,0.320377,0.49521193,0.49521194
0.595566,0.306431,0.93561837,0.93561834
0.122172,0.652379,0.68434557,0.6843456
-0.740814,-0.628764,0.24608608,0.24608606
-0.208548,-0.911666,0.42924544,0.42924537
0.344349,0.674757,0.65591251,0.65591254
0.140949,0.802964,0.52958551,0.52958551
-0.031587,0.752782,0.56092821,0.56092819
-0.097012,-0.185035,0.87785328,0.87785324
-0.166844,0.197959,0.80228633,0.80228633
0.157019,0.215376,1.055377,1.055377
0.362145,0.885892,0.39358003,0.39358005
-0.111115,0.501854,0.70840538,0.70840538
0.691362,-0.639269,0.5530177,0.55301772
0.661489,0.855964,0.32077531,0.32077528
-0.128239,0.816794,0.49372402,0.49372404
0.658923,-0.453062,0.76680668,0.76680668
0.480120,-0.355601,0.96146502,0.96146501
-0.144041,-0.398524,0.74269457,0.74269459
0.220981,0.793898,0.5330234,0.53302342
-0.415804,-0.691505,0.42482274,0.4248227
-0.151039,0.767214,0.51822763,0.51822761
-0.498032,0.473969,0.4052633,0.40526331
0.372372,0.407763,0.94564442,0.9456444
0.563880,0.739948,0.50259342,0.50259341
-0.349737,-0.016161,0.61625873,0.61625877
0.560336,-0.756214,0.48414801,0.48414803
-0.236150,-0.150869,0.73678106,0.73678106
-0.157180,-0.826580,0.48155362,0.48155364
-0.303259,-0.186227,0.65378705,0.65378707
-0.355996,0.569605,0.49576072,0.49576074
0.334995,0.555463,0.79708181,0.79708181
0.856616,0.430853,0.60905203,0.60905201
0.751078,-0.369255,0.75897518,0.75897519
0.552902,-0.000956,1.0804033,1.0804033
0.561826,0.015061,1.0741987,1.0741987
0.503075,-0.731952,0.53781281,0.53781285
0.554344,-0.223970,1.0159023,1.0159022
-0.359685,0.577157,0.49075331,0.49075333
0.414866,-0.945427,0.30504746,0.30504729
-0.273443,-0.720298,0.49246508,0.4924651
-0.008425,0.251491,0.93201516,0.93201515
-0.476128,0.811267,0.37693396,0.37693397
-0.812080,-0.021013,0.20340826,0.20340825
0.256290,0.311931,1.0267035,1.0267035
-0.752295,-0.022093,0.23448518,0.23448521
0.865687,0.734946,0.34658635,0.34658635
