eps,node_resid,grid_err,cond2
0.15,0.014548,0.142111,8.47101e+18
0.173609,0.00180903,0.0761991,8.02377e+17
0.200934,0.000627805,0.0670885,1.1855e+18
0.23256,6.55282e-05,0.096876,1.79709e+17
0.269164,7.53494e-06,0.0786224,3.36202e+16
0.311529,7.46864e-07,0.0640337,3.35332e+15
0.360562,5.17443e-08,0.0483928,3.52035e+14
0.417312,7.14125e-09,0.0325909,3.81928e+13
0.482995,5.89536e-10,0.0215233,4.26002e+12
0.559015,7.8084e-11,0.0120193,4.83748e+11
0.647001,9.90175e-12,0.00446429,5.53421e+10
0.748836,3.49831e-13,0.00346772,6.33277e+09
0.866698,2.93987e-13,0.00647669,7.2316e+08
1.00311,1.39444e-13,0.00675228,8.26876e+07
1.161,4.08562e-14,0.010763,9.56401e+06
1.34373,1.34337e-14,0.0207449,1.14032e+06
1.55523,3.27516e-15,0.0356556,144386
1.80001,6.66134e-16,0.0533253,20230.6
2.08332,4.44089e-16,0.0721128,3288.69
2.41122,6.66134e-16,0.106509,647.536
2.79074,6.66134e-16,0.191228,159.175
3.22999,6.66134e-16,0.286736,49.3999
3.73837,4.44089e-16,0.381037,19.1128
4.32676,5.55112e-16,0.463811,8.9716
5.00777,4.44089e-16,0.531999,5.01283
5.79597,4.44089e-16,0.585084,3.21758
6.70822,6.66134e-16,0.743639,2.2672
7.76406,4.44089e-16,0.930466,1.71458
8.98608,6.66134e-16,1.05097,1.38123
10.4004,4.44089e-16,1.11066,1.18318
12.0374,2.22045e-16,1.1393,1.07429
13.932,4.44089e-16,1.14868,1.02173
16.1249,4.44089e-16,1.15056,1.00045
18.6628,1.11022e-16,1.15078,1.00001
21.6002,1.11022e-16,1.15079,1
25,1.11022e-16,1.15079,1
