t,numerical,analytic
0.5000,8.3945702,8.3945702
1.0000,7.0468809,7.0468809
1.5000,5.9155536,5.9155536
2.0000,4.965853,4.965853
2.5000,4.1686202,4.1686202
3.0000,3.4993775,3.4993775
3.5000,2.937577,2.937577
4.0000,2.4659696,2.4659696
4.5000,2.0700755,2.0700755
5.0000,1.7377394,1.7377394
5.5000,1.4587576,1.4587576
6.0000,1.2245643,1.2245643
6.5000,1.0279691,1.0279691
7.0000,0.86293586,0.86293586
7.5000,0.72439757,0.72439757
8.0000,0.60810063,0.60810063
8.5000,0.51047434,0.51047434
9.0000,0.42852127,0.42852127
9.5000,0.35972519,0.35972519
10.0000,0.30197383,0.30197383
