t,agut,a1,a2,agut_ana,a1_ana,a2_ana
0.5000,5.4881164,3.4068102,0.74318743,5.4881164,3.4068102,0.74318743
1.0000,3.0119421,4.0616561,1.8892893,3.0119421,4.0616561,1.8892893
1.5000,1.6529889,3.8382557,2.7744155,1.6529889,3.8382557,2.7744155
2.0000,0.90717953,3.4166497,3.306423,0.90717953,3.4166497,3.306423
2.5000,0.49787068,3.0149822,3.555528,0.49787068,3.0149822,3.555528
3.0000,0.27323722,2.6838464,3.6137209,0.27323722,2.6838464,3.6137209
3.5000,0.14995577,2.420116,3.5550124,0.14995577,2.420116,3.5550124
4.0000,0.08229747,2.2081977,3.4302498,0.08229747,2.2081977,3.4302498
4.5000,0.045165809,2.0332324,3.2716691,0.045165809,2.0332324,3.2716691
5.0000,0.024787522,1.8841418,3.098682,0.024787522,1.8841418,3.098682
5.5000,0.01360368,1.7534325,2.9225144,0.01360368,1.7534325,2.9225144
6.0000,0.0074658581,1.6362568,2.7494012,0.0074658581,1.6362568,2.7494012
6.5000,0.0040973498,1.5295282,2.5826278,0.0040973498,1.5295282,2.5826278
7.0000,0.0022486732,1.4312695,2.423778,0.0022486732,1.4312695,2.423778
7.5000,0.001234098,1.3401826,2.2734747,0.001234098,1.3401826,2.2734747
8.0000,0.00067728736,1.255378,2.131811,0.00067728736,1.255378,2.131811
8.5000,0.00037170318,1.1762123,1.9985964,0.00037170319,1.1762123,1.9985964
9.0000,0.00020399503,1.1021912,1.8734968,0.00020399503,1.1021912,1.8734968
9.5000,0.00011195484,1.0329131,1.7561119,0.00011195485,1.0329131,1.7561119
10.0000,6.144212e-05,0.96803653,1.6460178,6.1442124e-05,0.96803653,1.6460178
10.5000,3.3720149e-05,0.90726084,1.5427905,3.3720152e-05,0.90726084,1.5427905
11.0000,1.8506009e-05,0.8503152,1.4460174,1.8506012e-05,0.8503152,1.4460174
11.5000,1.0156311e-05,0.79695178,1.3553038,1.0156315e-05,0.79695178,1.3553038
12.0000,5.5739005e-06,0.74694168,1.2702751,5.5739037e-06,0.74694168,1.2702751
