run,step,t,h,err_est,err_true
0,0,0,0.05,6.1097283e-10,2.1497693e-11
0,1,0.05,0.1,1.9430635e-08,1.3540666e-09
0,2,0.15,0.2,6.1286068e-07,8.2908122e-08
0,3,0.35,0.35511133,1.0309511e-05,2.266051e-06
0,4,0.70511133,0.37313441,1.0341388e-05,3.2064966e-06
0,5,1.0782457,0.34059674,8.4630676e-06,2.157267e-06
0,6,1.4188425,0.34028531,9.147246e-06,2.1702631e-06
0,7,1.7591278,0.34289113,9.1661373e-06,2.036603e-06
0,8,2.1020189,0.3626671,1.0338451e-05,2.357994e-06
0,9,2.464686,0.38599374,1.417929e-05,4.3365827e-06
0,10,2.8506798,0.35995356,1.1882766e-05,3.0689503e-06
0,11,3.2106333,0.33640607,8.5461448e-06,1.9161792e-06
0,12,3.5470394,0.35533828,1.0062845e-05,2.1769071e-06
0,13,3.9023777,0.37686461,1.1340413e-05,3.5213295e-06
0,14,4.2792423,0.33453234,7.923416e-06,1.9568046e-06
0,15,4.6137746,0.33430027,8.3853422e-06,1.9344853e-06
0,16,4.9480749,0.051925096,6.8366957e-10,2.477285e-11
1,0,0,0.05,6.6751626e-10,2.2983837e-11
1,1,0.05,0.1,2.0749085e-08,1.5174466e-09
1,2,0.15,0.2,6.8953378e-07,1.0712875e-07
1,3,0.35,0.3656684,1.5814893e-05,4.5527995e-06
1,4,0.7156684,0.34504738,1.39318e-05,3.4607789e-06
1,5,1.0607158,0.31764912,9.352547e-06,2.0002701e-06
1,6,1.3783649,0.33970958,1.1945265e-05,2.5240974e-06
1,7,1.7180745,0.36203272,1.3015884e-05,3.8528859e-06
1,8,2.0801072,0.32674027,9.9112726e-06,2.4303614e-06
1,9,2.4068475,0.3263991,1.076198e-05,2.468557e-06
1,10,2.7332466,0.32484092,1.0275031e-05,2.197469e-06
1,11,3.0580875,0.34686501,1.2522312e-05,2.6069177e-06
1,12,3.4049525,0.37003116,1.5715039e-05,4.7033157e-06
1,13,3.7749837,0.3123355,8.2987812e-06,1.8931047e-06
1,14,4.0873192,0.31198378,8.6189714e-06,1.852417e-06
1,15,4.3993029,0.3315224,1.1082625e-05,2.3633641e-06
1,16,4.7308254,0.26917465,3.203306e-06,5.7988712e-07
2,0,0,0.05,1.2372792e-10,4.4125259e-12
2,1,0.05,0.1,3.9957965e-09,2.98439e-10
2,2,0.15,0.2,1.3558628e-07,2.093552e-08
2,3,0.35,0.4,4.8058459e-06,1.5133709e-06
2,4,0.75,0.43078882,8.1744074e-06,2.4994922e-06
2,5,1.1807888,0.41649033,6.8079827e-06,1.8012973e-06
2,6,1.5972791,0.42762975,6.3326097e-06,1.8964598e-06
2,7,2.0249089,0.45165014,9.3046296e-06,3.2427224e-06
2,8,2.476559,0.42314026,7.6013806e-06,2.1953566e-06
2,9,2.8996993,0.41903834,6.6832129e-06,1.6987947e-06
2,10,3.3187376,0.4344764,6.2822473e-06,2.3063004e-06
2,11,3.753214,0.44828595,9.6069587e-06,3.1733149e-06
2,12,4.2015,0.41604234,6.9285033e-06,1.8929225e-06
2,13,4.6175423,0.38245767,3.8885021e-06,8.7072353e-07
3,0,0,0.05,5.6596583e-10,2.0422775e-11
3,1,0.05,0.1,1.8483843e-08,1.3535817e-09
3,2,0.15,0.2,6.1431438e-07,9.160436e-08
3,3,0.35,0.34877139,1.0621444e-05,2.73563e-06
3,4,0.69877139,0.32964145,8.4972278e-06,1.9260303e-06
3,5,1.0284128,0.34314989,9.8069578e-06,2.1474752e-06
3,6,1.3715627,0.36374861,1.0886334e-05,2.7577063e-06
3,7,1.7353113,0.34947435,9.8378075e-06,2.6513976e-06
3,8,2.0847857,0.34901939,1.1137043e-05,2.7720452e-06
3,9,2.4338051,0.33339462,8.8554926e-06,1.9618412e-06
3,10,2.7671997,0.35318337,1.0528864e-05,2.2563326e-06
3,11,3.1203831,0.37512274,1.2180439e-05,3.7472462e-06
3,12,3.4955058,0.32935045,7.9994778e-06,1.9398224e-06
3,13,3.8248563,0.32913053,8.4320937e-06,1.9142524e-06
3,14,4.1539868,0.34219215,9.7224479e-06,2.1320652e-06
3,15,4.4961789,0.36270549,1.0871121e-05,2.6723053e-06
3,16,4.8588844,0.14111556,1.0830948e-07,1.1230524e-08
4,0,0,0.05,5.6848448e-10,2.0268454e-11
4,1,0.05,0.1,1.8332374e-08,1.3117263e-09
4,2,0.15,0.2,5.9457085e-07,8.4871511e-08
4,3,0.35,0.32749149,7.1094091e-06,1.6041073e-06
4,4,0.67749149,0.34844453,9.1963978e-06,2.0471963e-06
4,5,1.025936,0.36817891,1.0059974e-05,2.5535839e-06
4,6,1.3941149,0.39250914,1.5078387e-05,4.6127057e-06
4,7,1.7866241,0.3560468,1.0707988e-05,2.695194e-06
4,8,2.1426709,0.34277545,8.7192753e-06,1.960897e-06
4,9,2.4854463,0.36171155,9.9353271e-06,2.1306895e-06
4,10,2.8471579,0.38403603,1.248634e-05,3.8610952e-06
4,11,3.2311939,0.36860334,1.239938e-05,3.3218111e-06
4,12,3.5997972,0.33696988,8.1539009e-06,1.8498276e-06
4,13,3.9367671,0.35497367,9.6362306e-06,2.1125531e-06
4,14,4.2917408,0.37575513,1.0039521e-05,3.1599427e-06
4,15,4.6674959,0.33250408,7.0910144e-06,1.7584336e-06
5,0,0,0.05,5.3742433e-10,1.9559465e-11
5,1,0.05,0.1,1.7710539e-08,1.3178585e-09
5,2,0.15,0.2,5.9860995e-07,9.1837402e-08
5,3,0.35,0.36434641,1.3291444e-05,3.7421379e-06
5,4,0.71434641,0.3447831,1.1523179e-05,2.8212003e-06
5,5,1.0591295,0.33040212,9.2453034e-06,2.0239261e-06
5,6,1.3895316,0.35094375,1.108735e-05,2.3533409e-06
5,7,1.7404754,0.37329368,1.3161075e-05,4.0114146e-06
5,8,2.1137691,0.32392071,8.0966123e-06,1.9261873e-06
5,9,2.4376898,0.32371163,8.5025678e-06,1.8979311e-06
5,10,2.7614014,0.33859413,1.0105077e-05,2.1958055e-06
5,11,3.0999955,0.3595816,1.1441854e-05,2.7670332e-06
5,12,3.4595771,0.38390448,1.6871978e-05,5.0730358e-06
5,13,3.8434816,0.34854586,1.2140279e-05,3.012477e-06
5,14,4.1920275,0.32989536,9.1893737e-06,2.0125341e-06
5,15,4.5219228,0.35037683,1.105349e-05,2.3497365e-06
5,16,4.8722997,0.12770035,6.5221701e-08,6.2009133e-09
6,0,0,0.05,5.182681e-10,1.8800961e-11
6,1,0.05,0.1,1.7020656e-08,1.2588792e-09
6,2,0.15,0.2,5.7163697e-07,8.6773516e-08
6,3,0.35,0.36093469,1.1966804e-05,3.2829774e-06
6,4,0.71093469,0.34193974,1.0156187e-05,2.4365153e-06
