problem,step,t,h,err_est
harmonic,0,0,0.01,1.2820647e-13
harmonic,1,0.01,0.02,4.1026731e-12
harmonic,2,0.03,0.04,1.3128204e-10
harmonic,3,0.07,0.08,4.1995523e-09
harmonic,4,0.15,0.16,1.3412865e-07
harmonic,5,0.31,0.22697822,7.556106e-07
harmonic,6,0.53697822,0.23466652,8.2501368e-07
harmonic,7,0.77164474,0.24397982,8.651342e-07
harmonic,8,1.0156246,0.25562608,1.1184899e-06
harmonic,9,1.2712506,0.24484664,1.0473712e-06
harmonic,10,1.5160973,0.22991976,8.1861957e-07
harmonic,11,1.746017,0.22241295,6.9722135e-07
harmonic,12,1.96843,0.22969875,7.8316813e-07
harmonic,13,2.1981287,0.23809203,8.4555169e-07
harmonic,14,2.4362208,0.24815871,8.6773122e-07
harmonic,15,2.6843795,0.2552238,1.187124e-06
harmonic,16,2.9396033,0.23879454,9.5734785e-07
harmonic,17,3.1783978,0.2248713,7.3897305e-07
harmonic,18,3.4032691,0.225131,7.3240458e-07
harmonic,19,3.6284001,0.23284204,8.1134184e-07
harmonic,20,3.8612422,0.24179027,8.6010178e-07
harmonic,21,4.1030324,0.2528055,1.0137483e-06
harmonic,22,4.3558379,0.24840045,1.0967851e-06
harmonic,23,4.6042384,0.23301073,8.6716473e-07
harmonic,24,4.8372491,0.2208985,6.7603406e-07
harmonic,25,5.0581476,0.22792497,7.6479022e-07
harmonic,26,5.2860726,0.23603912,8.3409215e-07
harmonic,27,5.5221117,0.2456383,8.6723844e-07
harmonic,28,5.76775,0.25780004,1.2006557e-06
harmonic,29,6.0255501,0.24235327,1.0116943e-06
harmonic,30,6.2679033,0.22771738,7.8391727e-07
harmonic,31,6.4956207,0.22356411,7.1256852e-07
harmonic,32,6.7191848,0.23103544,7.9584642e-07
harmonic,33,6.9502203,0.23965498,8.5264745e-07
harmonic,34,7.1898752,0.25010528,9.154657e-07
harmonic,35,7.4399805,0.25219969,1.1477942e-06
harmonic,36,7.6921802,0.23625505,9.1786099e-07
harmonic,37,7.9284353,0.22286508,7.0731351e-07
harmonic,38,8.1513003,0.22629713,7.4639027e-07
harmonic,39,8.3775975,0.2341788,8.215846e-07
harmonic,40,8.6117763,0.2433881,8.6403065e-07
