inst,n,cap,dp,bb,brute
0,8,10,31.0,31.0,31.0
1,8,11,63.0,63.0,63.0
2,8,12,54.0,54.0,54.0
3,8,13,82.0,82.0,82.0
4,8,14,41.0,41.0,41.0
5,8,15,61.0,61.0,61.0
6,8,16,32.0,32.0,32.0
7,8,17,53.0,53.0,53.0
8,8,18,80.0,80.0,80.0
9,8,19,65.0,65.0,65.0
10,8,20,57.0,57.0,57.0
11,8,10,46.0,46.0,46.0
12,8,11,49.0,49.0,49.0
13,8,12,47.0,47.0,47.0
14,8,13,28.0,28.0,28.0
15,8,14,51.0,51.0,51.0
16,8,15,42.0,42.0,42.0
17,8,16,54.0,54.0,54.0
18,8,17,54.0,54.0,54.0
19,8,18,50.0,50.0,50.0
20,8,19,41.0,41.0,41.0
21,8,20,74.0,74.0,74.0
22,8,10,51.0,51.0,51.0
23,8,11,63.0,63.0,63.0
24,8,12,39.0,39.0,39.0
25,8,13,65.0,65.0,65.0
26,8,14,43.0,43.0,43.0
27,8,15,43.0,43.0,43.0
28,8,16,49.0,49.0,49.0
29,8,17,76.0,76.0,76.0
