inst,n,w_prim,w_kruskal,diff
0,8,52.983344,52.983344,0.000e+00
1,9,31.516806,31.516806,0.000e+00
2,10,55.923978,55.923978,0.000e+00
3,11,41.418328,41.418328,7.105e-15
4,12,66.128793,66.128793,0.000e+00
5,8,59.730767,59.730767,-7.105e-15
6,9,43.521894,43.521894,0.000e+00
7,10,48.54417,48.54417,7.105e-15
8,11,61.252044,61.252044,0.000e+00
9,12,58.209303,58.209303,0.000e+00
10,8,30.247805,30.247805,3.553e-15
11,9,48.214563,48.214563,0.000e+00
12,10,56.093057,56.093057,0.000e+00
13,11,45.558823,45.558823,0.000e+00
14,12,49.820727,49.820727,1.421e-14
15,8,29.879485,29.879485,0.000e+00
16,9,63.33385,63.33385,0.000e+00
17,10,52.797174,52.797174,0.000e+00
18,11,64.164377,64.164377,0.000e+00
19,12,62.046124,62.046124,1.421e-14
20,8,47.788975,47.788975,0.000e+00
21,9,44.08335,44.08335,7.105e-15
22,10,50.12468,50.12468,0.000e+00
23,11,67.697382,67.697382,0.000e+00
24,12,62.012282,62.012282,0.000e+00
25,8,28.184213,28.184213,0.000e+00
26,9,33.643195,33.643195,0.000e+00
27,10,32.023115,32.023115,0.000e+00
28,11,60.796819,60.796819,0.000e+00
29,12,49.637913,49.637913,0.000e+00
