inst,start,L0,L_final,improve_pct,basin_id
0,0,6.186863,3.091571,50.0301,0
0,1,5.633857,3.023319,46.3366,1
0,2,6.172007,3.023319,51.0156,1
0,3,4.353386,3.091571,28.9847,0
0,4,5.236752,3.023319,42.2673,1
0,5,5.796980,3.137522,45.8766,2
0,6,5.075234,3.023319,40.4300,1
0,7,4.992714,3.141234,37.0836,3
0,8,5.822428,3.141234,46.0494,3
0,9,5.439396,3.023319,44.4181,1
0,10,6.793679,3.023319,55.4981,1
0,11,5.190670,3.039691,41.4393,4
0,12,5.430324,3.023319,44.3253,1
0,13,5.338815,3.091571,42.0926,0
0,14,5.951409,3.091571,48.0531,0
0,15,5.831283,3.023319,48.1534,1
0,16,5.368936,3.091571,42.4174,0
0,17,5.974162,3.023319,49.3934,1
0,18,5.157813,3.023319,41.3837,1
0,19,6.087892,3.023319,50.3388,1
0,20,5.793287,3.023319,47.8134,1
0,21,4.307744,3.137522,27.1656,2
0,22,5.259527,3.039691,42.2060,4
0,23,5.149115,3.039691,40.9667,4
0,24,4.720744,3.039691,35.6099,4
0,25,5.828790,3.023319,48.1313,1
0,26,5.563451,3.141234,43.5380,3
0,27,5.147597,3.023319,41.2674,1
0,28,5.300497,3.091571,41.6739,0
0,29,4.875575,3.039691,37.6547,4
0,30,5.631356,3.091571,45.1008,0
0,31,6.089834,3.023319,50.3547,1
0,32,5.458278,3.091571,43.3599,0
0,33,5.376947,3.091571,42.5032,0
0,34,5.951409,3.023319,49.1999,1
0,35,6.744350,3.091571,54.1606,0
0,36,4.370935,3.023319,30.8313,1
0,37,5.799194,3.023319,47.8666,1
0,38,5.023390,3.023319,39.8152,1
0,39,5.391686,3.039691,43.6226,4
0,40,6.466509,3.141234,51.4230,3
0,41,5.205985,3.023319,41.9261,1
0,42,6.223479,3.023319,51.4208,1
0,43,4.983820,3.039691,39.0088,4
0,44,6.347507,3.023319,52.3700,1
0,45,5.344335,3.023319,43.4295,1
0,46,6.288491,3.023319,51.9230,1
0,47,5.167613,3.141234,39.2131,3
0,48,4.944715,3.137522,36.5480,2
0,49,5.119725,3.091571,39.6145,0
0,50,5.990604,3.141234,47.5640,3
0,51,4.973792,3.023319,39.2150,1
0,52,5.655264,3.039691,46.2502,4
0,53,6.409440,3.023319,52.8302,1
0,54,5.305084,3.023319,43.0109,1
0,55,4.778301,3.023319,36.7282,1
0,56,5.056422,3.023319,40.2083,1
0,57,4.979887,3.091571,37.9188,0
0,58,5.516146,3.141234,43.0538,3
0,59,5.366324,3.023319,43.6613,1
0,60,5.613327,3.039691,45.8487,4
0,61,5.671502,3.023319,46.6928,1
0,62,4.853941,3.023319,37.7141,1
0,63,6.094466,3.137522,48.5185,2
0,64,6.328005,3.023319,52.2232,1
0,65,5.252752,3.023319,42.4431,1
0,66,5.515102,3.023319,45.1811,1
0,67,4.963417,3.091571,37.7128,0
0,68,4.881884,3.091571,36.6726,0
0,69,5.574718,3.023319,45.7673,1
0,70,5.649299,3.091571,45.2751,0
0,71,4.681579,3.141234,32.9023,3
0,72,5.205982,3.137522,39.7324,2
0,73,4.748241,3.039691,35.9828,4
0,74,6.374683,3.023319,52.5730,1
0,75,5.503396,3.023319,45.0645,1
0,76,5.875852,3.137522,46.6031,2
0,77,5.414870,3.039691,43.8640,4
0,78,5.873929,3.023319,48.5299,1
0,79,6.178979,3.091571,49.9663,0
0,80,4.896882,3.023319,38.2603,1
0,81,5.742977,3.039691,47.0712,4
0,82,4.934332,3.023319,38.7289,1
0,83,5.576076,3.023319,45.7805,1
0,84,4.291760,3.141234,26.8078,3
0,85,5.818807,3.023319,48.0423,1
0,86,5.673578,3.137522,44.6994,2
0,87,5.502612,3.091571,43.8163,0
0,88,5.431064,3.091571,43.0761,0
0,89,4.443638,3.023319,31.9630,1
0,90,4.816259,3.023319,37.2268,1
0,91,6.150377,3.091571,49.7336,0
0,92,5.506075,3.023319,45.0912,1
0,93,5.455227,3.023319,44.5794,1
0,94,5.318213,3.023319,43.1516,1
0,95,5.911234,3.091571,47.7001,0
0,96,5.315712,3.039691,42.8169,4
0,97,5.474800,3.091571,43.5309,0
0,98,5.104511,3.091571,39.4345,0
0,99,4.430688,3.141234,29.1028,3
0,100,5.340052,3.091571,42.1060,0
0,101,4.762824,3.091571,35.0895,0
0,102,5.067475,3.023319,40.3387,1
0,103,6.085054,3.137522,48.4389,2
0,104,5.635489,3.091571,45.1410,0
0,105,5.818294,3.023319,48.0377,1
0,106,6.059827,3.023319,50.1088,1
0,107,5.772365,3.137522,45.6458,2
0,108,5.635257,3.023319,46.3499,1
0,109,6.238675,3.023319,51.5391,1
0,110,5.365636,3.091571,42.3820,0
0,111,5.239817,3.091571,40.9985,0
0,112,5.600293,3.141234,43.9095,3
0,113,6.698264,3.023319,54.8641,1
0,114,4.618309,3.091571,33.0584,0
0,115,5.654712,3.091571,45.3275,0
0,116,5.545930,3.023319,45.4858,1
0,117,6.704910,3.023319,54.9089,1
0,118,5.108826,3.039691,40.5012,4
0,119,5.962225,3.039691,49.0175,4
0,120,4.507231,3.141234,30.3068,3
0,121,5.451989,3.039691,44.2462,4
0,122,6.306282,3.023319,52.0586,1
0,123,4.661233,3.023319,35.1391,1
0,124,5.128613,3.023319,41.0500,1
0,125,5.847684,3.023319,48.2989,1
0,126,5.176992,3.023319,41.6009,1
0,127,5.750439,3.141234,45.3740,3
0,128,6.632377,3.039691,54.1689,4
0,129,6.005872,3.023319,49.6606,1
0,130,5.226235,3.023319,42.1511,1
0,131,5.163409,3.091571,40.1254,0
0,132,5.867631,3.039691,48.1956,4
0,133,5.866020,3.023319,48.4605,1
0,134,5.748330,3.023319,47.4053,1
0,135,4.527728,3.091571,31.7191,0
0,136,6.000103,3.091571,48.4747,0
0,137,5.209629,3.023319,41.9667,1
0,138,5.018996,3.039691,39.4363,4
0,139,5.481351,3.023319,44.8435,1
0,140,4.164556,3.091571,25.7647,0
0,141,4.741724,3.023319,36.2401,1
0,142,6.237378,3.023319,51.5290,1
0,143,4.415610,3.039691,31.1604,4
0,144,5.699784,3.023319,46.9573,1
0,145,6.520868,3.023319,53.6362,1
0,146,5.014823,3.091571,38.3513,0
0,147,5.941723,3.023319,49.1171,1
0,148,6.072377,3.023319,50.2119,1
0,149,6.471678,3.023319,53.2838,1
1,0,8.450990,3.094523,63.3827,0
1,1,8.631398,3.094523,64.1481,0
1,2,8.568337,3.094523,63.8842,0
1,3,8.490046,3.195232,62.3650,1
1,4,8.571483,3.094523,63.8975,0
1,5,8.288974,3.195232,61.4520,1
1,6,7.997102,3.094523,61.3044,0
1,7,4.191020,3.094523,26.1630,0
1,8,7.996363,3.195232,60.0414,1
1,9,6.611127,3.094523,53.1922,0
1,10,6.074863,3.094523,49.0602,0
1,11,6.140102,3.094523,49.6014,0
1,12,7.862158,3.094523,60.6403,0
1,13,6.731471,3.195232,52.5329,1
1,14,6.765606,3.094523,54.2610,0
1,15,8.387855,3.094523,63.1071,0
1,16,7.997530,3.094523,61.3065,0
1,17,9.040529,3.094523,65.7706,0
1,18,7.976898,3.195232,59.9439,1
1,19,8.886972,3.094523,65.1791,0
1,20,8.176334,3.094523,62.1527,0
1,21,6.954577,3.094523,55.5038,0
1,22,7.343506,3.195232,56.4890,1
1,23,7.877727,3.195232,59.4397,1
1,24,7.403833,3.094523,58.2038,0
1,25,5.800597,3.094523,46.6517,0
1,26,6.113715,3.094523,49.3839,0
1,27,7.955509,3.195232,59.8362,1
1,28,8.549766,3.195232,62.6278,1
1,29,7.523072,3.094523,58.8662,0
1,30,8.696644,3.195232,63.2590,1
1,31,6.601073,3.094523,53.1209,0
1,32,7.680025,3.094523,59.7069,0
1,33,8.390349,3.094523,63.1181,0
1,34,9.326369,3.195232,65.7398,1
1,35,6.909685,3.094523,55.2147,0
1,36,7.772891,3.195232,58.8926,1
1,37,9.103804,3.094523,66.0085,0
1,38,10.092018,3.094523,69.3369,0
1,39,7.924041,3.195232,59.6767,1
1,40,6.182732,3.195232,48.3201,1
1,41,9.062612,3.094523,65.8540,0
1,42,7.657631,3.094523,59.5890,0
1,43,6.744999,3.094523,54.1212,0
1,44,6.920815,3.094523,55.2867,0
1,45,7.241796,3.094523,57.2686,0
1,46,7.721709,3.094523,59.9244,0
1,47,8.956044,3.195232,64.3232,1
1,48,7.461974,3.094523,58.5294,0
1,49,7.286323,3.094523,57.5297,0
1,50,7.894948,3.094523,60.8038,0
1,51,8.394074,3.094523,63.1344,0
1,52,8.288562,3.195232,61.4501,1
1,53,8.811685,3.195232,63.7387,1
1,54,5.861386,3.094523,47.2049,0
1,55,9.059768,3.094523,65.8432,0
1,56,6.721869,3.094523,53.9634,0
1,57,8.103927,3.094523,61.8145,0
1,58,7.271562,3.094523,57.4435,0
1,59,6.233713,3.094523,50.3583,0
1,60,5.772752,3.094523,46.3943,0
1,61,8.432202,3.094523,63.3011,0
1,62,9.312020,3.094523,66.7685,0
1,63,6.400161,3.094523,51.6493,0
1,64,8.773588,3.094523,64.7291,0
1,65,6.229379,3.195232,48.7071,1
1,66,6.728552,3.094523,54.0091,0
1,67,6.472346,3.094523,52.1885,0
1,68,6.626321,3.094523,53.2995,0
1,69,7.774409,3.094523,60.1960,0
1,70,6.582798,3.094523,52.9908,0
1,71,7.345889,3.094523,57.8741,0
1,72,8.091553,3.094523,61.7561,0
1,73,7.017761,3.094523,55.9044,0
1,74,7.153867,3.094523,56.7434,0
1,75,8.109303,3.094523,61.8398,0
1,76,6.299881,3.094523,50.8797,0
1,77,7.082750,3.195232,54.8871,1
1,78,8.264543,3.195232,61.3381,1
1,79,9.420618,3.094523,67.1516,0
1,80,8.582593,3.094523,63.9442,0
1,81,6.421402,3.094523,51.8092,0
1,82,5.188211,3.094523,40.3547,0
1,83,7.826600,3.094523,60.4615,0
1,84,7.969751,3.195232,59.9080,1
1,85,5.683479,3.094523,45.5523,0
1,86,6.674420,3.094523,53.6361,0
1,87,6.087087,3.195232,47.5080,1
1,88,6.904388,3.195232,53.7217,1
1,89,8.153825,3.094523,62.0482,0
1,90,6.992548,3.195232,54.3052,1
1,91,6.024722,3.094523,48.6363,0
1,92,6.839963,3.094523,54.7582,0
1,93,7.824778,3.094523,60.4523,0
1,94,7.563878,3.094523,59.0881,0
1,95,7.597217,3.094523,59.2677,0
1,96,8.698712,3.094523,64.4255,0
1,97,7.804448,3.195232,59.0588,1
1,98,6.652751,3.094523,53.4851,0
1,99,7.536228,3.094523,58.9380,0
1,100,7.057406,3.094523,56.1521,0
1,101,7.287166,3.195232,56.1526,1
1,102,6.189828,3.195232,48.3793,1
1,103,8.219474,3.094523,62.3513,0
1,104,5.284464,3.094523,41.4411,0
1,105,6.142253,3.094523,49.6191,0
1,106,7.850073,3.094523,60.5797,0
1,107,6.927016,3.094523,55.3268,0
1,108,8.233500,3.094523,62.4155,0
1,109,7.366540,3.094523,57.9922,0
1,110,7.693788,3.094523,59.7789,0
1,111,6.930507,3.094523,55.3493,0
1,112,8.183202,3.094523,62.1844,0
1,113,7.699985,3.195232,58.5034,1
1,114,6.893845,3.094523,55.1118,0
1,115,7.379532,3.094523,58.0661,0
1,116,6.573330,3.094523,52.9231,0
1,117,6.835569,3.094523,54.7291,0
1,118,8.588531,3.195232,62.7965,1
1,119,8.523106,3.094523,63.6925,0
1,120,6.636140,3.094523,53.3686,0
1,121,5.000634,3.094523,38.1174,0
1,122,7.779111,3.094523,60.2201,0
1,123,7.957360,3.094523,61.1112,0
1,124,7.008687,3.195232,54.4104,1
1,125,6.063317,3.195232,47.3022,1
1,126,6.071540,3.094523,49.0323,0
1,127,7.677058,3.094523,59.6913,0
1,128,7.120682,3.094523,56.5418,0
1,129,7.517568,3.094523,58.8361,0
1,130,7.982107,3.094523,61.2318,0
1,131,7.942233,3.094523,61.0371,0
1,132,7.818378,3.094523,60.4199,0
1,133,6.348926,3.094523,51.2591,0
1,134,8.046373,3.094523,61.5414,0
1,135,7.428362,3.094523,58.3418,0
1,136,5.869115,3.195232,45.5585,1
1,137,5.763087,3.094523,46.3044,0
1,138,9.519720,3.094523,67.4936,0
1,139,7.736072,3.094523,59.9988,0
1,140,6.497234,3.195232,50.8217,1
1,141,6.809017,3.094523,54.5526,0
1,142,6.729217,3.094523,54.0136,0
1,143,6.480493,3.195232,50.6946,1
1,144,7.298016,3.094523,57.5977,0
1,145,7.921848,3.094523,60.9369,0
1,146,8.118738,3.195232,60.6437,1
1,147,7.349399,3.094523,57.8942,0
1,148,6.226735,3.094523,50.3026,0
1,149,3.945681,3.094523,21.5719,0
2,0,5.756394,3.256438,43.4292,0
2,1,5.706957,3.324319,41.7497,1
2,2,6.226973,3.256438,47.7043,0
2,3,5.235928,3.240576,38.1089,2
2,4,7.589673,3.256438,57.0938,0
2,5,6.413549,3.240576,49.4730,2
2,6,6.630262,3.240576,51.1245,2
2,7,7.399530,3.256438,55.9913,0
2,8,7.125359,3.240576,54.5205,2
2,9,7.656354,3.256438,57.4675,0
2,10,6.386812,3.240576,49.2614,2
2,11,6.717985,3.240576,51.7627,2
2,12,6.833762,3.240576,52.5799,2
2,13,6.866693,3.240576,52.8073,2
2,14,6.855209,3.240576,52.7283,2
2,15,5.594571,3.314944,40.7471,3
2,16,6.841533,3.256438,52.4019,0
2,17,6.928335,3.256438,52.9983,0
2,18,6.709915,3.240576,51.7047,2
2,19,5.874328,3.240576,44.8349,2
2,20,6.799548,3.256438,52.1080,0
2,21,6.165755,3.256438,47.1851,0
2,22,6.419068,3.240576,49.5164,2
2,23,7.078439,3.240576,54.2191,2
2,24,7.292343,3.240576,55.5619,2
2,25,5.982181,3.256438,45.5644,0
2,26,7.125598,3.240576,54.5220,2
2,27,4.939874,3.240576,34.3996,2
2,28,6.477756,3.240576,49.9738,2
2,29,5.081955,3.240576,36.2337,2
2,30,6.885062,3.240576,52.9332,2
2,31,6.251903,3.256438,47.9129,0
2,32,6.780229,3.324319,50.9704,1
2,33,6.841945,3.240576,52.6366,2
2,34,6.123526,3.256438,46.8209,0
2,35,5.753167,3.314944,42.3805,3
2,36,7.062084,3.240576,54.1130,2
2,37,5.969583,3.256438,45.4495,0
2,38,5.873026,3.240576,44.8227,2
2,39,6.863157,3.240576,52.7830,2
2,40,6.598644,3.240576,50.8903,2
2,41,6.006972,3.256438,45.7890,0
2,42,5.805568,3.256438,43.9084,0
2,43,6.215794,3.314944,46.6690,3
2,44,6.197377,3.240576,47.7105,2
2,45,6.428860,3.256438,49.3466,0
2,46,6.676266,3.240576,51.4612,2
2,47,6.999522,3.256438,53.4763,0
2,48,5.901247,3.240576,45.0866,2
2,49,6.432504,3.240576,49.6219,2
2,50,6.259886,3.256438,47.9793,0
2,51,5.696061,3.240576,43.1085,2
2,52,4.982127,3.240576,34.9560,2
2,53,6.792447,3.240576,52.2915,2
2,54,6.905707,3.240576,53.0739,2
2,55,6.044425,3.256438,46.1249,0
2,56,5.879098,3.240576,44.8797,2
2,57,6.365825,3.256438,48.8450,0
2,58,5.592238,3.240576,42.0522,2
2,59,6.086884,3.240576,46.7613,2
2,60,6.219494,3.240576,47.8965,2
2,61,6.299189,3.240576,48.5557,2
2,62,6.367899,3.256438,48.8617,0
2,63,5.484621,3.240576,40.9152,2
2,64,5.867942,3.240576,44.7749,2
2,65,5.542053,3.256438,41.2413,0
2,66,6.453793,3.240576,49.7880,2
2,67,6.079909,3.240576,46.7003,2
2,68,6.690342,3.240576,51.5634,2
2,69,6.154131,3.240576,47.3431,2
2,70,6.432157,3.240576,49.6191,2
2,71,6.943203,3.240576,53.3274,2
2,72,7.040965,3.240576,53.9754,2
2,73,8.173159,3.240576,60.3510,2
2,74,6.238569,3.324319,46.7134,1
2,75,6.597027,3.240576,50.8782,2
2,76,6.482468,3.240576,50.0101,2
2,77,5.974913,3.240576,45.7636,2
2,78,6.600291,3.314944,49.7758,3
2,79,4.934279,3.240576,34.3252,2
2,80,6.237785,3.256438,47.7950,0
2,81,6.736434,3.240576,51.8948,2
2,82,6.369219,3.240576,49.1213,2
2,83,6.711836,3.240576,51.7185,2
2,84,5.982698,3.240576,45.8342,2
2,85,5.389148,3.240576,39.8685,2
2,86,6.833934,3.256438,52.3490,0
2,87,5.897199,3.240576,45.0489,2
2,88,6.528165,3.324319,49.0773,1
2,89,7.216060,3.240576,55.0922,2
2,90,5.848532,3.240576,44.5916,2
2,91,6.377479,3.240576,49.1872,2
2,92,6.518778,3.240576,50.2886,2
2,93,6.510284,3.240576,50.2237,2
2,94,6.576750,3.256438,50.4856,0
2,95,5.830603,3.256438,44.1492,0
2,96,6.813731,3.240576,52.4405,2
2,97,6.537644,3.240576,50.4321,2
2,98,6.547514,3.256438,50.2645,0
2,99,6.461652,3.256438,49.6036,0
2,100,6.030497,3.240576,46.2635,2
2,101,6.070635,3.240576,46.6188,2
2,102,6.341863,3.240576,48.9018,2
2,103,7.101898,3.240576,54.3703,2
2,104,6.008930,3.256438,45.8067,0
2,105,6.336555,3.240576,48.8590,2
2,106,6.233263,3.240576,48.0116,2
2,107,5.580102,3.240576,41.9262,2
2,108,6.537759,3.256438,50.1903,0
2,109,6.024680,3.256438,45.9484,0
2,110,5.608710,3.240576,42.2224,2
2,111,6.048286,3.240576,46.4216,2
2,112,6.996799,3.240576,53.6849,2
2,113,7.262662,3.240576,55.3803,2
2,114,6.224012,3.240576,47.9343,2
2,115,6.174918,3.324319,46.1642,1
2,116,6.071458,3.240576,46.6261,2
2,117,6.942624,3.324319,52.1172,1
2,118,7.017710,3.256438,53.5969,0
2,119,6.762654,3.240576,52.0813,2
2,120,5.522006,3.314944,39.9685,3
2,121,6.508703,3.240576,50.2116,2
2,122,6.203984,3.240576,47.7662,2
2,123,6.706641,3.240576,51.6811,2
2,124,6.599431,3.240576,50.8961,2
2,125,7.035798,3.256438,53.7162,0
2,126,5.728666,3.314944,42.1341,3
2,127,7.424477,3.240576,56.3528,2
2,128,6.844961,3.240576,52.6575,2
2,129,6.210661,3.256438,47.5670,0
2,130,5.089896,3.256438,36.0215,0
2,131,6.992813,3.240576,53.6585,2
2,132,4.938771,3.240576,34.3850,2
2,133,5.127226,3.240576,36.7967,2
2,134,7.504736,3.240576,56.8196,2
2,135,6.112769,3.240576,46.9868,2
