inst,nn,nn_2opt,random,improve_pct
0,3.430347,3.430347,5.171932,0.0000
1,3.419861,3.378366,5.045500,1.2134
2,4.250264,3.861693,6.464079,9.1423
3,3.454010,3.454010,6.550592,0.0000
4,3.388444,3.388444,5.212263,0.0000
5,3.579862,3.491967,6.126109,2.4553
6,3.825552,3.451681,5.767196,9.7730
7,3.033539,3.033539,6.185030,0.0000
8,3.113572,3.036517,5.600238,2.4748
9,3.609884,3.444358,6.229544,4.5853
10,3.059677,2.989884,5.245294,2.2810
11,3.545069,3.545069,5.316919,0.0000
12,3.450874,3.362607,6.703058,2.5578
13,2.807642,2.677589,4.879843,4.6321
14,3.636170,3.634901,6.178772,0.0349
15,2.949930,2.949930,5.294558,0.0000
16,3.318648,3.311870,4.484437,0.2042
17,3.597862,3.597862,5.420977,0.0000
18,3.654408,3.637171,5.520204,0.4717
19,3.449785,3.449785,6.341186,0.0000
20,3.483695,3.282581,5.580501,5.7730
21,3.366724,3.366724,5.688606,0.0000
22,4.144197,3.864038,5.936703,6.7603
23,3.236875,3.236875,5.296886,0.0000
24,3.399597,3.399597,6.321293,0.0000
25,3.832434,3.832434,5.983766,0.0000
26,4.062193,3.677070,6.354188,9.4806
27,3.947595,3.692726,6.207218,6.4563
28,2.899606,2.899606,4.804064,0.0000
29,3.109888,3.079631,5.858811,0.9729
30,3.807295,3.775875,6.091415,0.8253
31,3.002169,3.002169,5.736046,0.0000
32,3.647745,3.647745,6.127091,0.0000
33,3.920189,3.552631,5.276249,9.3760
34,2.955263,2.920040,5.136005,1.1919
35,3.018655,3.018655,5.696252,0.0000
36,3.211412,3.211412,6.594485,0.0000
37,3.636305,3.425127,5.320269,5.8075
38,4.272621,4.138506,7.279502,3.1389
39,3.462922,3.437816,5.495020,0.7250
