inst,n,hk,nn,nn_2opt,rand,gap_nn,gap_2opt,gap_rand
0,12,2.674408,2.674408,2.674408,4.365145,0.0000,0.0000,63.2191
1,12,3.056359,3.056359,3.056359,5.322705,0.0000,0.0000,74.1519
2,12,3.081339,3.081339,3.081339,4.965061,0.0000,0.0000,61.1332
3,12,2.891119,2.891119,2.891119,5.287446,0.0000,0.0000,82.8858
4,12,3.256655,3.256655,3.256655,5.682392,0.0000,0.0000,74.4856
5,12,3.672689,3.672689,3.672689,5.449564,0.0000,-0.0000,48.3808
6,12,3.029706,3.254472,3.029706,4.430176,7.4188,-0.0000,46.2246
7,12,2.944398,2.944398,2.944398,4.873422,0.0000,0.0000,65.5150
8,12,3.001727,3.129902,3.001727,4.350605,4.2701,-0.0000,44.9368
9,12,3.434811,3.455634,3.434811,5.716807,0.6062,-0.0000,66.4373
10,12,2.886500,3.163256,2.886500,4.190386,9.5880,0.0000,45.1719
11,12,2.897348,2.897348,2.897348,4.929105,0.0000,0.0000,70.1247
