rep,th0,se0,hit0,th1,se1,hit1,hit_all
0,1.942695,0.043647,1,0.798764,0.027663,1,1
1,2.048158,0.041088,1,0.819207,0.025264,1,1
2,1.981414,0.041559,1,0.799067,0.025834,1,1
3,1.904621,0.045708,0,0.785313,0.029109,1,0
4,1.979099,0.047685,1,0.826922,0.030602,1,1
5,2.097259,0.046122,0,0.834833,0.028173,1,0
6,2.034417,0.046627,1,0.782063,0.027699,1,1
7,1.998344,0.037350,1,0.789125,0.022767,1,1
8,2.073712,0.041189,1,0.869925,0.026426,0,0
9,1.974578,0.047037,1,0.770781,0.028427,1,1
10,2.001523,0.045464,1,0.778643,0.027347,1,1
11,2.013879,0.039072,1,0.828039,0.024671,1,1
12,2.020210,0.044549,1,0.782511,0.026664,1,1
13,1.981644,0.051659,1,0.784131,0.031579,1,1
14,1.934975,0.049349,1,0.782217,0.030828,1,1
15,2.000894,0.045947,1,0.809877,0.028624,1,1
16,2.038984,0.048441,1,0.825845,0.030138,1,1
17,1.944112,0.043264,1,0.757397,0.026158,1,1
18,2.085531,0.045704,1,0.847509,0.028464,1,1
19,2.016091,0.047781,1,0.797828,0.029150,1,1
20,2.018843,0.044927,1,0.794281,0.027264,1,1
21,1.924392,0.043901,1,0.823038,0.028851,1,1
22,1.956508,0.037790,1,0.731316,0.022038,0,0
23,2.050503,0.047888,1,0.836126,0.029961,1,1
24,1.975511,0.047942,1,0.798180,0.029861,1,1
25,2.020203,0.047030,1,0.831823,0.029726,1,1
26,1.967895,0.042394,1,0.823752,0.027266,1,1
27,2.021424,0.049670,1,0.809829,0.030627,1,1
28,1.964684,0.039660,1,0.821168,0.025477,1,1
29,1.940336,0.049356,1,0.781144,0.030711,1,1
30,1.996991,0.055345,1,0.807706,0.034463,1,1
31,2.019949,0.039340,1,0.784209,0.023594,1,1
32,2.001642,0.049244,1,0.834837,0.031517,1,1
33,1.968086,0.040840,1,0.801732,0.025635,1,1
34,1.895086,0.039153,0,0.795114,0.025336,1,0
35,2.026994,0.045653,1,0.787427,0.027383,1,1
36,1.989801,0.051088,1,0.812171,0.032085,1,1
37,2.036984,0.044634,1,0.822076,0.027682,1,1
38,1.927506,0.033889,0,0.774426,0.021067,1,0
39,2.016913,0.037924,1,0.811904,0.023491,1,1
40,2.095229,0.052033,1,0.810029,0.030961,1,1
41,1.990037,0.044613,1,0.761965,0.026488,1,1
