rep,lm_conv,lm_rec,lm_ok,bfgs_conv,bfgs_rec,bfgs_ok,rss_lm,rss_bfgs
0,1,1,1,1,1,1,0.0523967,0.0523967
1,1,1,1,1,1,1,0.0443277,0.0443277
2,1,1,1,1,1,1,0.034274,0.034274
3,1,1,1,1,1,1,0.0343077,0.0343077
4,1,1,1,1,1,1,0.0418033,0.0418033
5,1,1,1,1,1,1,0.0394215,0.0394215
6,1,1,1,1,1,1,0.0305419,0.0305419
7,1,1,1,1,1,1,0.0254238,0.0254238
8,1,1,1,1,1,1,0.0454133,0.0454133
9,1,1,1,1,1,1,0.0361899,0.0361899
10,1,1,1,1,1,1,0.0487294,0.0487294
11,1,1,1,1,1,1,0.0297124,0.0297124
12,1,1,1,1,1,1,0.0487908,0.0487908
13,1,1,1,1,1,1,0.0207494,0.0207494
14,1,1,1,1,1,1,0.0307568,0.0307568
15,1,1,1,1,1,1,0.0226849,0.0226849
16,1,1,1,1,1,1,0.0419115,0.0419115
17,1,1,1,1,1,1,0.0306233,0.0306233
18,1,1,1,1,1,1,0.0563542,0.0563542
19,1,1,1,1,1,1,0.0491456,0.0491456
20,1,1,1,1,1,1,0.0398465,0.0398465
21,1,1,1,1,1,1,0.034426,0.034426
22,1,1,1,1,1,1,0.0310173,0.0310173
23,1,1,1,1,1,1,0.0328364,0.0328364
24,1,1,1,1,1,1,0.049224,0.049224
25,1,1,1,1,1,1,0.0456583,0.0456583
26,1,1,1,1,1,1,0.0386587,0.0386587
27,1,1,1,1,1,1,0.0555526,0.0555526
28,1,1,1,1,1,1,0.0570598,0.0570598
29,1,1,1,1,1,1,0.0693359,0.0693359
