algo,func,dim,ckpt_evals,n_runs,mean_best_f,median_best_f,mean_evals_actual
SA,sphere,5,100,60,6.64482,6.69215,100.0
SA,sphere,5,200,60,4.17342,3.85847,200.0
SA,sphere,5,300,60,3.2906,3.17774,300.0
SA,sphere,5,400,60,2.74178,2.54953,400.0
SA,sphere,5,500,60,2.14929,2.09355,500.0
SA,sphere,5,600,60,1.8518,1.69639,600.0
SA,sphere,5,700,60,1.78583,1.53777,700.0
SA,sphere,5,800,60,1.71214,1.50673,800.0
SA,sphere,5,900,60,1.68539,1.50673,900.0
SA,rosenbrock,5,100,60,214.501,179.046,100.0
SA,rosenbrock,5,200,60,119.094,105.508,200.0
SA,rosenbrock,5,300,60,78.547,73.4306,300.0
SA,rosenbrock,5,400,60,63.7821,62.7764,400.0
SA,rosenbrock,5,500,60,58.2852,59.3922,500.0
SA,rosenbrock,5,600,60,53.4612,44.7056,600.0
SA,rosenbrock,5,700,60,52.8842,44.7056,700.0
SA,rosenbrock,5,800,60,52.7219,42.1993,800.0
SA,rosenbrock,5,900,60,52.3937,42.1993,900.0
SA,rastrigin,5,100,60,46.4294,46.5165,100.0
SA,rastrigin,5,200,60,37.7633,38.07,200.0
SA,rastrigin,5,300,60,32.4424,33.1475,300.0
SA,rastrigin,5,400,60,29.7837,31.1501,400.0
SA,rastrigin,5,500,60,26.3906,26.7303,500.0
SA,rastrigin,5,600,60,23.7697,23.6972,600.0
SA,rastrigin,5,700,60,21.4389,21.8615,700.0
SA,rastrigin,5,800,60,20.7099,21.4526,800.0
SA,rastrigin,5,900,60,20.3697,21.4526,900.0
SA,griewank,5,100,60,0.315223,0.289986,100.0
SA,griewank,5,200,60,0.261144,0.250332,200.0
SA,griewank,5,300,60,0.215564,0.197369,300.0
SA,griewank,5,400,60,0.151967,0.159355,400.0
SA,griewank,5,500,60,0.115072,0.10614,500.0
SA,griewank,5,600,60,0.0964783,0.0857229,600.0
SA,griewank,5,700,60,0.0889079,0.0800264,700.0
SA,griewank,5,800,60,0.0851511,0.0755175,800.0
SA,griewank,5,900,60,0.0835417,0.0750336,900.0
SA,ackley,5,100,60,6.58463,6.5738,100.0
SA,ackley,5,200,60,5.66921,5.69535,200.0
SA,ackley,5,300,60,4.66358,4.7149,300.0
SA,ackley,5,400,60,3.94825,3.72007,400.0
SA,ackley,5,500,60,3.12936,3.00354,500.0
SA,ackley,5,600,60,2.28064,2.18146,600.0
SA,ackley,5,700,60,1.67329,0.530841,700.0
SA,ackley,5,800,60,1.45551,0.215049,800.0
SA,ackley,5,900,60,1.30281,0.126173,900.0
GA,sphere,5,100,60,0.887624,0.831217,100.0
GA,sphere,5,200,60,0.152904,0.120653,200.0
GA,sphere,5,300,60,0.0456819,0.0322996,300.0
GA,sphere,5,400,60,0.0183904,0.0152056,400.0
GA,sphere,5,500,60,0.00932724,0.00664155,500.0
GA,sphere,5,600,60,0.00507451,0.00407176,600.0
GA,sphere,5,700,60,0.00326982,0.00235227,700.0
GA,sphere,5,800,60,0.0023907,0.0019164,800.0
GA,sphere,5,900,60,0.00190687,0.00144146,900.0
GA,rosenbrock,5,100,60,21.1649,20.0642,100.0
GA,rosenbrock,5,200,60,6.40723,5.70292,200.0
GA,rosenbrock,5,300,60,4.54044,4.35345,300.0
GA,rosenbrock,5,400,60,3.84194,3.78882,400.0
GA,rosenbrock,5,500,60,3.55751,3.57172,500.0
GA,rosenbrock,5,600,60,3.41123,3.38606,600.0
GA,rosenbrock,5,700,60,3.3006,3.35467,700.0
GA,rosenbrock,5,800,60,3.21699,3.24567,800.0
GA,rosenbrock,5,900,60,3.15889,3.17049,900.0
GA,rastrigin,5,100,60,23.9928,24.4451,100.0
GA,rastrigin,5,200,60,16.94,17.203,200.0
GA,rastrigin,5,300,60,13.2635,13.0246,300.0
GA,rastrigin,5,400,60,10.2672,9.655,400.0
GA,rastrigin,5,500,60,8.45695,8.03726,500.0
GA,rastrigin,5,600,60,6.84957,6.45478,600.0
GA,rastrigin,5,700,60,6.07435,5.32007,700.0
