func,F,CR,n_run,success_rate,mean_best_f
sphere,0.30,0.20,30,0.100,0.000798726
sphere,0.30,0.40,30,0.400,0.000211031
sphere,0.30,0.60,30,0.633,0.00561508
sphere,0.30,0.80,30,0.167,0.0287577
sphere,0.30,0.95,30,0.000,0.267731
sphere,0.50,0.20,30,0.000,0.00258725
sphere,0.50,0.40,30,0.000,0.000952682
sphere,0.50,0.60,30,0.033,0.000632117
sphere,0.50,0.80,30,0.133,0.000411466
sphere,0.50,0.95,30,0.100,0.0248499
sphere,0.70,0.20,30,0.000,0.00781493
sphere,0.70,0.40,30,0.000,0.00935995
sphere,0.70,0.60,30,0.000,0.00866184
sphere,0.70,0.80,30,0.000,0.0110633
sphere,0.70,0.95,30,0.000,0.0130774
sphere,0.90,0.20,30,0.000,0.0297754
sphere,0.90,0.40,30,0.000,0.0461079
sphere,0.90,0.60,30,0.000,0.0869916
sphere,0.90,0.80,30,0.000,0.151286
sphere,0.90,0.95,30,0.000,0.177931
sphere,1.10,0.20,30,0.000,0.0900226
sphere,1.10,0.40,30,0.000,0.141576
sphere,1.10,0.60,30,0.000,0.278691
sphere,1.10,0.80,30,0.000,0.569675
sphere,1.10,0.95,30,0.000,0.721698
rosenbrock,0.30,0.20,30,0.000,2.60618
rosenbrock,0.30,0.40,30,0.000,2.65906
rosenbrock,0.30,0.60,30,0.000,2.67473
rosenbrock,0.30,0.80,30,0.000,3.27925
rosenbrock,0.30,0.95,30,0.000,10.0352
rosenbrock,0.50,0.20,30,0.000,4.58615
rosenbrock,0.50,0.40,30,0.000,3.10959
rosenbrock,0.50,0.60,30,0.000,2.61783
rosenbrock,0.50,0.80,30,0.000,2.13919
rosenbrock,0.50,0.95,30,0.000,2.39838
rosenbrock,0.70,0.20,30,0.000,4.82848
rosenbrock,0.70,0.40,30,0.000,5.265
rosenbrock,0.70,0.60,30,0.000,4.78911
rosenbrock,0.70,0.80,30,0.000,3.65992
rosenbrock,0.70,0.95,30,0.000,3.20133
rosenbrock,0.90,0.20,30,0.000,7.84461
rosenbrock,0.90,0.40,30,0.000,7.67841
rosenbrock,0.90,0.60,30,0.000,10.9906
rosenbrock,0.90,0.80,30,0.000,8.73533
rosenbrock,0.90,0.95,30,0.000,8.56191
rosenbrock,1.10,0.20,30,0.000,11.7314
rosenbrock,1.10,0.40,30,0.000,12.1859
rosenbrock,1.10,0.60,30,0.000,16.8876
rosenbrock,1.10,0.80,30,0.000,17.3532
rosenbrock,1.10,0.95,30,0.000,22.9395
rastrigin,0.30,0.20,30,0.000,5.31648
rastrigin,0.30,0.40,30,0.000,6.34102
rastrigin,0.30,0.60,30,0.000,7.10752
rastrigin,0.30,0.80,30,0.000,8.38966
rastrigin,0.30,0.95,30,0.000,8.014
rastrigin,0.50,0.20,30,0.000,5.74791
rastrigin,0.50,0.40,30,0.000,7.0331
rastrigin,0.50,0.60,30,0.000,9.56442
rastrigin,0.50,0.80,30,0.000,10.5715
rastrigin,0.50,0.95,30,0.000,12.9524
rastrigin,0.70,0.20,30,0.000,8.7812
rastrigin,0.70,0.40,30,0.000,10.0019
rastrigin,0.70,0.60,30,0.000,12.839
